GWh,LITHUANIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,186.698,0,23.577,105.191,46.835,11.095,0,90.763,97.858,1.648,0,0,21.833,237.104,161.696,398.8,844.924,42,1201.724,91,74.425,1036.299,2016,1
,2016-02-01,112.019,0,14.146,63.11500000000001,28.101,6.657,0,120.359,111.249,2.493,0,0,21.833,262.20199999999994,105.751,367.953,839.924,183,1024.877,61,72.28,891.597,2016,2
,2016-03-01,99.572,0,12.575,56.102000000000004,24.978,5.917,0,103.588,64.895,5.078,0,0,21.833,198.53900000000002,96.427,294.966,1018.908,268,1045.874,64,78.623,903.251,2016,3
,2016-04-01,96.178,0,12.146,54.189,24.127,5.716,0,80.897,82.407,7.114,0,0,21.833,194.545,93.884,288.429,985.911,315,959.3399999999999,55,76.257,828.0829999999999,2016,4
,2016-05-01,112.019,0,14.146,63.11500000000001,28.101,6.657,0,76.951,53.564,11.22,0,0,21.833,169.83599999999998,105.751,275.587,986.911,312,950.498,55,75.548,819.95,2016,5
,2016-06-01,155.015,0,19.576,87.33999999999999,38.887,9.212,0,84.844,62.835,10.237,0,0,21.833,196.803,137.961,334.764,815.927,201,949.691,84,68.858,796.8330000000001,2016,6
,2016-07-01,95.046,0,12.003,53.55200000000001,23.843,5.648,0,58.206,62.835,8.733,0,0,21.833,153.61700000000002,93.036,246.65300000000002,953.914,264,936.567,66,71.842,798.725,2016,7
,2016-08-01,69.022,0,8.716,38.88900000000001,17.315,4.102,0,74.978,87.557,7.865,0,0,21.833,187.715,73.54,261.255,1009.909,290,981.164,65,76.067,840.097,2016,8
,2016-09-01,147.096,0,18.576,82.878,36.9,8.742,0,78.924,57.685,6.94,0,0,21.833,180.449,132.029,312.478,1009.909,334,988.387,86,79.132,823.2549999999999,2016,9
,2016-10-01,81.469,0,10.288,45.901999999999994,20.437,4.842,0,79.91,151.422,2.736,0,0,21.833,254.505,82.865,337.37,952.914,216,1074.284,76,77.211,921.0730000000001,2016,10
,2016-11-01,245.536,0,31.008,138.34199999999998,61.594,14.592,0,77.937,131.851,1.301,0,0,21.833,272.683,205.775,478.45799999999997,781.93,173,1087.388,45,75.422,966.9659999999999,2016,11
,2016-12-01,166.331,0,21.005,93.71599999999998,41.725,9.885,0,99.642,165.843,1.116,0,0,21.833,308.32599999999996,146.43899999999996,454.76499999999993,904.919,233,1126.684,42,81.364,1003.3199999999999,2016,12
,2017-01-01,108.438,0,8.38,51.549,41.991,6.518,0,90.92,108.488,0.839,0,0,19.604,242.238,86.051,328.289,1058.353,218.859,1167.7830000000001,65.462,116.057,986.2640000000001,2017,1
,2017-02-01,88.431,0,5.087,39.85099999999999,37.36,6.133,0,82.706,128.521,2.231,0,0,18.684,250.81799999999998,69.755,320.573,910.048,195.227,1035.394,60.614,65.004,909.7760000000001,2017,2
,2017-03-01,103.058,0,10.162,53.00600000000001,34.158,5.732,0,104.168,108.151,5.302,0,0,21.395,251.77900000000002,90.295,342.074,1013.477,316.575,1038.9759999999999,29.706,76.728,932.5419999999999,2017,3
,2017-04-01,95.795,0,6.852,44.922000000000004,36.391,7.63,0,90.653,102.909,7.532,0,0,21.51,237.48500000000004,80.914,318.39900000000006,937.731,275.754,980.3760000000001,50.893,72.072,857.4110000000001,2017,4
,2017-05-01,154.147,0,10.14,87.856,50.307,5.844,0,90.449,79.197,11.904,0,0,14.502,231.857,118.34199999999998,350.19899999999996,1018.071,342.763,1025.507,56.497,63.197,905.8130000000001,2017,5
,2017-06-01,78.359,0,11.161,43.519999999999996,22.305,1.373,0,100.286,108.694,9.861,0,0,22.155,241.14600000000002,78.209,319.355,913.542,248.445,984.452,72.785,52.839,858.828,2017,6
,2017-07-01,56.738,0,9.683,11.509,28.377,7.169,0,86.091,84.731,9.626,0,0,22.701,208.825,51.062,259.887,959.484,246.77,972.6010000000001,76.72,68.009,827.8720000000001,2017,7
,2017-08-01,73.524,0,9.258,25.863000000000007,31.658,6.745,0,95.2,87.434,9.254,0,0,22.174,223.546,64.04,287.586,1043.95,285.288,1046.248,93.406,27.673,925.1690000000001,2017,8
,2017-09-01,106.718,0,19.536,34.730000000000004,49.53,2.922,0,97.981,97.78,5.722,0,0,21.535,251.013,78.723,329.736,972.003,250.51,1051.229,83.371,72.102,895.7560000000001,2017,9
,2017-10-01,92.882,0,10.397,42.17700000000001,31.857,8.451,0,108.3,174.657,3.021,0,0,21.166,317.835,82.191,400.02599999999995,1059.585,346.281,1113.33,78.531,92.95,941.8489999999999,2017,10
,2017-11-01,102.977,0,10.092,47.61500000000001,38.592,6.678,0,112.086,128.225,1.114,0,0,19.292,280.017,83.677,363.694,979.697,236.384,1107.007,62.482,89.175,955.3500000000001,2017,11
