GWh,GREECE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,3479.295,1902.538,381.664,1132.055,19.598,43.44,0,474.503,470.437,218.03,0,0,0,1182.568,3459.6970000000006,4642.265,839.55,144.349,5337.466,4.848,387.575,4945.043000000001,2016,1
,2016-02-01,2395.183,1322.9289999999999,309.02,734.59,19.2,9.444,0,390.347,453.078,243.797,0,0,0,1106.422,2375.9829999999997,3482.4049999999997,975.33,10.745,4446.99,5.722,319.325,4121.943,2016,2
,2016-03-01,2234.066,1151.3419999999999,307.829,744.949,20.502,9.444,0,613.394,442.267,294.691,0,0,0,1370.854,2213.564,3584.4179999999997,1085.7,23.8,4646.317999999999,6.324,350.508,4289.485999999999,2016,3
,2016-04-01,2017.368,897.2029999999997,318.383,771.31,19.14,11.332,0,501.348,314.472,387.932,0,0,0,1222.892,1998.2279999999998,3221.12,904.66,23.38,4102.4,1.253,253.213,3847.9339999999997,2016,4
,2016-05-01,2247.566,991.9499999999996,390.457,791.211,21.064,52.884,0,417.88,345.669,392.49,0,0,0,1177.103,2226.5019999999995,3403.6049999999996,945.32,29.258,4319.6669999999995,3.614,259.126,4056.9269999999997,2016,5
,2016-06-01,3053.427,1114.7010000000002,509.268,1399.946,20.068,9.444,0,517.201,340.067,411.122,0,0,0,1288.458,3033.359,4321.817,838.02,27.848,5131.989,0.117,298.739,4833.133,2016,6
,2016-07-01,3624.413,1682.5010000000002,555.768,1359.783,20.695,5.666,0,538.268,475.177,450.907,0,0,0,1485.047,3603.7180000000003,5088.765,1014.75,120.879,5982.636,0,380.506,5602.13,2016,7
,2016-08-01,3290.977,1549.913,615.818,1102.326,21.031,1.889,0,449.272,526.384,436.232,0,0,0,1432.919,3269.946,4702.865,970.04,58.355,5614.55,2.642,349.991,5261.917,2016,8
,2016-09-01,2938.245,1338.7949999999998,481.299,1093.996,20.378,3.777,0,317.037,370.638,358.168,0,0,0,1066.221,2917.867,3984.088,788.49,103.596,4668.982,1.554,353.519,4313.909,2016,9
,2016-10-01,3130.009,1439.5149999999999,391.724,1266.133,21.305,11.332,0,371.12,396.515,285.892,0,0,0,1074.832,3108.7039999999997,4183.536,556.59,239.478,4500.648,0,365.716,4134.932,2016,10
,2016-11-01,3093.417,1581.567,312.51,1163.314,20.916,15.11,0,446.533,440.283,223.083,0,0,0,1130.815,3072.501,4203.316000000001,504.74,64.882,4643.174000000001,2.963,319.388,4320.823000000001,2016,11
,2016-12-01,4082.035,1911.752,402.343,1734.978,21.63,11.332,0,528.191,571.011,227.371,0,0,0,1348.203,4060.4049999999997,5408.608,409.81,190.429,5627.9890000000005,2.963,319.392,5305.634,2016,12
,2017-01-01,4149.709,1736.7979999999998,413.818,1974.302,24.791,0,0,705.144,499.154,175.808,0,0,0,1404.897,4124.918,5529.815,433.675,365.136,5598.353999999999,6.909,121.866,5469.579,2017,1
,2017-02-01,3174.125,1599.683,329.254,1223.489,21.699,0,0,287.404,478.299,218.099,0,0,0,1005.501,3152.426,4157.927,608.042,247.234,4518.735,10.876,87.304,4420.554999999999,2017,2
,2017-03-01,2451.396,1353.0180000000003,320.9,753.891,23.587,0,0,345.796,470.308,325.96,0,0,0,1165.651,2427.809,3593.46,978.238,54.275,4517.423000000001,3.013,85.723,4428.687000000001,2017,3
,2017-04-01,2258.248,1148.1490000000001,333.775,754.385,21.939,0,0,211.549,308.489,384.75,0,0,0,926.727,2236.309,3163.036,897.919,54.715,4006.24,2.211,79.875,3924.154,2017,4
,2017-05-01,2460.056,1098.37,379.502,958.785,23.399,0,0,265.538,450.48,397.001,0,0,0,1136.4180000000001,2436.6569999999997,3573.075,805.69,155.565,4223.2,2.933,82.471,4137.796,2017,5
,2017-06-01,3125.09,1234.905,471.774,1398.403,20.008,0,0,321.249,226.29,415.142,0,0,0,982.6890000000001,3105.0820000000003,4087.7710000000006,695.151,114.751,4668.171,1.444,81.675,4585.052000000001,2017,6
,2017-07-01,3563.185,1490.6,569.334,1479.875,23.376,0,0,432.131,522.343,444.445,0,0,0,1422.2949999999998,3539.8089999999997,4962.103999999999,916.668,228.962,5649.8099999999995,2.086,108.061,5539.663,2017,7
