GWh,SPAIN,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,8376.491,2550.6640000000007,1323.125,3946.95,515.602,40.15,4616.214,3895.332,5614.926,414.65,0,0,7.583,10440.51,12484.686,22925.196,2043.14,1190.473,23777.862999999998,803.23,2304.981,20669.652,2016,1
,2016-02-01,6653.116,1770.9770000000008,1218.654,3237.6,366.132,59.753,3962.183,4492.383,6126.009,640.038,0,0,7.583,11624.562,10256.750000000002,21881.312,2221.607,1250.619,22852.300000000003,734.87,2449.749,19667.681000000004,2016,2
,2016-03-01,6959.86,1711.561999999999,1291.479,3427.703,492.346,36.77,5191.993,4714.757,5433.572,1087.565,0,0,7.583,11728.24,11667.09,23395.33,1583.875,1419.933,23559.272,593.381,1901.487,21064.404000000002,2016,3
,2016-04-01,5739.487,1005.6420000000007,1240.883,3063.852,392.293,36.817,5055.804,5656.529,4434.058,1120.55,0,0,7.583,11603.43,10410.581,22014.011,1415.428,1542.015,21887.424,587.171,2135.739,19164.514,2016,4
,2016-05-01,6437.877,1175.5560000000005,1290.321,3454.246,485.765,31.989,3892.046,5401.557,3926.598,1291.221,0,0,7.583,11105.141,9851.741,20956.881999999998,1820.569,1050.478,21726.972999999998,477.227,2122.378,19127.368,2016,5
,2016-06-01,7951.403,2163.6440000000002,1309.548,3896.137,537.169,44.905,4819.47,3107.749,3265.762,1736.586,0,0,7.583,8647.266,12241.287,20888.553,1877.496,774.878,21991.171,211.632,2180.596,19598.943,2016,6
,2016-07-01,10176.755,3753.0019999999995,1422.771,4472.451,449.249,79.282,5181.155,2361.819,3539.738,1769.983,0,0,7.583,8120.789000000001,14916.243999999997,23037.032999999996,1817.798,902.487,23952.343999999994,154.81,2403.715,21393.818999999992,2016,7
,2016-08-01,9515.14,3483.299,1473.358,4014.994,464.659,78.83,5150.982,2146.995,3679.334,1709.068,0,0,7.583,8000.056,14209.046,22209.102,2090.319,1040.462,23258.959,183.325,2328.108,20747.525999999998,2016,8
,2016-09-01,10432.789,4349.782000000002,1391.212,4174.936,438.717,78.142,5012.757,1762.091,2715.626,1353.041,0,0,7.583,6269.475,15014.412000000002,21283.887000000002,1781.013,649.16,22415.74,144.967,2252.274,20018.499000000003,2016,9
,2016-10-01,11732.568,4301.045999999999,1434.115,5483.361,437.371,76.675,5101.258,1793.927,2397.077,885.186,0,0,7.583,5513.561,16404.037999999997,21917.598999999995,1282.091,1746.303,21453.386999999995,229.245,2147.567,19076.574999999997,2016,10
,2016-11-01,11874.143,4420.799999999999,1340.034,5626.763,418.331,68.215,3774.772,1750.82,3895.759,555.893,0,0,7.583,6620.803,15238.167,21858.97,1761.08,1410.316,22209.734000000004,354.735,2209.799,19645.200000000004,2016,11
,2016-12-01,12360.372,4984.334999999999,1380.095,5506.874,420.58,68.488,4341.365,2096.041,2683.543,487.217,0,0,7.583,5687.381,16288.74,21976.121,2150.583,1200.876,22925.827999999998,344.406,2283.607,20297.815,2016,12
,2017-01-01,12342.53,5273.04,1241.705,5245.438,519.752,62.595,5276.466,2362.724,4838.759,609.497,0,0,6.5,8330.732,17105.744,25436.476,1355.353,1896.199,24895.629999999997,432.59,2157.715,22305.324999999997,2017,1
,2017-02-01,8678.558,3441.519000000001,1136.998,3584.752,460.141,55.148,4760.232,2323.518,4959.314,519.271,0,0,6.5,8262.244,12985.149000000001,21247.393000000004,1825.249,1283.643,21788.999000000003,558.584,1864.198,19366.217000000004,2017,2
,2017-03-01,7329.416,1927.4170000000004,1207.363,3705.177,428.259,61.2,5261.851,2865.473,4732.394,1040.289,0,0,6.5,9066.415,12169.508,21235.923000000003,2515.503,1052.547,22698.879000000004,334.218,1979.284,20385.377000000004,2017,3
