GWh,CYPRUS,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2016-01-01,354.279,0,350.199,0,4.08,0,0,0,24.289,7.211,0,0,0,35.58,350.199,385.779,2016,1
,2016-02-01,299.462,0,296.013,0,3.449,0,0,0,16.193,7.612,0,0,0,27.254000000000005,296.013,323.267,2016,2
,2016-03-01,273.069,0,269.924,0,3.145,0,0,0,31.374,10.524,0,0,0,45.043,269.924,314.967,2016,3
,2016-04-01,275.099,0,271.931,0,3.168,0,0,0,14.169,11.27,0,0,0,28.607,271.931,300.538,2016,4
,2016-05-01,298.447,0,295.01,0,3.437,0,0,0,23.277,14.668,0,0,0,41.382000000000005,295.01,336.392,2016,5
,2016-06-01,396.914,0,392.343,0,4.571,0,0,0,19.229,17.707,0,0,0,41.507,392.343,433.85,2016,6
,2016-07-01,495.382,0,489.676,0,5.705,0,0,0,16.193,18.699,0,0,0,40.59700000000001,489.676,530.273,2016,7
,2016-08-01,489.291,0,483.656,0,5.635,0,0,0,15.181,16.862,0,0,0,37.678,483.656,521.3340000000001,2016,8
,2016-09-01,393.869,0,389.333,0,4.536,0,0,0,19.229,13.837,0,0,0,37.602000000000004,389.333,426.93500000000006,2016,9
,2016-10-01,340.067,0,336.151,0,3.917,0,0,0,13.157,11.052,0,0,0,28.125999999999998,336.151,364.277,2016,10
,2016-11-01,289.311,0,285.979,0,3.332,0,0,0,17.205,9.145,0,0,0,29.682,285.979,315.661,2016,11
,2016-12-01,389.809,0,385.319,0,4.489,0,0,0,17.205,7.351,0,0,0,29.044999999999998,385.319,414.36400000000003,2016,12
,2017-01-01,397.027,0,392.866,0,4.16,0,0,0,22.368,10.043,0,0,0,36.571,392.866,429.437,2017,1
,2017-02-01,336.557,0,332.718,0,3.838,0,0,0,14.599,10.049,0,0,0,28.486,332.718,361.204,2017,2
,2017-03-01,307.653,0,303.378,0,4.275,0,0,0,22.227,11.976,0,0,0,38.478,303.378,341.856,2017,3
,2017-04-01,271.169,0,266.779,0,4.39,0,0,0,21.357,12.283,0,0,0,38.03,266.779,304.80899999999997,2017,4
,2017-05-01,309.94,0,305.46,0,4.48,0,0,0,19.628,15.131,0,0,0,39.239000000000004,305.46,344.69899999999996,2017,5
,2017-06-01,368.382,0,364.248,0,4.133,0,0,0,16.484,15.798,0,0,0,36.415,364.248,400.663,2017,6
,2017-07-01,527.647,0,523.882,0,3.765,0,0,0,16.434,17.911,0,0,0,38.11,523.882,561.992,2017,7
,2017-08-01,481.962,0,478.382,0,3.58,0,0,0,12.998,17.922,0,0,0,34.5,478.382,512.8820000000001,2017,8
,2017-09-01,419.41,0,415.763,0,3.647,0,0,0,15.951,18.58,0,0,0,38.178,415.763,453.941,2017,9
,2017-10-01,330.692,0,326.667,0,4.024,0,0,0,17.121,15.488,0,0,0,36.632999999999996,326.667,363.29999999999995,2017,10
,2017-11-01,298.722,0,294.457,0,4.266,0,0,0,16.989,14.294,0,0,0,35.54900000000001,294.457,330.006,2017,11
,2017-12-01,345.658,0,340.999,0,4.659,0,0,0,15.29,12.539,0,0,0,32.488,340.999,373.487,2017,12
,2018-01-01,364.196,0,359.471,0,4.725,0,0,0,20.787,13.201,0,0,0,38.713,359.471,398.184,2018,1
,2018-02-01,306.488,0,301.872,0,4.616,0,0,0,15.572,12.026,0,0,0,32.214,301.872,334.086,2018,2
,2018-03-01,292.039,0,286.609,0,5.43,0,0,0,21.508,15.465,0,0,0,42.403,286.609,329.012,2018,3
