GWh,ROMANIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2016-01-01,2895.223,1721.877,75.853,1040.281,57.213,0,953.816,1070.335,774.201,74.242,0,0,0,1975.991,3791.827,5767.818,2016,1
,2016-02-01,1743.714,1037.04,45.684,626.533,34.458,0,889.828,1404.521,714.413,103.424,0,0,0,2256.816,2599.085,4855.901,2016,2
,2016-03-01,1560.109,927.844,40.874,560.562,30.829,0,958.815,1751.885,584.704,153.777,0,0,0,2521.1949999999997,2488.0950000000003,5009.29,2016,3
,2016-04-01,1277.804,759.949,33.477,459.127,25.251,0,928.821,2122.784,464.115,167.652,0,0,0,2779.8020000000006,2181.374,4961.176,2016,4
,2016-05-01,1377.566,819.28,36.091,494.972,27.222,0,562.891,1719.879,409.394,201.269,0,0,0,2357.764,1913.234,4270.998,2016,5
,2016-06-01,1768.124,1051.557,46.324,635.303,34.94,0,509.902,1914.742,382.034,211.854,0,0,0,2543.5699999999997,2243.0860000000002,4786.656,2016,6
,2016-07-01,2033.449,1209.354,53.275,730.637,40.183,0,935.819,1690.696,339.473,232.453,0,0,0,2302.805,2929.085,5231.889999999999,2016,7
,2016-08-01,1842.415,1095.74,48.27,661.997,36.408,0,936.819,1322.622,530.996,218.148,0,0,0,2108.174,2742.826,4851,2016,8
,2016-09-01,1915.644,1139.292,50.188,688.309,37.855,0,911.824,1073.159,328.326,168.94,0,0,0,1608.2800000000002,2789.613,4397.893,2016,9
,2016-10-01,2087.575,1241.544,54.693,750.085,41.253,0,957.815,1274.612,503.636,134.036,0,0,0,1953.537,3004.137,4957.674,2016,10
,2016-11-01,2226.605,1324.23,58.335,800.04,44,0,863.833,1547.609,598.891,82.968,0,0,0,2273.468,3046.438,5319.906,2016,11
,2016-12-01,2575.772,1531.89,67.483,925.499,50.9,0,955.816,1346.156,896.816,71.238,0,0,0,2365.11,3480.688,5845.798000000001,2016,12
,2017-01-01,2934.11,1604.441,55.941,1249.001,24.728,0,936.725,1212.946,799.392,69.062,0,0,0,2106.128,3846.1079999999997,5952.236,2017,1
,2017-02-01,2336.534,1229.273,4.662,1070.263,32.336,0,862.747,1123.475,641.709,98.088,0,0,0,1895.608,3166.9449999999997,5062.553,2017,2
,2017-03-01,2043.15,1057.654,9.323,930.522,45.651,0,965.717,1422.391,825.34,165.149,0,0,0,2458.531,2963.2160000000003,5421.747,2017,3
,2017-04-01,1570.99,928.939,9.323,602.294,30.434,0,936.725,1355.287,697.597,189.171,0,0,0,2272.489,2477.281,4749.77,2017,4
,2017-05-01,1667.798,1281.158,9.323,356.393,20.923,0,486.857,1631.835,413.169,211.191,0,0,0,2277.118,2133.731,4410.849,2017,5
,2017-06-01,1579.973,1205.326,0,342.311,32.336,0,874.744,1402.056,399.197,233.21,0,0,0,2066.799,2422.381,4489.18,2017,6
,2017-07-01,2057.17,1312.09,79.249,616.376,49.455,0,887.74,1044.171,457.081,230.208,0,0,0,1780.915,2895.455,4676.37,2017,7
,2017-08-01,2034.79,1249.229,69.926,673.789,41.847,0,892.738,941.482,478.038,224.202,0,0,0,1685.569,2885.682,4571.251,2017,8
,2017-09-01,1775.34,1106.545,65.264,557.88,45.651,0,913.732,925.215,655.681,175.158,0,0,0,1801.705,2643.421,4445.126,2017,9
,2017-10-01,2025.462,1236.258,79.249,666.206,43.749,0,961.718,1016.72,695.601,146.132,0,0,0,1902.2020000000002,2943.431,4845.633,2017,10
,2017-11-01,2414.553,1216.302,88.573,1065.93,43.749,0,928.728,1191.595,456.083,60.054,0,0,0,1751.4810000000002,3299.5330000000004,5051.014000000001,2017,11
