GWh,COLOMBIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-02-01,2622.646643,1032.489272,152.674612,1324.815546,112.667213,0,0,3535.221593,0,15.329966,0,0,0,3663.218772,2509.9794300000003,6173.1982020000005,107.683715,0,6280.881917000001,0,656.160461,5624.721456,2020,2
,2020-03-01,2471.289502,998.6613480000001,149.390955,1216.827497,106.409702,0,0,3767.120769,0,15.951664,0,0,0,3889.482135,2364.8798,6254.361935000001,59.308086,0,6313.670021000001,0,659.585817,5654.084204000001,2020,3
,2020-04-01,1961.667334,867.853057,153.846421,847.285254,92.682602,0,0,3443.476965,0,14.734897,0,0,0,3550.8944639999995,1868.984732,5419.879196,201.05186,0,5620.931055999999,0,587.215738,5033.715318,2020,4
,2020-05-01,2374.979114,988.9599920000003,152.199009,1147.591707,86.228406,0,0,3371.65415,0,15.055355,0,0,0,3472.937911,2288.7507080000005,5761.6886190000005,223.402099,0,5985.090718,0,625.259308,5359.831410000001,2020,5
,2020-06-01,2256.531893,874.7270259999998,149.918392,1130.709237,101.177238,0,0,3420.155735,0,13.76748,0,0,0,3535.100453,2155.354655,5690.455108,221.345719,0,5911.800827,0,617.602751,5294.198076,2020,6
,2020-07-01,1500.056096,456.531872,148.65564,788.057186,106.811398,0,0,4647.734804,0.005298,14.251239,0,0,0,4768.802739,1393.244698,6162.047436999999,210.061438,0,6372.108874999999,0,665.690893,5706.417981999999,2020,7
,2020-08-01,1589.634936,453.75151200000005,148.657108,880.249336,106.97698,0,0,4674.03554,1.88039,14.274,0,0,0,4797.166910000001,1482.657956,6279.824866000001,135.328087,0,6415.152953000001,0,670.187686,5744.9652670000005,2020,8
,2020-09-01,1796.563682,547.6192940000001,151.684029,994.672314,102.588045,0,0,4448.280599,1.351015,16.444276,0,0,0,4568.6639350000005,1693.975637,6262.639572,10.288334,0,6272.927906,0,655.329509,5617.598397,2020,9
,2020-10-01,1879.383974,693.2006899999999,150.365435,930.924836,104.893013,0,0,4633.822181,1.345743,16.839374,0,0,0,4756.900310999999,1774.490961,6531.391271999999,0.990088,0,6532.3813599999985,0,682.434476,5849.946883999998,2020,10
,2020-11-01,1662.425552,511.3369069999999,151.095728,915.755679,84.237238,0,0,4811.413598,1.231904,15.610371,0,0,0,4912.493111,1578.188314,6490.681425,0.177527,0,6490.858952,0,678.096652,5812.762299999999,2020,11
,2020-12-01,1739.742723,542.610782,151.21907,931.981205,113.931666,0,0,4781.359607,3.191437,22.973149,0,0,0,4921.4558590000015,1625.811057,6547.266916000001,0,0,6547.266916000001,0,683.989563,5863.277353000001,2020,12
,2021-01-01,1777.899169,552.2966389999999,151.434012,942.444595,131.723923,0,0,4563.251806,4.107451,25.137713,0,0,0,4724.220893,1646.1752459999998,6370.3961389999995,3.006635,0.22748,6373.175294,0,751.160936,5622.014357999999,2021,1
,2021-02-01,2069.443264,841.638944,148.955978,946.538798,132.309544,0,0,3982.953055,5.336502,24.433822,0,0,0,4145.032923,1937.13372,6082.166643,7.489166,0.74722,6088.908589,0,572.140262,5516.768327,2021,2
,2021-03-01,1666.793806,470.55000999999993,149.106565,913.302103,133.835128,0,0,4812.389145,5.839451,25.413613,0,0,0,4977.477336999999,1532.958678,6510.436014999999,165.53426,0.110009,6675.860266,0,816.831865,5859.028401,2021,3
,2021-04-01,1518.823246,406.6236339999998,150.181137,830.614362,131.404113,0,0,4750.010447,5.953835,23.769629,0,0,0,4911.138024,1387.4191329999999,6298.557156999999,173.810374,0.042587,6472.324943999999,0,634.070748,5838.254195999999,2021,4
,2021-05-01,1334.763368,287.0068570000001,148.636239,809.831074,89.289198,0,0,5123.568223,6.5666,21.979221,0,0,0,5241.403242,1245.47417,6486.877412,15.555196,1.109856,6501.322752,0,683.593365,5817.729387,2021,5
