GWh,CHINA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2016-01-01,373835.619,352189.588,869.915,14456.56,5371.951,947.606,15515.631,79808.268,18721.811,5219.359,9.87,0.908,0,109132.16699999999,383979.3,493111.46699999995,2016,1
,2016-02-01,283379.021,266970.657,659.422,10958.522,4072.106,718.314,11780.387,60536.694,14113.365,3615.834,9.87,0.908,0,82348.777,291087.302,373436.079,2016,2
,2016-03-01,352712.938,332289.964,820.762,13639.727,5068.422,894.063,16655.36,81376.125,21004.32,5307.035,9.87,0.908,0,112766.68,364299.876,477066.556,2016,3
,2016-04-01,318573.805,300127.573,741.32,12319.536,4577.849,807.527,14366.325,84784.036,22026.704,5618.197,9.87,0.908,0,117017.56399999998,328362.281,445379.845,2016,4
,2016-05-01,319600.4,301094.726,743.709,12359.235,4592.601,810.129,15745.492,101453.402,23480.762,5670.057,9.87,0.908,0,135207.59999999998,330753.291,465960.891,2016,5
,2016-06-01,334776.576,315392.163,779.024,12946.111,4810.68,848.598,17191.702,115966.966,19675.22,5756.491,9.87,0.908,0,146220.135,347157.59799999994,493377.73299999995,2016,6
,2016-07-01,376595.804,354789.952,876.338,14563.299,5411.614,954.602,18973.127,134628.817,17028.38,5721.917,9.87,0.908,0,162801.506,390157.31799999997,552958.824,2016,7
,2016-08-01,400730.477,377527.166,932.499,15496.608,5758.425,1015.779,19308.341,120441.891,15415.285,6223.233,9.87,0.908,0,147849.612,414280.39300000004,562130.005,2016,8
,2016-09-01,349846.219,329589.236,814.091,13528.868,5027.228,886.797,17239.59,103674.533,15290.327,5825.638,9.87,0.908,0,129828.504,362058.58200000005,491887.08600000007,2016,9
,2016-10-01,344325.849,324388.509,801.245,13315.39,4947.901,872.804,16731.98,100723.913,21606.391,5272.461,9.87,0.908,0,132561.444,356109.928,488671.372,2016,10
,2016-11-01,367734.157,346441.416,855.716,14220.611,5284.274,932.139,18657.068,87495.121,23673.879,5220.601,9.87,0.908,0,121684.65299999999,381106.95000000007,502791.60300000006,2016,11
,2016-12-01,410231.325,386477.891,954.607,15864.014,5894.951,1039.862,20457.647,70825.755,22662.855,5082.307,9.87,0.908,0,104476.646,424794.02100000007,529270.667,2016,12
,2017-01-01,407105.035,382818.893,835.894,15671.588,6656.83,1121.83,19566.845,66162.289,22432.769,7134.224,9.809,0.881,0,102396.802,420015.04999999993,522411.85199999996,2017,1
,2017-02-01,323481.852,304184.311,664.193,12452.497,5289.455,891.396,12158.04,62113.711,25007.021,8297.115,9.809,0.881,0,100717.992,330350.437,431068.429,2017,2
,2017-03-01,392900.005,369461.275,806.727,15124.762,6424.555,1082.686,20317.224,77263.916,24071.272,8963.436,9.809,0.881,0,116733.86899999998,406792.674,523526.54299999995,2017,3
,2017-04-01,349352.464,328511.593,717.312,13448.391,5712.482,962.686,19243.897,79202.972,27194.858,9277.618,9.809,0.881,0,121398.62,362883.87899999996,484282.49899999995,2017,4
,2017-05-01,352417.655,331393.928,723.606,13566.386,5762.602,971.132,19452.863,94385.14,27183.936,10109.277,9.809,0.881,0,137451.645,366107.91500000004,503559.56000000006,2017,5
,2017-06-01,367991.605,346038.803,755.583,14165.909,6017.262,1014.048,18911.451,111261.318,21471.924,9832.057,9.809,0.881,0,148593.25100000002,380885.794,529479.045,2017,6
,2017-07-01,429950.135,404301.152,882.801,16551.014,7030.385,1184.783,21922.465,132793.36,19680.777,10294.09,9.809,0.881,0,169809.302,444842.215,614651.517,2017,7
,2017-08-01,427539.644,402034.461,877.851,16458.222,6990.969,1178.14,21865.474,124429.85,19953.818,10109.277,9.809,0.881,0,161494.60400000002,442414.14800000004,603908.7520000001,2017,8
,2017-09-01,359361.455,337923.49,737.864,13833.689,5876.145,990.267,20839.64,119518.286,21843.259,10275.609,9.809,0.881,0,157523.989,374324.95,531848.939,2017,9
,2017-10-01,344710.038,324146.115,707.78,13269.68,5636.57,949.893,19110.918,114915.692,25076.062,9905.983,9.809,0.881,0,155544.997,358184.386,513729.38300000003,2017,10
,2017-11-01,373209.374,350945.303,766.297,14366.768,6102.581,1028.426,21219.578,93010.754,30755.309,10312.571,9.809,0.881,0,140191.905,388326.372,528518.277,2017,11
,2017-12-01,438143.818,412006.035,899.624,16866.432,7164.365,1207.362,21058.104,78403.91,29586.695,9795.095,9.809,0.881,0,124960.75499999999,452037.55700000003,576998.312,2017,12
,2018-01-01,425250.216,397980.279,919.342,17707.229,7584.648,1058.718,19171.881,73586.932,31236.62,12586.192,9.809,0.881,0,125005.08199999998,436837.44899999996,561842.531,2018,1
,2018-02-01,376484.321,352341.585,813.916,15676.639,6714.873,937.308,18596.724,62736.888,34596.373,13782.358,9.809,0.881,0,117841.18199999999,388366.1720000001,506207.35400000005,2018,2
,2018-03-01,388714.498,363787.48,840.356,16185.898,6933.007,967.757,20859.006,71406.181,34179.363,15192.277,9.809,0.881,0,127721.51799999998,402640.497,530362.0149999999,2018,3
,2018-04-01,366198.975,342715.805,791.68,15248.362,6531.426,911.702,20686.459,75391.692,36717.379,14997.504,9.809,0.881,0,133648.691,380354.008,514002.69899999996,2018,4
,2018-05-01,379435.431,355103.45,820.295,15799.522,6767.508,944.656,22603.647,99229.561,31842.599,15094.891,9.809,0.881,0,152945.249,395271.57,548216.819,2018,5
,2018-06-01,381264.151,356814.901,824.249,15875.669,6800.124,949.208,22757.022,114419.622,25536.691,15426.005,9.809,0.881,0,162193.132,397221.049,559414.181,2018,6
,2018-07-01,438786.622,410648.639,948.606,18270.879,7826.08,1092.418,25268.539,138719.424,26073.364,15036.46,9.809,0.881,0,187666.01799999998,456229.08100000006,643895.099,2018,7
,2018-08-01,445250.038,416697.577,962.579,18540.013,7941.359,1108.51,25795.765,136570.9,20974.97,14646.914,9.809,0.881,0,180144.83299999998,463104.444,643249.277,2018,8
,2018-09-01,366450.544,342951.242,792.224,15258.837,6535.913,912.328,23734.788,122852.577,26106.906,13828.868,9.809,0.881,0,169334.954,383649.419,552984.373,2018,9
,2018-10-01,351172.498,328652.929,759.194,14622.666,6263.418,874.291,24137.398,120446.231,27739.286,15484.437,9.809,0.881,0,169944.062,369046.47800000006,538990.54,2018,10
,2018-11-01,391936.529,366802.893,847.321,16320.062,6990.474,975.779,26706.43,94459.839,29494.654,13731.482,9.809,0.881,0,144687.139,411652.4849999999,556339.624,2018,11
,2018-12-01,462105.234,432471.903,999.018,19241.856,8241.984,1150.473,29323.391,77078.283,37813.086,12153.822,9.809,0.881,0,135297.865,483186.641,618484.506,2018,12
,2019-01-01,441685.422,410004.676,1001.86,20042.354,9414.352,1222.18,26092.927,73743.996,36626.727,15629.977,9.809,0.974,0,135425.835,458363.997,593789.8319999999,2019,1
,2019-02-01,365182.788,338989.342,828.332,16570.895,7783.728,1010.491,19830.625,73308.928,28719.717,12255.764,9.809,0.974,0,122078.92,377229.685,499308.605,2019,2
,2019-03-01,398282.865,369715.251,903.412,18072.877,8489.243,1102.082,27193.574,87938.084,39067.852,19156.687,9.809,0.974,0,154662.649,416987.196,571649.845,2019,3
,2019-04-01,372095.791,345406.497,844.012,16884.586,7931.076,1029.62,26377.577,90178.683,39205.053,19667.28,9.809,0.974,0,156992.875,390542.29199999996,547535.1669999999,2019,4
,2019-05-01,366772.204,340464.754,831.937,16643.018,7817.606,1014.889,25808.277,111497.007,40382.691,20442.625,9.809,0.974,0,180150.712,384762.875,564913.587,2019,5
,2019-06-01,387961.233,360133.958,880,17604.512,8269.242,1073.521,26538.879,123570.139,30104.084,19459.261,9.809,0.974,0,181413.509,406230.87,587644.379,2019,6
,2019-07-01,436850.151,405516.223,990.893,19822.944,9311.29,1208.801,29707.984,149478.428,24684.663,20272.427,9.809,0.974,0,203757.59100000001,457246.845,661004.436,2019,7
,2019-08-01,452744.314,420270.347,1026.945,20544.173,9650.068,1252.781,31169.187,140798.825,25393.532,20556.09,9.809,0.974,0,196409.298,474263.433,670672.731,2019,8
,2019-09-01,397315.81,368817.56,901.218,18028.995,8468.631,1099.406,28151.896,122852.277,25690.8,20385.892,9.809,0.974,0,177408.38299999997,416999.075,594407.458,2019,9
,2019-10-01,380071.599,352810.224,862.104,17246.504,8101.077,1051.69,27288.458,116837.464,32722.328,18267.877,9.809,0.974,0,175939.529,399258.98,575198.509,2019,10
,2019-11-01,414119.58,384416.047,939.334,18791.499,8826.797,1145.903,30875.049,89210.657,38210.349,16055.308,9.809,0.974,0,152313.894,436167.832,588481.726,2019,11
,2019-12-01,486562.5,451662.858,1103.653,22078.741,10370.889,1346.359,31510.768,74722.899,41022.96,15998.576,9.809,0.974,0,142126.107,507702.37899999996,649828.4859999999,2019,12
,2020-01-01,456388.428289,425895.833556,929.507128,18980.912115,9704.895801,877.27969,29556.219924,70247.845989,36449.312044,18209.734495,9.809292,0.97416,0,134622.571781,476239.75241300004,610862.3241940001,2020,1
,2020-02-01,292837.243893,273271.963865,596.409305,12178.919634,6227.053015,562.898072,15395.844462,62381.835241,31443.020992,15708.638431,9.809292,0.97416,0,115771.33113100001,302006.035338,417777.366469,2020,2
,2020-03-01,373720.283796,348750.980345,761.140393,15542.795177,7946.994683,718.373198,29097.247086,83408.434509,49432.389383,24397.758204,9.809292,0.97416,0,165196.360231,394870.53619899997,560066.89643,2020,3
,2020-04-01,381858.825158,356345.762865,777.715818,15881.272073,8120.057125,734.017278,29239.740951,82752.879614,41632.091012,25514.490348,9.809292,0.97416,0,158030.301551,402978.5089850001,561008.8105360001,2020,4
,2020-05-01,406428.00663,379273.408209,827.754837,16903.089116,8642.50978,781.244689,29524.728679,93700.646365,45314.929833,25135.937079,9.809292,0.97416,0,172804.806509,427310.22553,600115.032039,2020,5
,2020-06-01,414931.24678,387208.522964,845.073029,17256.733608,8823.327378,797.589801,30180.200455,132782.644039,37011.386406,23489.230358,9.809292,0.97416,0,202117.371633,436288.119857,638405.49149,2020,6
,2020-07-01,441429.492891,411936.346712,899.040893,18358.779255,9386.80073,848.525302,31738.133371,159857.061213,32356.369636,23016.038771,9.809292,0.97416,0,224627.05380199998,463780.82553300005,688407.8793350001,2020,7
,2020-08-01,488542.817831,455901.897881,994.994621,20318.193264,10388.644513,939.087552,31500.643597,154033.54856,32104.747108,23811.000637,9.809292,0.97416,0,220348.72427,509654.81691500003,730003.541185,2020,8
,2020-09-01,405324.312931,378243.45539,825.50699,16857.187178,8619.040227,779.123145,30275.196364,151291.143915,30560.699776,22940.328117,9.809292,0.97416,0,213421.99548699998,426980.469067,640402.464554,2020,9
,2020-10-01,383029.700213,357438.408463,780.10049,15929.968041,8144.955259,736.267959,27235.32726,147423.370033,40168.105394,21975.017281,9.809292,0.97416,0,217722.23141900005,402120.07221300004,619842.3036320001,2020,10
,2020-11-01,451209.178797,421062.624292,918.958768,18765.510336,9594.761377,867.324025,30674.179184,100146.936169,43187.575732,18965.51879,9.809292,0.97416,0,171905.57552,472288.596605,644194.172125,2020,11
,2020-12-01,541932.80085,505724.745946,1103.731755,22538.649596,11523.958622,1041.71493,33514.556879,83484.915914,46801.790226,19741.552992,9.809292,0.97416,0,161563.00120600002,563923.3991060001,725486.4003120001,2020,12
,2021-01-01,555104.032168,518015.970248,1130.557049,23086.43295,11804.038965,1067.032955,34340.581345,85503.599109,47346.749266,21137.117961,9.809292,0.97416,0,165802.28875300003,577640.5745469999,743442.8632999999,2021,1
