GWh,NORWAY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-09-01,254.884,11.238,1.692,208.273,19.783,13.898,0,10775.645,258.347,0,0,0,27,11053.775,262.101,11315.876,109.673,2217.91,9207.639000000001,48.36,696.552,8462.727,2017,9
,2017-10-01,287.412,20.605999999999938,3.102,220.803,23.443,19.458,0,11683.505,374.258,0,0,0,27,12081.205999999998,290.96899999999994,12372.174999999997,469.787,1908.352,10933.609999999997,64.332,762.216,10107.061999999996,2017,10
,2017-11-01,271.249,15.924000000000007,2.397,218.978,17.603,16.347,0,13068.595,346.65,0,0,0,27,13432.847999999998,280.646,13713.493999999999,638.864,1749.147,12603.211,18.831,842.787,11741.592999999999,2017,11
,2017-12-01,274.55,15.17100000000005,2.284,223.118,17.868,16.109,0,14181.014,360.606,0,0,0,27,14559.488,283.682,14843.17,926.864,1695.774,14074.26,39.076,911.632,13123.552,2017,12
,2018-01-01,265.866,14.457999999999998,2.424,218.706,16.152,14.126,0,14916.828,366.272,0.057,0,0,27.865,15299.309000000001,277.579,15576.888,763.297,1868.102,14472.083,8.834,958.445,13504.804,2018,1
,2018-02-01,240.435,13.657000000000039,2.29,197.664,13.861,12.963,0,14206.11,276.031,0.111,0,0,27.865,14496.113000000003,254.43900000000002,14750.552000000003,357.625,1730.674,13377.503000000004,4.871,907.369,12465.263000000004,2018,2
,2018-03-01,264.757,15.093999999999994,2.53,218.52,14.362,14.251,0,13432.847,303.58,0.227,0,0,27.865,13751.016,278.26,14029.276,994.117,906.71,14116.683,4.091,863.211,13249.381000000001,2018,3
,2018-04-01,255.079,12.176999999999992,2.041,212.549,15.418,12.894,0,9991.095,225.749,0.255,0,0,27.865,10232.516999999998,267.526,10500.042999999998,1221.599,565.363,11156.278999999999,30.536,646.788,10478.954999999998,2018,4
,2018-05-01,249.74,11.684000000000026,1.959,207.404,16.111,12.582,0,9706.178,222.609,0.337,0,0,27.865,9945.235,261.494,10206.729000000001,804.08,1272.472,9738.337000000001,331.638,629.073,8777.626000000002,2018,5
,2018-06-01,245.712,11.302999999999969,1.895,203.495,16.674,12.345,0,9116.96,242.986,0.335,0,0,27.865,9376.955,256.90299999999996,9633.858,651.282,1500.334,8784.805999999999,104.508,593.708,8086.589999999998,2018,6
