GWh,BULGARIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2016-01-01,2217.473,1944.004,31.925,206.106,35.439,0,1453.805,422.989,125.216,66.809,0,0,2.833,650.453,3638.6730000000002,4289.126,2016,1
,2016-02-01,1476.636,1294.53,21.259,137.248,23.599,0,1322.823,394.097,126.821,84.101,0,0,2.833,628.6179999999999,2778.693,3407.311,2016,2
,2016-03-01,1256.904,1101.897,18.096,116.825,20.087,0,1403.812,449.571,119.865,113.085,0,0,2.833,702.6080000000001,2643.463,3346.0710000000004,2016,3
,2016-04-01,1218.602,1068.318,17.544,113.265,19.475,0,846.887,426.456,131.102,119.471,0,0,2.833,696.504,2048.847,2745.351,2016,4
,2016-05-01,1116.8,979.071,16.079,103.803,17.848,0,1055.859,488.865,125.751,143.149,0,0,2.833,775.613,2157.645,2933.258,2016,5
,2016-06-01,1097.649,962.282,15.803,102.023,17.542,0,1388.814,505.045,131.637,159.36,0,0,2.833,813.584,2471.755,3285.339,2016,6
,2016-07-01,1359.714,1192.028,19.576,126.381,21.73,0,1387.814,422.989,124.146,172.722,0,0,2.833,741.587,2728.632,3470.219,2016,7
,2016-08-01,1404.064,1230.908,20.214,130.503,22.439,0,1424.809,290.083,154.112,163.978,0,0,2.833,630.6120000000001,2809.267,3439.879,2016,8
,2016-09-01,1505.866,1320.155,21.68,139.965,24.066,0,1324.823,225.363,97.925,129.099,0,0,2.833,476.453,2809.456,3285.909,2016,9
,2016-10-01,2093.496,1835.316,30.14,194.583,33.457,0,715.904,349.024,94.179,100.312,0,0,2.833,576.972,2778.7760000000003,3355.7480000000005,2016,10
,2016-11-01,1956.416,1715.141,28.166,181.842,31.267,0,1160.845,229.986,87.758,73.097,0,0,2.833,422.10799999999995,3088.827,3510.9350000000004,2016,11
,2016-12-01,2205.378,1933.4,31.751,204.982,35.245,0,1445.806,330.533,106.487,60.816,0,0,2.833,533.081,3618.7720000000004,4151.853,2016,12
,2017-01-01,2311.311,1997.646,31.746,259.983,21.937,0,1447.545,346.571,171.072,44.847,0,0,2.491,584.427,3739.411,4323.838,2017,1
,2017-02-01,1857.435,1604.951,19.967,212.028,20.49,0,1311.012,223.948,123.319,93.53,0,0,4.117,461.28700000000003,3152.0750000000003,3613.362,2017,2
,2017-03-01,1607.253,1369.794,18.373,195.454,23.632,0,1452.532,287.977,167.447,125.511,0,0,4.598,604.567,3040.751,3645.318,2017,3
,2017-04-01,1439.792,1251.661,24.985,133.103,30.042,0,1155.655,305.177,111.613,153.333,0,0,3.523,600.1650000000001,2568.927,3169.092,2017,4
,2017-05-01,1638.343,1469.393,31.303,105.084,32.563,0,713.35,341.83,94.812,160.949,0,0,3.882,630.154,2323.012,2953.166,2017,5
,2017-06-01,1249.584,1099.72,32.523,86.347,30.993,0,1155.032,447.8,82.341,166.77,0,0,4.491,727.904,2378.113,3106.017,2017,6
,2017-07-01,1462.938,1311.634,37.166,83.684,30.454,0,1374.42,324.527,114.394,173.526,0,0,2.05,642.9010000000001,2808.954,3451.8550000000005,2017,7
,2017-08-01,1466.779,1389.925,38.566,8.831,29.457,0,1404.488,260.87,125.447,175.274,0,0,0,591.048,2841.81,3432.858,2017,8
,2017-09-01,1695.834,1562.057,30.975,72.268,30.534,0,991.449,149.931,139.611,125.956,0,0,0.017,446.03200000000004,2656.7659999999996,3102.798,2017,9
,2017-10-01,1818.492,1645.912,29.854,114.78,27.945,0,831.264,205.617,142.087,102.789,0,0,3.062,478.438,2624.872,3103.31,2017,10
,2017-11-01,1886.832,1664.744,18.909,173.692,29.486,0,1396.07,251.577,88.224,38.419,0,0,3.175,407.70599999999996,3256.59,3664.2960000000003,2017,11
,2017-12-01,1799.616,1538.648,28.749,200.723,31.496,0,1485.55,308.031,143.698,41.861,0,0,2.475,525.086,3256.145,3781.2309999999998,2017,12
,2018-01-01,1803.644,1483.096,26.83,188.984,103.364,1.37,1492.979,264.464,130.919,78.49,0,0,2.426,577.237,3195.685,3772.922,2018,1
,2018-02-01,1643.159,1333.441,15.086,192.729,100.533,1.37,1348.065,367.444,151.156,56.96,0,0,2.177,676.0930000000001,2892.868,3568.9610000000002,2018,2
,2018-03-01,1524.753,1208.318,18.166,191.452,105.447,1.37,1489.198,630.954,123.761,44.092,0,0,2.224,904.2539999999999,2910.728,3814.982,2018,3
,2018-04-01,990.68,730.256,18.067,129.495,111.492,1.37,1117.423,623.949,112.734,77.964,0,0,0.496,926.1389999999999,1997.107,2923.246,2018,4
,2018-05-01,1273.986,1007.892,25.404,114.124,125.196,1.37,735.779,530.626,111.607,180.682,0,0,2.587,948.111,1887.156,2835.267,2018,5
,2018-06-01,1322.294,1109.719,23.025,90.248,97.932,1.37,1393.287,378.9,67.327,161.306,0,0,2.241,705.465,2619.8900000000003,3325.3550000000005,2018,6
,2018-07-01,1330.86,1097.391,28.131,100.247,103.721,1.37,1443.489,573.591,58.603,168.743,0,0,0,904.6579999999999,2670.628,3575.286,2018,7
,2018-08-01,1515.571,1275.25,34.197,88.322,116.432,1.37,1438.757,496.863,89.704,189.99,0,0,0,892.9889999999999,2837.896,3730.885,2018,8
,2018-09-01,1710.201,1474.757,28.785,89.616,115.673,1.37,995.266,372.964,101.37,152.465,0,0,0.448,742.4720000000001,2590.2419999999997,3332.714,2018,9
,2018-10-01,1957.093,1680.261,27.721,128.166,119.575,1.37,936.733,300.338,130.989,123.728,0,0,3.198,674.63,2777.4489999999996,3452.0789999999997,2018,10
,2018-11-01,2063.691,1749.656,20.46,188.494,103.711,1.37,1423.225,371.929,116.358,52.73,0,0,2.64,644.7280000000001,3385.845,4030.573,2018,11
,2018-12-01,2235.705,1839.377,23.719,226.43,144.809,1.37,1477.001,453.364,123.595,55.625,0,0,3.731,777.393,3571.628,4349.021000000001,2018,12
,2019-01-01,2244.685,1816.111,21.555,238.527,165.134,3.358,1486.361,267.54,157.935,55.075,0,0,3.727,645.684,3569.639,4215.323,2019,1
,2019-02-01,1842.5,1460.104,17.354,226.72,138.322,0,1352.143,328.169,169.262,85.008,0,0,3.625,720.761,3059.946,3780.707,2019,2
,2019-03-01,1551.218,1214.802,14.728,206.674,115.014,0,1495.897,296.137,133.132,141.161,0,0,4.493,685.444,2936.5939999999996,3622.0379999999996,2019,3
,2019-04-01,1376.855,1081.031,34.901,181.086,79.837,0,1431.42,281.799,85.059,132.83,0,0,4.256,579.525,2732.694,3312.219,2019,4
,2019-05-01,1377.227,1124.409,26.107,121.316,105.395,0,750.235,373.028,91.274,152.695,0,0,2.963,722.392,2025.03,2747.422,2019,5
,2019-06-01,905.746,695.965,29.674,89.119,90.988,0,1215.83,458.746,83.982,159.217,0,0,2.092,792.9329999999999,2032.68,2825.613,2019,6
,2019-07-01,1331.625,1049.856,37.23,95.348,149.191,0,1440.786,275.319,56.656,167.694,0,0,1.837,648.86,2625.0570000000002,3273.9170000000004,2019,7
