GWh,GERMANY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-02-01,29993.894,17588.953,340.011,7530.715,4033.343,500.872,6192.528,1886.399,10886.391,2057.389,12.211,0,110.805,18875.733,32263.884,51139.617,2006.349,7220.217,45925.749,675.311,2531.334,42719.10400000001,2019,2
,2019-03-01,24214.375,13016.688999999998,367.921,6434.635,3861.188,533.942,6710.858,2561.727,16472.063,3374.903,14.501,0,114.037,26284.381999999998,27178.082,53462.46399999999,2414.728,7608.325,48268.867,768.98,2506.286,44993.600999999995,2019,3
,2019-04-01,24772.733,14093.393,352.713,5993.263,3812.031,521.333,5683.87,2211.637,9067.8,5732.995,13.738,0,127.713,20838.201,26772.284999999996,47610.486,2563.106,5966.62,44206.971999999994,675.905,2051.599,41479.46799999999,2019,4
,2019-05-01,24317.543,13640.820000000002,357.641,5955.091,3824.837,539.154,4615.665,2278.056,8277.674,5611.06,13.738,0,119.81,20005.365,25228.181000000004,45233.546,4541.952,4511.49,45264.008,616.434,2065.355,42582.219000000005,2019,5
,2019-06-01,20880.631,10583.062000000002,339.949,5612.294,3824.686,520.64,4565.831,2370.08,6575.084,7224.111,12.974,0,125.953,20006.934999999998,21747.729,41754.664,4897.573,3980.928,42671.308999999994,693.111,1856.011,40122.18699999999,2019,6
,2019-07-01,23954.619,12527.452,343.677,6727.319,3814.046,542.125,5430.165,2032.795,6565.859,6416.036,9.922,0,131.099,18838.658,25701.837,44540.494999999995,4704.891,4644.957,44600.429,562.069,2028.601,42009.759,2019,7
,2019-08-01,23522.566,11887.962999999998,375.445,6836.615,3882.3,540.243,5470.158,2181.351,5790.424,5901.43,9.158,0,120.849,17764.663,25231.272999999994,42995.935999999994,5232.591,4365.627,43862.899999999994,648.229,1914.195,41300.475999999995,2019,8
,2019-09-01,22757.278,11344.662,348.566,6873.855,3686.707,503.488,5790.49,1846.21,9106.153,4374.147,8.395,0,140.194,19021.612,25001.255,44022.867,4037.08,5206.439,42853.508,672.905,2028.366,40152.237,2019,9
,2019-10-01,26621.279,13476.035,431.639,8197.618,3965.079,550.908,6742.355,2055.902,11636.913,2740.43,12.211,0,117.534,20410.535,29516.089,49926.623999999996,2731.335,6620.197,46037.761999999995,725.636,2547.438,42764.687999999995,2019,10
,2019-11-01,30998.993,18038.193999999996,373.502,8260.498,3834.297,492.502,6453.328,1868.847,10072.325,1082.945,12.211,0,93.997,16870.625,33712.021,50582.646,2558.14,6478.784,46662.002,627.752,2291.517,43742.733,2019,11
,2019-12-01,25074.71,13042.654999999999,362.413,7040.697,4129.908,499.037,6521.276,2033.068,15180.612,1040.578,11.448,0,119.207,22395.614,27585.285,49980.899000000005,2899.68,7435.332,45445.247,752.069,2674.845,42018.333000000006,2019,12
,2020-01-01,28993.086673,14585.979776000002,450.442911,9297.309209,4095.388079,563.966698,5807.73814,1822.275251,15830.161234,1202.166367,16.268645,0,88.013459,22966.259576,30793.450193000004,53759.70976900001,3418.557044,7798.535621,49379.73119200001,733.484207,3013.390786,45632.85619900001,2020,1
,2020-02-01,21485.681245,9235.880287999998,400.995554,7426.348355,3907.054015,515.403033,5162.539623,2263.403691,20187.676795,1834.035508,17.082077,0,87.909614,28209.252086,22829.076466999995,51038.328553,3163.282341,7168.214628,47033.396265999996,795.51578,2744.104404,43493.776082,2020,2
,2020-03-01,23019.998162,10557.110525,409.90362,7555.556691,3968.036908,529.390418,5398.623744,2376.701626,14040.135379,4441.252743,15.455213,0,85.525492,24841.581869,24536.11049,49377.692359,3743.318448,6011.881292,47109.129515,773.704615,2512.815804,43822.609096,2020,3
,2020-04-01,16872.502861,6839.203170000001,326.417765,5488.245755,3771.048139,447.588032,4722.112188,1923.109878,8668.894525,6994.97307,16.268645,0,65.537381,21374.294256999998,17889.104291,39263.398548,4930.747023,4466.924394,39727.221177,906.907864,1972.11935,36848.193963,2020,4
,2020-05-01,17339.21178,6923.194104000002,300.266068,5808.651161,3859.218074,447.882373,4283.787614,2104.985343,7561.375185,6791.079194,11.388052,0,94.278809,20328.045847999998,17858.060129,38186.105977,5893.914243,4092.742385,39987.277835,833.937841,1847.678242,37305.661752,2020,5
,2020-06-01,20721.861446,8505.062617,373.253688,7563.883214,3764.063708,515.598219,4655.496272,2156.592277,6343.196418,6306.578895,13.828348,0,106.141004,18584.259646,21719.435014000002,40303.69466,4587.597671,4085.664645,40805.62768600001,607.553794,1863.299196,38334.77469600001,2020,6
,2020-07-01,22228.217647,9178.953563000003,360.822524,8238.228501,3915.00696,535.206099,4227.105317,2218.524716,6937.631996,6976.804309,13.014916,0,89.845901,20060.982897,22630.161905,42691.144802,4951.754677,4459.651606,43183.247873,712.049783,2142.904036,40328.294054,2020,7
