GWh,JAPAN,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,85573.448,32675.414000000004,11979.759,37861.343,1965.399,1091.533,1001.008,5769.595,802.486,2080.699,215.841,0,1724.04,10834.020000000002,86333.097,97167.117,0,0,97167.117,376.631,3865.46,92925.026,2016,1
,2016-02-01,76364.733,30881.53699999999,9417.119,33626.732,1461.418,977.927,1363.838,6713.568,597.108,2578.711,197.929,0,1724.04,11548.733999999999,77991.19299999998,89539.92699999998,0,0,89539.92699999998,438.253,3565.812,85535.86199999998,2016,2
,2016-03-01,73234.332,29303.011,6847.971,34111.201,2029.729,942.42,1154.025,7143.432,426.874,3116.634,208.792,0,1724.04,12925.461,74082.66799999998,87008.12899999997,0,0,87008.12899999997,466.314,3454.923,83086.89199999998,2016,3
,2016-04-01,61657.823,23945.956999999995,6801.568,28312.863,1184.483,1412.952,1157.466,8874.599,588.423,4109.17,186.275,0,1787.558,14942.95,63418.36399999999,78361.31399999998,0,0,78361.31399999998,513.005,3466.467,74381.84199999999,2016,4
,2016-05-01,58636.005,22679.577000000005,5419.127,27855.474,1169.053,1512.774,1194.242,9541.629,499.351,4731.281,191.714,0,1123.244,16133.028000000002,59784.437999999995,75917.466,0,0,75917.466,784.987,3358.359,71774.12,2016,5
,2016-06-01,64862.674,25002.451999999997,6265.21,31097.544,1299.169,1198.299,1150.16,7512.705,387.924,4348.558,160.812,0,1357.043,13709.168,66070.708,79779.876,0,0,79779.876,639.869,3529.22,75610.78700000001,2016,6
,2016-07-01,74912.012,30441.062000000005,7512.331,34204.816,1385.503,1368.3,1179.769,7908.404,308.559,4138.54,195.708,0,1685.755,13936.714000000002,76392.03300000001,90328.74700000002,0,0,90328.74700000002,859.501,3995.87,85473.37600000002,2016,7
,2016-08-01,79206.194,31674.79,7537.584,37169.081,1467.067,1357.672,1401.358,6765.421,288.567,4945.523,189.525,0,1827.854,13656.103000000001,80968.339,94624.44200000001,0,0,94624.44200000001,940.735,4185.898,89497.80900000001,2016,8
,2016-09-01,69314.655,28941.148999999998,5112.507,32481.644,1405.156,1374.199,1694.261,8012.899,301.975,3984.208,177.312,0,1670.562,13881.550000000001,71274.32199999999,85155.87199999999,0,0,85155.87199999999,981.255,3767.038,80407.57899999998,2016,9
,2016-10-01,65469.222,28097.494,4656.96,30035.961,1369.658,1309.149,1248.043,6980.693,555.045,3112.613,178.609,0,1576.542,12196.618,66924.14899999999,79120.76699999999,0,0,79120.76699999999,714.257,3500.063,74906.44699999999,2016,10
