GWh,CZECHREPUBLIC,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,4632.218,3953.928,7.972,308.069,355.151,7.098,2188.653,246.432,49.72,51.33,0,0,7.862,702.633,6473.581999999999,7176.214999999999,1938.361,2789.105,6325.471,156.619,451.646,5717.205999999999,2016,1
,2016-02-01,4049.755,3482.348,7.571,212.813,341.784,5.239,2157.682,315.725,66.353,90.542,0,0,7.145,814.404,5872.798000000001,6687.202000000001,1099.712,2119.13,5667.784000000001,137.93,359.319,5170.535000000001,2016,2
,2016-03-01,4289.705,3715.249,8.857,186.25,372.943,6.406,2585.376,329.454,41.878,154.224,0,0,8.348,898.499,6510.486,7408.985,1070.816,2640.373,5839.428,105.738,367.883,5365.807,2016,3
,2016-04-01,3565.015,3045.75,8.388,146.228,359.12,5.529,2414.904,272.262,37.208,231.749,0,0,6.738,900.339,5627.537,6527.876,1158.012,2407.395,5278.493,115.918,338.382,4824.193,2016,4
,2016-05-01,3406.309,2917.927,6.743,122.203,353.954,5.482,2391.95,231.038,43.351,287.891,0,0,7.145,916.2339999999999,5451.450000000001,6367.684000000001,892.095,2074.593,5185.1860000000015,132.975,309.441,4742.770000000001,2016,5
,2016-06-01,3369.524,2902.3109999999997,2.861,121.05,337.677,5.625,1799.383,251.906,20.135,282.835,0,0,6.689,892.5530000000001,4837.919,5730.472,629.55,1523.102,4836.92,84.728,264.148,4488.044,2016,6
,2016-07-01,3327.691,2812.421,5.326,167.746,336.023,6.175,1731.87,286.33,30.216,283.236,0,0,7.772,935.8050000000001,4731.31,5667.115000000001,856.223,1814.693,4708.645,130.054,272.789,4305.802000000001,2016,7
,2016-08-01,3449.109,2823.851,4.04,263.381,351.573,6.264,1482.117,253.491,25.192,281.217,0,0,6.697,911.473,4586.35,5497.823,830.824,1417.768,4910.879,142.87,282.983,4485.026,2016,8
,2016-09-01,3959.681,3165.392,4.374,426.159,358.105,5.651,866.034,210.493,24.597,240.359,0,0,7.26,833.554,4474.87,5308.424,1298.277,1610.423,4996.278,142.74,308.028,4545.51,2016,9
,2016-10-01,4467.71,3621.672,8.224,489.401,343.504,4.909,1402.145,253.43,40.291,92.84,0,0,5.474,730.0649999999999,5531.825000000001,6261.89,1240.596,1923.765,5578.7210000000005,123.132,345.626,5109.963000000001,2016,10
,2016-11-01,4594.843,3811.662,9.186,403.071,364.677,6.247,1746.965,264.933,49.116,69.506,0,0,7.21,748.232,5984.341,6732.573,1149.341,1933.738,5948.176,147.463,359.563,5441.150000000001,2016,11
,2016-12-01,4705.439,3812.0310000000004,9.025,483.291,393.918,7.174,1959.92,253.543,59.901,44.722,0,0,8.66,752.084,6280.101000000001,7032.185,1653.191,2536.915,6148.461,149.831,420.192,5578.438,2016,12
,2017-01-01,5144.029,4303.639,9.136,452.246,372.146,6.862,2445.66,228.981,56.444,61.428,0,0,8.612,718.9989999999999,7226.155000000001,7945.154,1836.679,2939.009,6842.8240000000005,143.718,474.161,6224.945000000001,2017,1
,2017-02-01,4421.829,3732.1389999999997,10.857,329.603,342.76,6.47,2033.398,229.17,46.598,100.648,0,0,8.272,719.1759999999999,6120.739,6839.914999999999,1674.044,2661.41,5852.548999999999,136.118,403.714,5312.716999999999,2017,2
,2017-03-01,4369.24,3711.287,13.894,242.518,393.607,7.934,2308.128,339.741,55.696,200.138,0,0,8.169,989.182,6291.93,7281.112,1143.716,2492.948,5931.879999999999,143.957,375.347,5412.575999999999,2017,3
