GWh,LATVIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-10-01,294.874,0,0,214.459,80.415,0,0,56.978,16.112,0.074,0,0,0,153.579,214.459,368.038,511.166,272.051,607.153,0,34.64,572.513,2018,10
,2018-11-01,376.42,4.257000000000062,0,294.881,77.282,0,0,79.969,8.056,0.024,0,0,0,165.331,299.13800000000003,464.46900000000005,518.168,367.069,615.568,0,38.715,576.853,2018,11
,2018-12-01,407.515,2.127999999999986,0,320.795,84.592,0,0,77.97,9.063,0.022,0,0,0,171.647,322.923,494.57,479.156,322.06,651.6659999999999,0,38.364,613.3019999999999,2018,12
,2019-01-01,471.504,0,0,387.235,84.269,0,0,84.996,13.042,0.075,0,0,0,182.38199999999998,387.235,569.617,459.876,351.867,677.626,0,41.615,636.011,2019,1
,2019-02-01,286.668,0,0,215.44,71.228,0,0,150.992,17.055,0.102,0,0,0,239.37699999999998,215.44,454.817,396.893,250.905,600.8050000000001,0,34.428,566.3770000000001,2019,2
,2019-03-01,264.903,0,0,186.653,78.25,0,0,386.98,20.064,0.262,0,0,0,485.55600000000004,186.653,672.2090000000001,306.918,341.871,637.2560000000001,0,39.579,597.6770000000001,2019,3
,2019-04-01,183.591,0,0,112.363,71.228,0,0,295.985,11.035,0.383,0,0,0,378.63100000000003,112.363,490.994,406.891,325.877,572.008,0,36.295,535.7130000000001,2019,4
,2019-05-01,225.637,0,0,163.438,62.199,0,0,171.991,11.035,0.447,0,0,0,245.672,163.438,409.11,437.882,276.896,570.096,0,34.238,535.858,2019,5
,2019-06-01,305.498,0,0,243.299,62.199,0,0,75.996,7.023,0.422,0,0,0,145.64,243.299,388.93899999999996,509.863,364.862,533.9399999999998,0,36.332,497.60799999999983,2019,6
,2019-07-01,266.827,0,0,212.654,54.173,0,0,64.997,9.029,0.446,0,0,0,128.645,212.654,341.299,549.852,350.868,540.2829999999999,0,36.023,504.2599999999999,2019,7
,2019-08-01,405.565,0,0,346.376,59.189,0,0,86.996,6.019,0.41,0,0,0,152.614,346.376,498.99,365.902,311.882,553.01,0,34.961,518.049,2019,8
,2019-09-01,434.577,0,0,372.378,62.199,0,0,76.996,13.042,0.298,0,0,0,152.535,372.378,524.913,309.917,292.89,541.9399999999999,0,33.746,508.19399999999996,2019,9
,2019-10-01,326.898,0,0,251.657,75.241,0,0,153.992,14.045,0.181,0,0,0,243.459,251.657,495.116,283.924,175.934,603.106,0,31.491,571.615,2019,10
,2019-11-01,287.523,0,0,217.298,70.225,0,0,270.986,11.035,0.059,0,0,0,352.30500000000006,217.298,569.6030000000001,249.933,207.922,611.614,0,33.128,578.486,2019,11
,2019-12-01,251.604,0,0,177.367,74.237,0,0,274.986,20.064,0.053,0,0,0,369.34,177.367,546.707,332.911,240.909,638.709,0,35.556,603.1529999999999,2019,12
,2020-01-01,199.063646,0,0,131.731287,67.332359,0,0,396.403849,23.878523,0.114814,0,0,0,487.72954500000003,131.731287,619.460832,347.030351,315.214042,651.277141,0,38.489801,612.7873400000001,2020,1
,2020-02-01,205.719997,0,0,136.435976,69.284021,0,0,365.372235,22.883584,0.219827,0,0,0,457.759667,136.435976,594.195643,328.028689,312.212003,610.012329,0,36.726906,573.285423,2020,2
,2020-03-01,163.552265,-9.999999974752427e-07,0,89.389088,74.163178,0,0,486.495633,16.913954,0.43312,0,0,0,578.005885,89.389087,667.394972,240.020992,285.193657,622.222307,0,36.137174,586.085133,2020,3
,2020-04-01,143.548318,0,0,76.215959,67.332359,0,0,215.219262,14.924077,0.580605,0,0,0,298.05630299999996,76.215959,374.27226199999996,332.029039,154.104643,552.196658,0,28.12793,524.068728,2020,4
,2020-05-01,203.698548,0,0,138.317852,65.380696,0,0,215.219262,12.9342,0.771029,0,0,0,294.305187,138.317852,432.62303899999995,335.029301,225.152887,542.4994529999999,0,30.57119,511.9282629999999,2020,5
,2020-06-01,289.07963,0,0,230.529753,58.549877,0,0,168.17133,5.969631,0.695419,0,0,0,233.386257,230.529753,463.91601,313.027377,260.176669,516.7667180000001,0,30.941199,485.8255190000001,2020,6
,2020-07-01,128.039698,0,0,73.393146,54.646552,0,0,115.117279,12.9342,0.666949,0,0,0,183.36497999999997,73.393146,256.75812599999995,516.045133,223.151528,549.6517309999999,0,30.776322,518.8754089999999,2020,7
