GWh,ARGENTINA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2017-07-01,10191.786,222.81,989.626,8842.653,136.696,0,254.571,2224.739,51.038,1.15,0,0,0,2413.623,10309.66,12723.283,2017,7
,2017-08-01,8336.063,184.201,589.612,7423.24,139.01,0,627.465,2505.627,53.465,1.363,0,0,0,2699.4649999999997,8824.518,11523.983,2017,8
,2017-09-01,7410.425,124.212,765.641,6372.487,148.086,0,615.818,2559.332,46.587,1.39,0,0,0,2755.3949999999995,7878.158,10633.553,2017,9
,2017-10-01,6631.554,148.861,529.796,5805.761,147.137,0,622.182,2988.144,54.393,1.619,0,0,0,3191.293,7106.6,10297.893,2017,10
,2017-11-01,6488.074,0,132.583,6225.9,129.591,0,511.901,3351.067,54.762,1.634,0,0,0,3537.054,6870.383999999999,10407.437999999998,2017,11
,2017-12-01,8854.071,164.896,687.648,7903.744,97.783,0,656.872,2971.606,66.496,1.701,0,0,0,3137.5860000000002,9413.16,12550.746,2017,12
,2018-01-01,9480.132,275.323,798.975,8344.922,60.912,0,644.692,2825.496,55.748,1.613,0,0,0,2943.769,10063.912,13007.681,2018,1
,2018-02-01,8868.209,246.154,1060.8,7495.686,65.569,0,577.493,2442.04,45.419,1.411,0,0,0,2554.439,9380.133,11934.572,2018,2
,2018-03-01,8764.467,288.844,527.928,7893.895,53.8,0,509.886,2360.332,49.862,2.005,0,0,0,2465.9990000000003,9220.553000000002,11686.552000000001,2018,3
,2018-04-01,8471.056,189.014,736.88,7488.191,56.971,0,580.602,2267.902,58.737,1.705,0,0,0,2385.315,8994.687,11380.002,2018,4
,2018-05-01,8011.239,137.079,366.092,7403.855,104.213,0,759.66,2242.818,62.327,1.25,0,0,0,2410.608,8666.686,11077.294,2018,5
,2018-06-01,9203.441,303.265,1132.951,7620.295,146.93,0,748.468,2672.041,90.184,1.27,0,0,0,2910.425,9804.979000000001,12715.404000000002,2018,6
,2018-07-01,9546.412,318.123,967.812,8109.132,151.345,0,713.131,3055.452,90.807,3.177,0,0,0,3300.781,10108.197999999999,13408.979,2018,7
,2018-08-01,8625.03,277.186,552.065,7640.321,155.458,0,671.174,2766.191,135.8,7.251,0,0,0,3064.7000000000003,9140.746,12205.446,2018,8
,2018-09-01,7813.258,61.084,80.907,7528.763,142.504,0,314.938,2256.443,146.964,10.987,0,0,0,2556.898,7985.692,10542.59,2018,9
,2018-10-01,6877.059,46.396,35.448,6671.771,123.444,0,399.539,2695.025,186.6,14.223,0,0,0,3019.292,7153.1539999999995,10172.446,2018,10
,2018-11-01,6286.154,0,46.662,6120.958,118.534,0,380.061,3092.642,223.179,23.832,0,0,0,3458.187,6547.681,10005.867999999999,2018,11
,2018-12-01,7351.523,0,85.146,7169.665,96.712,0,214.663,3189.396,256.909,38.789,0,0,0,3581.8060000000005,7469.474,11051.28,2018,12
,2019-01-01,8247.541,10.366,287.568,7878.708,70.899,0,202.318,2695.865,286.36,40.277,0,0,0,3093.401,8378.96,11472.360999999999,2019,1
,2019-02-01,8379.902,123.307,824.458,7346.632,85.505,0,303.361,1984.036,231.268,43.628,0,0,0,2344.4370000000004,8597.758,10942.195,2019,2
,2019-03-01,7100.637,0,42.339,6950.951,107.347,0,532.409,2155.92,306.481,50.558,0,0,0,2620.3060000000005,7525.699,10146.005000000001,2019,3
,2019-04-01,6871.359,0,41.837,6727.761,101.761,0,646.168,1940.417,328.206,50.184,0,0,0,2420.568,7415.7660000000005,9836.334,2019,4
,2019-05-01,7109.867,100.229,38.859,6845.808,124.971,0,844.672,2173.449,328.998,41.953,0,0,0,2669.371,7829.567999999999,10498.938999999998,2019,5
,2019-06-01,7593.27,149.32,350.724,6930.599,162.627,0,749.177,2083.701,407.059,40.644,0,0,0,2694.031,8179.82,10873.850999999999,2019,6
,2019-07-01,8479.203,310.533,482.169,7520.168,166.333,0,743.664,2332.297,418.386,53.793,0,0,0,2970.809,9056.534,12027.343,2019,7
,2019-08-01,7499.05,0,282.296,7050.812,165.942,0,873.965,2573.183,444.753,66.657,0,0,0,3250.5350000000003,8207.073,11457.608,2019,8
,2019-09-01,7166.732,190.449,253.764,6551.337,171.182,0,882.189,2302.772,526.051,85.109,0,0,0,3085.1139999999996,7877.7390000000005,10962.853,2019,9
,2019-10-01,7739.251,48.095,402.834,7120.94,167.382,0,719.164,2188.262,517.888,95.909,0,0,0,2969.4410000000003,8291.033,11260.474,2019,10
,2019-11-01,7286.886,18.039,153.458,6963.246,152.143,0,768.404,2439.806,564.461,108.603,0,0,0,3265.013,7903.147000000001,11168.16,2019,11
,2019-12-01,7895.044,236.268,121.738,7395.494,141.544,0,736.998,2382.89,599.963,117.818,0,0,0,3242.215,8490.498,11732.713,2019,12
,2020-01-01,8308.482257,96.379701,692.538804,7410.896052,108.6677,0,798.626949,2306.751904,678.481833,106.353565,0,0,0,3200.2550020000003,8998.441506,12198.696507999999,2020,1
,2020-02-01,7833.039664,188.981054,283.821725,7266.160614,94.07627,0,812.496885,1883.077589,645.464514,83.966079,0,0,0,2706.584452,8551.460278,11258.044730000001,2020,2
,2020-03-01,8630.010789,312.254577,217.640716,7990.688837,109.426659,0,936.424033,1787.129663,659.843768,98.008945,0,0,0,2654.409035,9457.008162999999,12111.417198,2020,3
,2020-04-01,6492.733775,0,12.333321,6366.505939,113.894515,0,984.642503,1328.762094,607.967651,79.648167,0,0,0,2130.272427,7363.481763,9493.75419,2020,4
,2020-05-01,6906.398473,38.481042,16.185023,6726.117805,125.614603,0,1023.416194,1562.401827,723.865199,72.223992,0,0,0,2484.105621,7804.200064000001,10288.305685000001,2020,5
,2020-06-01,7462.174476,155.528202,354.265068,6769.202546,183.17866,0,935.532119,2092.299059,725.91389,59.768598,0,0,0,3061.1602070000004,8214.527935,11275.688142,2020,6
,2020-07-01,8225.368258,677.795239,991.646268,6353.899267,202.027483,0,743.703733,2829.541944,751.08578,66.825514,0,0,0,3849.480721,8767.044507,12616.525228,2020,7
,2020-08-01,7501.117128,504.869666,395.023329,6386.248121,214.976012,0,899.679183,1897.264425,923.341063,86.192732,0,0,0,3121.7742319999998,8185.820299,11307.594530999999,2020,8
,2020-09-01,6814.344432,85.35585,171.33445,6341.213764,216.440367,0,888.515816,1829.618633,846.216469,124.69782,0,0,0,3016.973289,7486.41988,10503.393169,2020,9
,2020-10-01,7315.452118,0,35.849469,7067.017138,212.58551,0,697.386621,1836.951235,903.582482,150.433969,0,0,0,3103.5531960000003,7800.253228,10903.806424,2020,10
,2020-11-01,8426.304101,317.545067,814.766225,7076.711093,217.281717,0,684.693669,1619.46579,860.187193,193.412976,0,0,0,2890.347676,8893.716054,11784.06373,2020,11
,2020-12-01,8780.072046,540.77378,868.824605,7144.602045,225.871617,0,701.000908,1792.278164,1016.70407,215.164917,0,0,0,3250.018768,9255.201337999999,12505.220105999999,2020,12
,2021-01-01,7030.35479,329.206519,515.626353,5977.228358,208.29356,0,684.297067,2095.251936,1049.906668,193.861897,0,0,0,3547.314061,7506.358297000001,11053.672358,2021,1
,2021-02-01,5253.284868,40.723072,186.822785,4834.073359,191.665652,0,533.557161,2460.109904,820.107144,169.140913,0,0,0,3641.0236130000003,5595.176377,9236.199990000001,2021,2
,2021-03-01,6005.378813,236.782049,245.846891,5321.010072,201.739802,0,717.437017,1966.870434,946.315734,160.125513,0,0,0,3275.051483,6521.076029,9796.127512,2021,3
,2021-04-01,5658.515967,351.152742,303.004896,4800.354705,204.003625,0,536.248524,1485.514167,953.188719,144.764433,0,0,0,2787.470944,5990.760866999999,8778.231811,2021,4
,2021-05-01,5996.281151,421.907228,528.827723,4813.357846,232.188354,0,722.723839,1971.634642,1017.944497,122.33481,0,0,0,3344.1023029999997,6486.816636,9830.918939,2021,5
