GWh,BRAZIL,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2020-08-01,9366.302751,741.122211,111.845579,2894.938981,5440.965387,177.430594,822.403069,30849.130561,6855.0941,757.833453,0,0,0,43903.023501,4747.740433999999,48650.763935,2020,8
,2020-09-01,8941.335321,597.064405,114.450574,2638.501249,5413.8885,177.430594,1264.831348,32518.280091,6817.330712,788.308599,0,0,0,45537.807902,4792.27817,50330.086072,2020,9
,2020-10-01,14641.17972,2164.865312,564.611409,6528.792434,5205.479971,177.430594,1299.804824,31621.672839,5872.310754,700.789884,0,0,0,43400.253447999996,10735.504573,54135.758020999994,2020,10
,2020-11-01,15104.046179,2149.294682,873.384682,7696.639351,4207.29687,177.430594,1259.922808,28192.991216,5346.378259,629.469613,0,0,0,38376.135958,12156.672116999998,50532.80807499999,2020,11
,2020-12-01,13123.164433,2571.446128,690.603744,7674.528733,2009.155235,177.430594,1293.512026,31224.235699,5826.366594,663.572792,0,0,0,39723.33032,12407.521225,52130.851545,2020,12
,2021-01-01,12244.164312,2322.923289,1130.605,7434.666479,1178.538945,177.430594,1288.886883,31585.934388,5582.027595,710.794591,0,0,0,39057.295519,12354.512245,51411.807764,2021,1
,2021-02-01,9181.515962,2023.282639,407.971443,5380.518146,1192.313139,177.430594,1287.126081,34760.027596,4007.047895,626.184093,0,0,0,40585.572723000005,9276.328903,49861.901626000006,2021,2
,2021-03-01,8473.150849,1115.934925,249.507734,5353.436313,1576.841284,177.430594,1284.698158,39263.646091,3999.51909,756.709758,0,0,0,45596.716223,8181.007724000001,53777.723947000006,2021,3
,2021-04-01,10662.067817,1094.632202,177.87872,5528.894895,3683.231406,177.430594,1070.581798,35118.75924,4647.079519,756.709758,0,0,0,44205.779922999995,8049.418209000001,52255.198132,2021,4
,2021-05-01,12752.649644,1522.325323,249.507734,5469.109008,5334.276985,177.430594,1005.015066,32055.102233,5300.701356,766.305716,0,0,0,43456.38629,8423.387725,51879.774015,2021,5
