GWh,SLOVAKREPUBLIC,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,609.851,284.104,40.86,132.489,150.485,1.913,1318.87,285.715,0.5,18.241,0,0,9.333,454.941,1787.569,2242.5099999999998,1695,1348.254,2589.256,20.978,137.132,2431.1459999999997,2016,1
,2016-02-01,558.471,260.16900000000004,37.417,121.327,137.807,1.751,1210.21,493.418,0.5,27.487,0,0,9.333,659.212,1640.207,2299.419,1007,951.18,2355.239,36.228,115.153,2203.858,2016,2
,2016-03-01,596.448,277.86,39.962,129.577,147.178,1.871,1257.064,414.432,0.5,48.127,0,0,9.333,610.237,1715.6670000000001,2325.904,1060,990.187,2395.717,30.429,117.921,2247.367,2016,3
,2016-04-01,499.274,232.591,33.451,108.467,123.199,1.566,959.994,365.676,0.5,59.972,0,0,9.333,549.347,1345.402,1894.749,1352,1035.195,2211.554,26.849,113.075,2071.63,2016,4
,2016-05-01,456.83,212.81799999999998,30.607,99.246,112.726,1.433,766.599,400.78,0.5,63.97,0,0,9.333,577.976,1120.036,1698.0120000000002,1383,857.162,2223.8500000000004,29.426,107.303,2087.1210000000005,2016,5
,2016-06-01,443.427,206.57400000000004,29.709,96.334,109.419,1.391,737.69,439.786,0.5,60.971,0,0,9.333,610.676,1081.0310000000002,1691.7070000000003,1084,621.117,2154.59,32.29,96.67,2025.63,2016,6
,2016-07-01,417.736,194.606,27.988,90.753,103.079,1.31,1277.001,393.954,0.5,64.47,0,0,9.333,562.003,1600.991,2162.994,910,949.179,2123.815,28.925,107.024,1987.866,2016,7
,2016-08-01,434.492,202.411,29.111,94.393,107.214,1.363,1283.979,395.905,0.5,62.97,0,0,9.333,566.5889999999999,1620.5900000000001,2187.179,638,698.132,2127.047,29.068,98.393,1999.586,2016,8
,2016-09-01,427.79,199.28900000000002,28.662,92.937,105.56,1.342,1232.142,267.187,0.5,49.427,0,0,9.333,422.67400000000004,1563.7050000000002,1986.3790000000001,856,706.133,2136.246,19.618,98.992,2017.6360000000002,2016,9
,2016-10-01,472.467,220.10299999999998,31.655,102.643,116.584,1.482,1086.597,335.447,0.5,40.681,0,0,9.333,493.212,1451.813,1945.025,1133,706.133,2371.892,24.629,107.199,2240.064,2016,10
,2016-11-01,554.004,258.088,37.118,120.357,136.704,1.737,1277.001,384.203,0.5,21.59,0,0,9.333,542.997,1703.634,2246.631,863,688.13,2421.5009999999997,28.209,108.3,2284.9919999999997,2016,11
,2016-12-01,594.214,276.8200000000001,39.812,129.092,146.626,1.864,1324.851,372.502,0.5,15.093,0,0,9.333,534.721,1781.7720000000004,2316.4930000000004,1268,1047.198,2537.295,27.35,124.838,2385.107,2016,12
,2017-01-01,689.434,368.92599999999993,35.62,163.878,118.977,2.033,1311.328,345.906,0.5,20.548,0,0,12.095,485.93100000000004,1893.8799999999999,2379.8109999999997,1724,1255.2,2848.611,60,125.636,2662.975,2017,1
