GWh,CANADA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,12765.296,5602.534,716.925,5566.323,871.137,8.377,8924.23,38776.567,3293.311,140.773,0,1.288,15.734,43083.07600000001,20834.123,63917.19900000001,642.207,6308.115,58251.29100000001,21.334,3213.157,55016.80000000001,2016,1
,2016-02-01,10909.139,4787.888999999999,612.679,4756.944,744.468,7.159,8277.957,35278.061,3036.807,180.096,0,1.826,18.15,39241.258,18460.778,57702.036,902.226,5394.775,53209.487,19.41,2916.766,50273.311,2016,2
,2016-03-01,11346.892,4980.013999999999,637.264,4947.827,774.341,7.446,8187.76,34515.15,2582.123,241.97,0,1.947,18.849,38115.531,18779.16,56894.691000000006,1018.858,5738.061,52175.488000000005,18.99,2882.389,49274.109000000004,2016,3
,2016-04-01,9966.123,4374.0109999999995,559.718,4345.74,680.114,6.54,6893.591,30243.762,2403.123,345.13,0,1.844,17.635,33673.973,16197.235,49871.208,916.03,4608.104,46179.134,16.64,2527.709,43634.784999999996,2016,4
,2016-05-01,9651.048,4235.728000000001,542.022,4208.352,658.613,6.333,6099.5,29258.92,2329.164,502.6,0,1.847,15.857,32751.144,15107.792000000001,47858.936,728.765,5600.308,42987.393000000004,16.098,2418.237,40553.058000000005,2016,5
,2016-06-01,9848.134,4322.227,553.091,4294.291,672.062,6.463,7534.79,28374.747,2256.67,530.325,0,1.346,15.181,31835.15,16726.043,48561.193,595.484,6622.258,42534.418999999994,15.611,2446.555,40072.253,2016,6
,2016-07-01,11339.253,4976.661000000001,636.835,4944.496,773.82,7.441,8695.721,29403.124,1830.781,502.229,0,1.2,13.628,32511.154,19274.782000000003,51785.936,670.441,7480.687,44975.69,16.177,2610.783,42348.73,2016,7
,2016-08-01,12025.921,5278.031000000001,675.4,5243.918,820.68,7.892,8534.664,29489.333,1693.044,496.918,0,1.97,14.52,32501.945000000003,19754.425,52256.37,794.377,7157.182,45893.565,16.225,2640.365,43236.975000000006,2016,8
,2016-09-01,10374.132,4553.081,582.632,4523.653,707.958,6.808,8132.921,27102.967,2087.584,417.993,0,1.45,10.358,30317.951999999997,17809.453,48127.405,837.828,6063.287,42901.945999999996,14.912,2437.027,40450.007,2016,9
,2016-10-01,10553.93,4631.992,592.73,4602.054,720.228,6.926,8109.45,28634.703,2523.446,305.992,0,1.135,7.512,32185.503999999997,17950.663999999997,50136.16799999999,816.198,5404.179,45548.18699999999,15.754,2535.927,42996.505999999994,2016,10
,2016-11-01,10932.212,4798.016,613.975,4767.004,746.043,7.174,7960.042,32045.534,2991.938,230.383,0,1.706,10.935,36015.604,18157.146,54172.75,681.381,6210.745,48643.386,17.631,2730.12,45895.635,2016,11
,2016-12-01,12537.919,5502.741,704.155,5467.175,855.62,8.228,8336.374,38565.13,3595.008,97.59,0,1.442,19.639,43114.79,20038.311999999998,63153.102,699.205,6515.3,57337.007,21.218,3177.965,54137.824,2016,12
,2017-01-01,11768.792,5370.154999999999,523.31,4846.935,1020.083,8.309,8854.401,40044.254,2948.871,93.487,0,1.735,20.44,44108.43,19623.549999999996,63731.979999999996,526.659,6574.851,57683.78799999999,21.521,3478.668,54183.598999999995,2017,1
,2017-02-01,10534.582,4806.98,468.429,4338.63,913.105,7.438,7259.867,35074.051,2922.738,162.481,0,1.573,19.343,39073.948,16900.687,55974.634999999995,840.17,5448.55,51366.25499999999,18.85,3075.693,48271.71199999999,2017,2
,2017-03-01,11018.151,5027.634,489.932,4537.786,955.02,7.779,7782.541,37764.886,2998.713,312.181,0,0.433,17.313,42031.23299999999,17862.984999999997,59894.21799999999,1229.969,6054.101,55070.08599999999,20.296,3308.983,51740.806999999986,2017,3
,2017-04-01,9226.877,4210.268,410.281,3800.056,799.757,6.515,6959.768,31193.736,2568.728,332.995,0,0,16.769,34895.21600000001,15403.657,50298.87300000001,1288.013,5974.208,45612.67800000001,16.764,2792.678,42803.236000000004,2017,4
,2017-05-01,8887.465,4055.3920000000007,395.189,3660.271,770.338,6.275,7411.334,29334.42,2431.451,363.028,0,0.422,14.57,32899.659,15543.030999999999,48442.69,1214.87,5777.2,43880.36000000001,15.765,2688.233,41176.36200000001,2017,5
,2017-06-01,8341.853,3806.4269999999988,370.928,3435.562,723.046,5.89,8132.128,28514.03,2215.854,399.778,0,1.325,13.618,31854.032999999996,15764.552999999998,47618.585999999996,1066.522,6537.078,42148.02999999999,15.324,2635.589,39497.11699999999,2017,6
,2017-07-01,10122.055,4618.741,450.086,4168.732,877.349,7.147,8804.319,30491.965,1661.43,447.688,0,0.485,13.291,33478.917,18062.316000000003,51541.23300000001,582.787,7033.702,45090.31800000001,16.387,2821.756,42252.175,2017,7
,2017-08-01,10616.778,4844.486,472.084,4372.482,920.23,7.496,8336.653,30502.6,1729.825,453.059,0,0,13.072,33605.714,18046.273,51651.987,500.621,7492.101,44660.507,16.393,2823.303,41820.811,2017,8
,2017-09-01,9857.481,4498.014999999999,438.321,4059.769,854.416,6.96,7517.619,28556.846,1857.755,430.678,0,0,15.893,31699.695000000003,16536.576999999997,48236.272,554.798,6240.392,42550.678,15.347,2641.325,39894.006,2017,9
,2017-10-01,9451.88,4312.937999999999,420.286,3892.723,819.26,6.673,7917.298,26976.81,3255.361,296.759,0,0.025,18.477,31348.215000000004,16568.395,47916.61,664.487,4689.51,43891.587,14.498,2629.958,41247.131,2017,10
