GWh,UNITEDSTATES,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-04-01,177922.089,84554.817,1863.607,85682.164,5110.867,710.634,56710.622,30910.349,25781.188,6334.9,1353.162,0,400.578,69490.46599999999,229922.422,299412.888,5590.346,1106.685,303896.549,1984.059,16807.299,285105.191,2017,4
,2017-05-01,200285.039,95729.96099999998,2556.686,95987.104,5241.576,769.712,61274.082,34201.09,22663.269,7639.555,1291.067,0,385.517,71036.55699999999,256703.06199999998,327739.61899999995,5438.265,1048.794,332129.08999999997,2394.79,21994.353,307739.947,2017,5
,2017-06-01,235303.422,111313.324,2724.878,115112.118,5390.037,763.065,66972.13,32786.155,19700.308,8272.741,1260.843,0,406.921,67410.08399999999,297292.436,364702.51999999996,6083.107,921.087,369864.54,2887.512,23220.578,343756.44999999995,2017,6
,2017-07-01,284565.372,131969.75199999998,2562.725,143479.485,5757.006,796.404,71273.085,28621.164,15893.75,7307.618,1363.589,0,486.037,58943.127,350567.48799999995,409510.61499999993,6630.504,688.504,415452.61499999993,3603.523,27477.022,384372.06999999995,2017,7
,2017-08-01,270934.405,123474.64800000002,2480.625,138430.961,5730.253,817.918,72342.466,23998.507,13188.949,7159.487,1352.856,0,478.182,51430.052,338024.80000000005,389454.8520000001,5612.273,695.993,394371.13200000004,3368.088,17702.31,373300.73400000005,2017,8
,2017-09-01,225247.052,101403.552,2395.021,115583.098,5133.126,732.255,68034.094,21092.233,17323.486,6831.529,1321.348,0,372.885,51701.722,288520.90499999997,340222.627,4551.444,729.075,344044.996,2706.92,10785.131,330552.945,2017,9
,2017-10-01,206982.816,92814.87299999999,2206.722,105890.957,5334.8,735.464,65956.719,18956.04,24831.731,6373.88,1257.015,0,360.385,56753.46599999999,267965.12,324718.586,4744.003,660.205,328802.384,2184.356,15452.459,311165.569,2017,10
,2017-11-01,194472.999,94080.03100000002,2310.84,91985.079,5353.429,743.62,66579.427,21345.068,23360.329,4094.378,1329.991,0,402.289,55483.195,256101.286,311584.48099999997,4940.392,612.984,315911.88899999997,1951.931,18090.454,295869.50399999996,2017,11
,2017-12-01,225076.601,109726.613,3615.129,105178.344,5737.582,818.933,73657.062,24079.017,22815.03,4079.097,1388.685,0,408.288,58099.411,293404.369,351503.78,5185.823,650.523,356039.08,2193.39,25029.466,328816.22400000005,2017,12
,2018-01-01,245088.624,123308.584,8605.433,106691.285,5700.669,782.653,74653.931,27257.752,26654.435,4163.196,1326.839,0,436.318,65102.890999999996,314478.204,379581.09500000003,4957.427,1328.832,383209.69000000006,2211.946,17508.718,363489.02600000007,2018,1
,2018-02-01,187525.411,85709.88799999999,2117.051,93739.817,5225.92,732.735,64794.275,27229.593,23777.151,5146.183,1258.44,0,359.224,62637.287000000004,247452.98999999996,310090.27699999994,4790.944,1235.821,313645.39999999997,1778.901,9728.052,302138.447,2018,2
,2018-03-01,194072.684,84521.679,1981.656,101269.872,5518.456,781.021,67037.048,27392.169,27094.861,6496.87,1338.01,0,435.317,67840.366,256026.59300000002,323866.95900000003,5263.411,1310.112,327820.25800000003,1835.932,15845.1,310139.226,2018,3
,2018-04-01,183062.713,76923.23399999998,2858.676,97603.052,4946.714,731.037,59090.872,29123.005,26582.784,7785.563,1170.612,0,404.948,69608.67799999999,237611.81900000002,307220.497,4947.748,1244.525,310923.72,1715.009,17761.019,291447.692,2018,4
,2018-05-01,210761.395,89271.36699999998,2448.485,112898.532,5395.818,747.193,67324.658,32380.325,23259.172,9017.287,1361.098,0,431.509,71413.7,273121.744,344535.444,5454.343,1199.778,348790.009,2264.238,25672.548,320853.223,2018,5
,2018-06-01,241868.255,105898.228,3090.47,126639.382,5433.253,806.922,69692.122,29782.04,24260.156,9934.779,1290.38,0,409.94,70700.608,306537.064,377237.672,5961.892,928.433,382271.131,2611.037,21330.039,358330.055,2018,6
,2018-07-01,291595.353,120541.58000000005,3571.911,161079.819,5587.414,814.629,72460.756,26493.705,15809.433,8752.674,1349.509,0,407.507,57992.735,358876.20200000005,416868.93700000003,5733.21,935.084,421667.0630000001,3275.728,23216.723,395174.6120000001,2018,7
,2018-08-01,290357.012,120170.97399999996,3401.116,160528.31,5442.325,814.287,72287.203,24260.285,19394.641,8891.567,1380.342,0,291.447,59369.159999999996,357493.33699999994,416862.4969999999,5700.467,942.882,421620.08199999994,3478.567,19071.629,399069.88599999994,2018,8
,2018-09-01,249028.203,100909.04600000003,3369.485,139011.743,5012.462,725.467,64728.993,20765.642,17881.247,8232.332,1340.962,0,153.106,53232.645,308897.8400000001,362130.4850000001,4610.382,984.276,365756.5910000001,2603.208,13720.744,349432.6390000001,2018,9
,2018-10-01,220743.52,91220.983,2779.702,120838.704,5132.695,771.436,59400.796,20491.111,21019.142,6664.521,1305.813,0,425.4,54613.28200000001,275437.021,330050.303,3377.268,1257.435,332170.136,2096.986,11466.953,318606.197,2018,10
,2018-11-01,209619.105,96748.489,2982.781,104008.592,5119.581,759.662,63951.841,23666.26,22351.958,5045.626,1361.796,0,423.77,57545.221000000005,268875.13500000007,326420.3560000001,3573.989,1201.185,328793.1600000001,1698.185,19769.674,307325.3010000001,2018,11
,2018-12-01,214516.627,100999.029,3158.874,104235.384,5318.32,805.02,71661.983,25185.058,24671.678,4093.117,1483.335,0,451.081,60751.507999999994,281311.371,342062.87899999996,3889.522,1236.128,344716.2729999999,1837.758,16044.802,326833.71299999993,2018,12
,2019-01-01,230751.034,104861.54700000002,3410.033,116333.996,5315.997,829.461,73716.454,27409.038,24576.197,4849.354,1380.78,0,449.483,63531.366,299600.97400000005,363132.34,5468.823,1515.221,367085.942,1896.489,19696.309,345493.144,2019,1
,2019-02-01,199359.68,83330.01199999999,2548.209,107998.388,4764.186,718.885,64728.601,24589.378,22510.7,5191.437,1269.716,0,330.747,58325.416999999994,259654.842,317980.259,4218.653,1721.1,320477.81200000003,1788.947,12399.42,306289.445,2019,2
,2019-03-01,200341.699,81879.63299999999,2548.123,110178.624,4982.614,752.705,65093.475,28139.42,25430.302,7965.958,1403.222,0,402.618,67921.51599999999,260855.17799999999,328776.69399999996,4750.375,2111.837,331415.23199999996,1817.577,14825.062,314772.59299999994,2019,3
,2019-04-01,171291.68,62749.11499999999,2433.27,100784.719,4605.869,718.707,60593.758,28423.778,29515.893,9185.568,1246.811,0,365.773,72977.919,227645.34199999998,300623.26099999994,4661.363,2088.169,303196.45499999996,1766.729,16180.39,285249.33599999995,2019,4
,2019-05-01,196938.503,75108.64899999999,2979.085,113020.436,5020.174,810.159,67137.763,33646.449,25858.809,9639.597,1310.693,0,384.881,75475.722,259440.973,334916.695,5103.322,1779.836,338240.181,2370.643,23928.225,311941.31299999997,2019,5
,2019-06-01,224279.233,81853.72200000001,2781.516,133838.289,5007.323,798.383,68819.452,29647.749,22860.679,10846.421,1332.04,0,378.097,69694.212,288469.45900000003,358163.67100000003,5449.236,1571.331,362041.576,2303.981,22476.813,337260.782,2019,6
