unit,year,month,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2015,1,4400.345,222.215,3856.903,5192.876,2858.196,4906.52,613.6775,637.9895,8479.463,14209.259,22688.722,0.19394415428070386,0.009794073020066974,0.16999207800245425,0.22887476870667284,0.1259743056484186,0.21625369644001985,0.027047689155872242,0.02811923474579132,0.37373030530322504,0.6262696946967748
Gwh,2015,2,2751.7355,212.433,3170.992,4689.822,3841.08,6027.747,592.081,542.8195,6135.1605,15693.5495,21828.71,0.12606038103030368,0.00973181649304975,0.1452670359357012,0.21484650261055283,0.175964589753586,0.27613848917320355,0.027123957393725973,0.02486722760987708,0.28105923345905465,0.7189407665409454
Gwh,2015,3,2508.007,224.53,3252.474,5193.999,4135.559167,4902.465,791.2845,577.887743,5985.011,15601.19541,21586.20641,0.11618563041434385,0.010401549755217041,0.15067371905112809,0.24061657251613394,0.19158341620805433,0.22711100352162344,0.036656950506756505,0.026771158026742875,0.27726089922068897,0.7227391007793111
Gwh,2015,4,2747.308,238.605,3210.852,4730.074901,2787.618904,3941.733,847.1185,475.49125699999996,6196.765,12782.036562,18978.801562,0.14475666395610318,0.012572184772601396,0.16918096695994106,0.2492293776057344,0.14688066024050037,0.2076913543314701,0.04463498378612744,0.02505380834752204,0.3265098156886456,0.6734901843113543
Gwh,2015,5,2619.061,246.847,3223.226,3863.868139,3114.963429,4742.155,1160.1105,592.0646820000001,6089.134,13473.16175,19562.29575,0.13388311031950328,0.012618508745324535,0.164767266643538,0.19751608851941624,0.15923301992814415,0.24241301024190884,0.059303392343406314,0.030265603258758628,0.3112688857083658,0.6887311142916341
Gwh,2015,6,4764.278,226.971,3413.571,3869.17846,2465.56,2887.952,1184.092,643.871564,8404.82,11050.654024,19455.474024,0.24488110616697664,0.01166617681584174,0.17545555537680896,0.19887351267962097,0.12672834375346084,0.14843904581494458,0.06086163711762154,0.033094622274724796,0.43200283835962733,0.5679971616403727
Gwh,2015,7,5453.4875,274.649,5052.283,4807.014,2077.05,3083.489,1247.0975,671.796136,10780.4195,11886.446636,22666.866136,0.24059291951870906,0.012116761018136362,0.222892876751756,0.21207228079780283,0.09163375243572754,0.13603508228703645,0.055018523183464396,0.029637804007367347,0.4756025572886014,0.5243974427113985
Gwh,2015,8,4734.6545,239.846,3784.767,4972.042,1810.566,3241.372,1039.149,682.984723,8759.2675,11746.113722999999,20505.381222999997,0.23089814563844066,0.011696734500647817,0.18457432996928586,0.24247498478219348,0.08829711480658388,0.15807421304434435,0.05067689250441399,0.0333075847540901,0.42716921010837433,0.5728307898916257
Gwh,2015,9,4191.315,250.243,3510.374,4876.589,1772.744,3000.832,916.131,654.321181,7951.932,11220.617181,19172.549181000002,0.21861020985950022,0.013052150636702543,0.18309375382793544,0.2543526660937034,0.09246261325316038,0.15651711056627904,0.04778347372335265,0.03412802203936618,0.4147561143241382,0.5852438856758616
Gwh,2015,10,4029.199,237.325,3649.544,4186.6588059999995,1904.3315,3905.269,616.956,699.033714,7916.068,11312.24902,19228.31702,0.20954506813098095,0.012342473850059292,0.18980049040194158,0.21773402225713875,0.09903786680962472,0.2030998862738742,0.03208580341993966,0.03635438885644086,0.41168803238298185,0.5883119676170182
Gwh,2015,11,4217.489,251.935,3731.734,4015.336194,2181.961,3706.943,660.42,664.825085,8201.158,11229.485278999999,19430.643279,0.21705349326021145,0.012965859976045315,0.1920540635951634,0.20664967887808652,0.11229484112644852,0.19077819230032092,0.033988581361779215,0.03421528950194464,0.42207341683142013,0.5779265831685797
Gwh,2015,12,4257.739,262.31,4358.228,4847.995,1776.847,3527.485,441.9485,628.803784,8878.277,11223.079284,20101.356284,0.21181351844348015,0.013049368226401214,0.21681263385540814,0.2411775072042696,0.08839438368715001,0.17548492500517285,0.021986004016643197,0.03128165956147479,0.4416755205252895,0.5583244794747104
