date,mw,region
2016-08-01 0:00,9593,ОЭС ЮГА
2016-08-01 1:00,9412,ОЭС ЮГА
2016-08-01 2:00,9088,ОЭС ЮГА
2016-08-01 3:00,9200,ОЭС ЮГА
2016-08-01 4:00,9270,ОЭС ЮГА
2016-08-01 5:00,9103,ОЭС ЮГА
2016-08-01 6:00,9501,ОЭС ЮГА
2016-08-01 7:00,9432,ОЭС ЮГА
2016-08-01 8:00,10305,ОЭС ЮГА
2016-08-01 9:00,11729,ОЭС ЮГА
2016-08-01 10:00,11609,ОЭС ЮГА
2016-08-01 11:00,11907,ОЭС ЮГА
2016-08-01 12:00,11513,ОЭС ЮГА
2016-08-01 13:00,12041,ОЭС ЮГА
2016-08-01 14:00,12161,ОЭС ЮГА
2016-08-01 15:00,12311,ОЭС ЮГА
2016-08-01 16:00,12219,ОЭС ЮГА
2016-08-01 17:00,11726,ОЭС ЮГА
2016-08-01 18:00,11565,ОЭС ЮГА
2016-08-01 19:00,11723,ОЭС ЮГА
2016-08-01 20:00,11628,ОЭС ЮГА
2016-08-01 21:00,12544,ОЭС ЮГА
2016-08-01 22:00,11540,ОЭС ЮГА
2016-08-01 23:00,11185,ОЭС ЮГА
