date,mw,region
2015-07-24 0:00,9155,ОЭС ЮГА
2015-07-24 1:00,8537,ОЭС ЮГА
2015-07-24 2:00,8267,ОЭС ЮГА
2015-07-24 3:00,8222,ОЭС ЮГА
2015-07-24 4:00,8007,ОЭС ЮГА
2015-07-24 5:00,7597,ОЭС ЮГА
2015-07-24 6:00,8159,ОЭС ЮГА
2015-07-24 7:00,9018,ОЭС ЮГА
2015-07-24 8:00,9518,ОЭС ЮГА
2015-07-24 9:00,10264,ОЭС ЮГА
2015-07-24 10:00,10529,ОЭС ЮГА
2015-07-24 11:00,10799,ОЭС ЮГА
2015-07-24 12:00,10854,ОЭС ЮГА
2015-07-24 13:00,10952,ОЭС ЮГА
2015-07-24 14:00,10957,ОЭС ЮГА
2015-07-24 15:00,11134,ОЭС ЮГА
2015-07-24 16:00,11191,ОЭС ЮГА
2015-07-24 17:00,10741,ОЭС ЮГА
2015-07-24 18:00,10752,ОЭС ЮГА
2015-07-24 19:00,10730,ОЭС ЮГА
2015-07-24 20:00,10689,ОЭС ЮГА
2015-07-24 21:00,11021,ОЭС ЮГА
2015-07-24 22:00,10789,ОЭС ЮГА
2015-07-24 23:00,10041,ОЭС ЮГА
