hour,sector,source,date
为2894,水电,https://cec.org.cn/detail/index.html?3-289327,2020-09-01
为3047,火电,https://cec.org.cn/detail/index.html?3-289327,2020-09-01
5521,核电,https://cec.org.cn/detail/index.html?3-289327,2020-09-01
1549,风电,https://cec.org.cn/detail/index.html?3-289327,2020-09-01
1009,太阳能发电,https://cec.org.cn/detail/index.html?3-289327,2020-09-01
