hour,sector,source,date
为2304,水电,https://cec.org.cn/detail/index.html?3-257813,2017-08-01
为2793,火电,https://cec.org.cn/detail/index.html?3-257813,2017-08-01
4743,核电,https://cec.org.cn/detail/index.html?3-257813,2017-08-01
1245,风电,https://cec.org.cn/detail/index.html?3-257813,2017-08-01
