hour,sector,source,date
为2794,水电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
为3339,火电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
为3450,燃煤发电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
为2074,燃气发电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
5842,核电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
1640,风电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
1006,太阳能发电,https://cec.org.cn/detail/index.html?3-302143,2021-09-01
