KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25555.647,MWH,14237.33,14304.83,14434.83,14378.66,14540.83,14692.83,14711.83,14670.6,14779.63,14969.63,14946.03,14985.73,15078.43,15055.13,14823.46,14822.46,14815.96,14815.96,14835.96,14844.86,14793.16,14677.86,14796.73,14797.93,2017-01-08
BARAJLI,19638.282,MWH,15037.27,15036.87,15027.07,15026.07,15030.07,15024.07,15026.07,15024.07,14872.07,15090.07,15357.87,15356.27,15142.07,15141.07,15286.07,15287.87,15332.47,15327.47,15337.47,15336.47,15354.47,15070.47,15055.67,15057.57,2017-01-08
LİNYİT,9416.904,MWH,5732.9,5732.9,5732.9,5732.9,5732.9,5732.9,5732.9,5742.9,5742.9,5695.9,5695.9,5711.9,5711.9,5731.9,5758.9,5758.9,5758.9,5758.9,5758.9,5758.9,5758.9,5758.9,5758.9,5459.0,2017-01-08
İTHAL KÖMÜR,7616.35,MWH,7069.0,7069.0,7069.0,7039.0,7039.0,7039.0,7039.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,7069.0,2017-01-08
AKARSU,7194.798,MWH,3107.126,3077.126,3082.626,3068.626,3035.826,3033.726,3060.726,3122.226,3167.026,3343.026,3348.226,3448.126,3288.126,3268.226,3335.626,3342.726,3307.826,3350.826,3328.826,3300.626,3220.926,3159.926,3118.826,3130.926,2017-01-08
RÜZGAR,5760.4,MWH,3688.278,3668.916,3665.334,3653.523,3648.6,3641.529,3629.974,3630.065,3624.23,3620.58,3605.94,3591.446,3576.148,3555.698,3536.9,3523.977,3507.394,3499.357,3493.084,3492.994,3486.046,3463.304,3424.561,3391.376,2017-01-08
JEOTERMAL,829.058,MWH,556.74,558.04,559.14,559.94,560.14,559.24,558.79,556.74,555.04,550.44,545.94,543.19,541.44,546.14,546.99,548.54,549.94,553.39,557.69,561.54,563.34,565.94,569.34,570.04,2017-01-08
FUEL OİL,735.69,MWH,208.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,2017-01-08
TAŞ KÖMÜR,616.146,MWH,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,2017-01-08
ASFALTİT KÖMÜR,405.0,MWH,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,405.0,2017-01-08
BİYOKÜTLE,352.63,MWH,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,115.37,115.37,115.37,115.37,115.37,115.37,115.37,115.37,115.37,114.0,114.0,114.0,114.0,114.0,114.0,2017-01-08
ATIK ISI,132.925,MWH,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,2017-01-08
GÜNEŞ,12.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2017-01-08
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-08
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-08
