KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25642.202,MWH,16428.23,16461.23,16204.06,16256.56,16366.56,16461.56,16884.23,17174.51,16429.03,16276.03,16211.03,16228.53,16313.53,16304.53,16256.53,16263.53,16735.36,16675.36,16728.36,17053.63,16967.53,16981.53,17071.73,17081.73,2017-03-19
BARAJLI,19638.282,MWH,14997.52,14997.52,14997.52,15012.52,14547.52,14521.52,13800.52,13797.52,13689.52,13718.92,13715.62,13746.62,13616.22,13616.22,13772.22,13772.22,13771.22,13781.22,14958.22,14931.12,14931.12,14935.52,14926.12,14925.12,2017-03-19
LİNYİT,9416.904,MWH,4309.9,4309.9,4309.9,4309.9,4309.9,4309.9,4309.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,4314.9,2017-03-19
İTHAL KÖMÜR,7616.35,MWH,6119.0,6119.0,6118.0,6117.0,6116.0,6115.0,6116.0,6115.0,6106.0,6126.0,6127.0,6125.0,6124.0,6124.0,6134.0,6133.0,6118.0,6127.0,6128.0,6144.0,6146.0,6142.0,6135.0,6121.0,2017-03-19
AKARSU,7216.884,MWH,3807.829,3808.679,3831.169,3807.499,3799.589,3783.429,3749.749,3757.129,3890.559,3910.449,3944.929,3948.449,3902.299,3863.099,3892.169,3890.459,3897.229,3888.619,3862.419,3878.519,3942.619,3914.519,3871.329,3861.239,2017-03-19
RÜZGAR,5944.162,MWH,3181.406,3186.99,3200.917,3218.257,3220.251,3218.62,3207.24,3195.722,3179.215,3144.833,3137.878,3110.76,3092.361,3131.406,3169.114,3223.779,3265.328,3299.392,3346.511,3399.741,3412.8,3399.803,3372.048,3337.541,2017-03-19
JEOTERMAL,844.058,MWH,552.0,553.6,554.1,554.0,554.6,555.7,555.1,554.1,550.2,545.7,539.0,537.7,533.9,530.5,526.3,523.6,531.9,534.1,539.4,541.7,545.1,545.65,548.25,552.65,2017-03-19
FUEL OİL,735.69,MWH,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,2017-03-19
TAŞ KÖMÜR,616.146,MWH,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,2017-03-19
ASFALTİT KÖMÜR,405.0,MWH,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,2017-03-19
BİYOKÜTLE,359.777,MWH,127.69,127.99,129.35,129.05,129.05,129.05,126.15,109.15,109.15,110.52,110.52,110.52,110.52,110.52,110.52,110.82,110.82,120.02,127.52,128.55,128.55,128.55,128.55,128.55,2017-03-19
ATIK ISI,132.925,MWH,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,2017-03-19
GÜNEŞ,12.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2017-03-19
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-03-19
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-03-19
