KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26605.906,MWH,12829.54,12867.81,12909.29,13090.39,13089.77,13088.6,13083.73,13277.62,13414.39,13489.57,13597.63,13592.2,13568.24,13554.66,13543.8,13536.11,13534.37,13549.77,13395.47,13435.64,13495.6,13537.82,13467.44,13490.31,2017-05-23
BARAJLI,19732.122,MWH,16043.07,16042.07,16031.57,16031.57,16030.57,16030.57,16030.57,16051.57,15691.87,15751.87,15729.87,15741.87,15744.47,15766.67,15759.07,15753.07,15743.47,15703.47,15814.57,15813.57,15814.57,15819.17,15771.97,15769.57,2017-05-23
LİNYİT,9419.564,MWH,4510.9,4510.9,4510.9,4510.9,4510.9,4510.9,4510.9,4520.9,4520.9,4520.9,4520.9,4520.9,4520.9,4520.9,4536.9,4554.9,4588.9,4638.9,4708.9,4815.9,4815.9,4815.9,4815.9,4815.9,2017-05-23
İTHAL KÖMÜR,7616.35,MWH,3094.0,3093.0,3095.0,3094.0,3094.0,3095.0,3095.0,3080.0,3135.0,3237.0,3337.0,3087.0,3086.0,3086.0,3253.0,3313.0,3748.0,3745.0,3746.0,3746.0,3744.0,3744.0,3745.0,3743.0,2017-05-23
AKARSU,7304.842,MWH,4569.594,4548.584,4529.674,4535.604,4532.394,4562.384,4559.104,4592.884,4637.154,4684.344,4690.294,4672.764,4661.744,4657.944,4674.864,4668.954,4669.624,4661.014,4685.264,4704.164,4681.464,4695.414,4661.124,4656.234,2017-05-23
RÜZGAR,6096.756,MWH,3633.656,3612.161,3607.86,3624.83,3629.369,3624.768,3609.581,3572.094,3533.231,3529.716,3584.202,3654.48,3710.419,3734.172,3759.832,3816.263,3852.159,3886.576,3902.256,3895.634,3903.566,3886.686,3862.218,3824.966,2017-05-23
JEOTERMAL,858.978,MWH,514.85,517.45,518.75,519.25,519.55,520.1,517.65,514.15,506.35,495.9,482.2,471.4,462.2,451.95,447.7,444.25,445.2,449.7,461.35,473.7,482.7,489.65,498.5,505.75,2017-05-23
FUEL OİL,670.59,MWH,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,2017-05-23
TAŞ KÖMÜR,616.146,MWH,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,2017-05-23
ASFALTİT KÖMÜR,405.0,MWH,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,120.0,2017-05-23
BİYOKÜTLE,362.04,MWH,110.7,109.33,110.69,110.69,110.69,110.69,110.69,110.69,110.69,114.06,114.06,113.76,113.46,112.06,112.06,112.06,112.06,112.06,112.06,112.06,112.06,112.06,112.36,112.36,2017-05-23
ATIK ISI,135.125,MWH,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,2017-05-23
GÜNEŞ,12.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2017-05-23
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-23
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-23
