KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26690.031,MWH,17190.63,17215.23,17261.23,17298.93,17306.33,17326.73,17332.63,17207.83,17790.73,17731.13,17497.23,17505.73,17560.23,17538.73,17426.53,17407.03,16826.03,16897.03,16967.63,17009.93,17101.43,17187.33,17155.23,17118.43,2017-07-15
BARAJLI,19800.878,MWH,16199.12,16198.12,16258.12,16229.12,16235.12,16231.12,16248.72,16108.02,15803.52,15756.82,15765.82,15761.82,15760.82,15753.22,15782.22,15850.82,15847.82,16141.82,16137.22,16139.42,16301.62,16301.62,16289.62,16270.02,2017-07-15
LİNYİT,9470.652,MWH,5492.9,5493.9,5493.9,5493.9,5493.9,5493.9,5493.9,5513.9,5513.9,5506.9,5500.9,5496.9,5492.9,5492.9,5492.9,5492.9,5492.9,5492.9,5496.9,5486.9,5490.9,5496.9,5502.9,5502.9,2017-07-15
İTHAL KÖMÜR,7633.75,MWH,6463.0,6462.0,6462.0,6460.0,6461.0,6461.0,6462.0,6463.0,6824.0,6831.0,6825.0,6825.0,6824.0,6823.0,6824.0,6824.0,6823.0,6822.0,6823.0,6823.0,6823.0,6822.0,6821.0,6821.0,2017-07-15
AKARSU,7285.473,MWH,3574.139,3518.729,3516.919,3498.949,3504.639,3512.229,3522.669,3532.549,3622.139,3676.719,3735.489,3751.459,3764.839,3743.039,3754.359,3754.849,3662.819,3665.909,3649.559,3604.659,3630.859,3612.909,3599.369,3582.999,2017-07-15
RÜZGAR,6225.812,MWH,4421.538,4330.59,4254.402,4196.936,4146.728,4097.076,4044.073,3956.592,3905.423,3876.31,3887.094,3922.552,3954.897,4009.937,4074.042,4142.092,4208.021,4279.976,4341.32,4360.073,4361.158,4363.674,4307.412,4231.29,2017-07-15
JEOTERMAL,897.078,MWH,451.75,456.3,463.3,468.0,474.2,470.8,467.1,463.0,451.25,429.0,413.9,400.6,389.35,377.9,371.3,367.9,365.5,367.35,373.45,382.15,393.2,407.25,426.3,434.35,2017-07-15
TAŞ KÖMÜR,844.766,MWH,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,2017-07-15
ASFALTİT KÖMÜR,405.0,MWH,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,2017-07-15
FUEL OİL,394.35,MWH,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2017-07-15
BİYOKÜTLE,363.06,MWH,110.49,110.59,110.59,111.95,111.95,111.95,111.85,111.85,111.75,114.02,114.02,114.02,113.92,112.52,112.52,112.52,112.62,112.62,112.62,112.62,112.62,113.22,112.62,111.65,2017-07-15
ATIK ISI,140.425,MWH,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,2017-07-15
GÜNEŞ,12.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2017-07-15
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-15
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-15
