KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26389.081,MWH,19213.73,18862.23,18879.03,18890.63,18909.63,18912.83,18881.53,18859.98,19042.13,19333.13,19279.63,19209.73,19137.63,19072.33,19047.43,18728.23,18748.43,19083.83,19019.03,19112.33,19157.13,19183.83,19238.43,19297.23,2017-09-29
BARAJLI,19804.478,MWH,13513.95,13507.95,13527.95,13490.45,13491.95,13485.95,13370.95,13385.95,13281.35,13298.95,13303.05,13296.85,13241.65,13248.15,13325.15,13311.15,13473.15,13675.15,13628.45,13609.15,13609.05,13603.05,13603.05,13616.05,2017-09-29
LİNYİT,9466.652,MWH,4691.35,4696.35,4811.35,4832.35,4901.35,4975.35,4975.35,4975.35,4974.35,4973.35,5021.35,5067.35,5085.35,5085.35,5085.35,5085.35,5085.35,5085.35,5088.35,5088.35,5089.35,5091.35,5091.35,5091.35,2017-09-29
İTHAL KÖMÜR,7633.75,MWH,5471.0,5471.0,5470.0,5471.0,5470.0,5471.0,5471.0,5471.0,5429.0,5433.0,5439.0,5438.0,5435.0,5434.0,5434.0,5434.0,5463.0,5463.0,5481.0,5479.0,5477.0,5474.0,5471.0,5472.0,2017-09-29
AKARSU,7304.084,MWH,2983.859,2965.919,2948.069,2936.579,2925.259,2923.469,2921.639,2925.989,2912.349,3004.599,3107.179,3107.699,3089.379,3072.329,3082.449,3065.589,3037.359,3042.099,3014.899,3032.599,3057.549,3063.999,3015.259,3005.869,2017-09-29
RÜZGAR,6359.722,MWH,4426.581,4383.206,4341.135,4304.016,4274.238,4238.419,4193.029,4147.807,4091.033,4042.206,4016.205,4023.921,4047.492,4090.242,4141.274,4208.547,4236.34,4274.03,4300.281,4319.724,4324.006,4309.05,4258.549,4203.721,2017-09-29
JEOTERMAL,1031.628,MWH,613.5,617.4,622.0,626.4,628.4,629.4,629.0,624.3,617.2,609.0,592.6,581.2,571.6,564.2,553.6,550.0,549.4,553.4,564.2,577.1,588.2,597.2,606.2,613.8,2017-09-29
TAŞ KÖMÜR,844.766,MWH,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2017-09-29
ASFALTİT KÖMÜR,405.0,MWH,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,2017-09-29
FUEL OİL,394.35,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-29
BİYOKÜTLE,370.005,MWH,125.16,125.16,125.16,125.16,125.16,125.16,125.16,125.16,124.96,127.53,127.43,126.63,126.63,123.73,123.73,125.73,125.73,126.23,126.33,125.46,125.46,125.46,125.46,125.46,2017-09-29
ATIK ISI,140.425,MWH,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,2017-09-29
GÜNEŞ,12.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2017-09-29
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-29
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-29
