unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Mwh,2021-01-01 00:00:00,2021-01-01,2021,1,01-01,Friday,0,0.0,491.5,0.0,,0.0,3.0,,0.0,491.5,3.0,494.5,0.0,0.993933265925177,0.0,,0.0,0.006066734074823054,,0.0,0.993933265925177,0.006066734074823054,
Mwh,2021-01-01 01:00:00,2021-01-01,2021,1,01-01,Friday,1,0.0,468.5,0.0,,0.0,5.5,,0.0,468.5,5.5,474.0,0.0,0.9883966244725738,0.0,,0.0,0.011603375527426161,,0.0,0.9883966244725738,0.011603375527426161,
Mwh,2021-01-01 02:00:00,2021-01-01,2021,1,01-01,Friday,2,0.0,421.5,0.0,,0.0,4.0,,0.0,421.5,4.0,425.5,0.0,0.9905992949471211,0.0,,0.0,0.009400705052878966,,0.0,0.9905992949471211,0.009400705052878966,
Mwh,2021-01-01 03:00:00,2021-01-01,2021,1,01-01,Friday,3,0.0,373.0,0.0,,0.0,6.5,,0.0,373.0,6.5,379.5,0.0,0.9828722002635046,0.0,,0.0,0.017127799736495388,,0.0,0.9828722002635046,0.017127799736495388,
Mwh,2021-01-01 04:00:00,2021-01-01,2021,1,01-01,Friday,4,0.0,353.0,0.0,,0.0,6.0,,0.0,353.0,6.0,359.0,0.0,0.9832869080779945,0.0,,0.0,0.016713091922005572,,0.0,0.9832869080779945,0.016713091922005572,
Mwh,2021-01-01 05:00:00,2021-01-01,2021,1,01-01,Friday,5,0.0,347.5,0.0,,0.0,5.5,,0.0,347.5,5.5,353.0,0.0,0.9844192634560907,0.0,,0.0,0.015580736543909348,,0.0,0.9844192634560907,0.015580736543909348,
Mwh,2021-01-01 06:00:00,2021-01-01,2021,1,01-01,Friday,6,0.0,347.0,0.0,,0.0,10.0,,0.0,347.0,10.0,357.0,0.0,0.9719887955182073,0.0,,0.0,0.028011204481792718,,0.0,0.9719887955182073,0.028011204481792718,
Mwh,2021-01-01 07:00:00,2021-01-01,2021,1,01-01,Friday,7,0.0,338.0,0.0,,0.0,10.0,,0.0,338.0,10.0,348.0,0.0,0.9712643678160919,0.0,,0.0,0.028735632183908046,,0.0,0.9712643678160919,0.028735632183908046,
Mwh,2021-01-01 08:00:00,2021-01-01,2021,1,01-01,Friday,8,0.0,330.0,0.0,,0.0,17.0,,0.0,330.0,17.0,347.0,0.0,0.9510086455331412,0.0,,0.0,0.04899135446685879,,0.0,0.9510086455331412,0.04899135446685879,
Mwh,2021-01-01 09:00:00,2021-01-01,2021,1,01-01,Friday,9,0.0,330.0,0.0,,0.0,12.0,,0.0,330.0,12.0,342.0,0.0,0.9649122807017544,0.0,,0.0,0.03508771929824561,,0.0,0.9649122807017544,0.03508771929824561,
Mwh,2021-01-01 10:00:00,2021-01-01,2021,1,01-01,Friday,10,0.0,330.5,0.0,,0.0,4.5,,0.0,330.5,4.5,335.0,0.0,0.9865671641791045,0.0,,0.0,0.013432835820895522,,0.0,0.9865671641791045,0.013432835820895522,
Mwh,2021-01-01 11:00:00,2021-01-01,2021,1,01-01,Friday,11,0.0,355.5,0.0,,0.0,2.0,,0.0,355.5,2.0,357.5,0.0,0.9944055944055944,0.0,,0.0,0.005594405594405594,,0.0,0.9944055944055944,0.005594405594405594,
Mwh,2021-01-01 12:00:00,2021-01-01,2021,1,01-01,Friday,12,0.0,377.5,0.0,,0.0,1.5,,0.0,377.5,1.5,379.0,0.0,0.996042216358839,0.0,,0.0,0.00395778364116095,,0.0,0.996042216358839,0.00395778364116095,
Mwh,2021-01-01 13:00:00,2021-01-01,2021,1,01-01,Friday,13,0.0,382.5,0.0,,0.0,0.5,,0.0,382.5,0.5,383.0,0.0,0.9986945169712794,0.0,,0.0,0.0013054830287206266,,0.0,0.9986945169712794,0.0013054830287206266,
Mwh,2021-01-01 14:00:00,2021-01-01,2021,1,01-01,Friday,14,0.0,378.0,0.0,,0.0,4.0,,0.0,378.0,4.0,382.0,0.0,0.9895287958115183,0.0,,0.0,0.010471204188481676,,0.0,0.9895287958115183,0.010471204188481676,
Mwh,2021-01-01 15:00:00,2021-01-01,2021,1,01-01,Friday,15,0.0,397.5,0.0,,0.0,3.5,,0.0,397.5,3.5,401.0,0.0,0.9912718204488778,0.0,,0.0,0.008728179551122194,,0.0,0.9912718204488778,0.008728179551122194,
Mwh,2021-01-01 16:00:00,2021-01-01,2021,1,01-01,Friday,16,0.0,428.5,0.0,,0.0,4.5,,0.0,428.5,4.5,433.0,0.0,0.9896073903002309,0.0,,0.0,0.010392609699769052,,0.0,0.9896073903002309,0.010392609699769052,
Mwh,2021-01-01 17:00:00,2021-01-01,2021,1,01-01,Friday,17,0.0,510.0,0.0,,0.0,1.0,,0.0,510.0,1.0,511.0,0.0,0.9980430528375733,0.0,,0.0,0.0019569471624266144,,0.0,0.9980430528375733,0.0019569471624266144,
Mwh,2021-01-01 18:00:00,2021-01-01,2021,1,01-01,Friday,18,0.0,575.5,0.0,,0.0,3.5,,0.0,575.5,3.5,579.0,0.0,0.9939550949913645,0.0,,0.0,0.006044905008635579,,0.0,0.9939550949913645,0.006044905008635579,
Mwh,2021-01-01 19:00:00,2021-01-01,2021,1,01-01,Friday,19,0.0,584.0,0.0,,0.0,7.5,,0.0,584.0,7.5,591.5,0.0,0.9873203719357565,0.0,,0.0,0.01267962806424345,,0.0,0.9873203719357565,0.01267962806424345,
Mwh,2021-01-01 20:00:00,2021-01-01,2021,1,01-01,Friday,20,0.0,576.5,0.0,,0.0,12.5,,0.0,576.5,12.5,589.0,0.0,0.9787775891341256,0.0,,0.0,0.021222410865874362,,0.0,0.9787775891341256,0.021222410865874362,
Mwh,2021-01-01 21:00:00,2021-01-01,2021,1,01-01,Friday,21,0.0,569.0,0.0,,0.0,14.0,,0.0,569.0,14.0,583.0,0.0,0.9759862778730704,0.0,,0.0,0.024013722126929673,,0.0,0.9759862778730704,0.024013722126929673,
Mwh,2021-01-01 22:00:00,2021-01-01,2021,1,01-01,Friday,22,0.0,540.0,0.0,,0.0,11.0,,0.0,540.0,11.0,551.0,0.0,0.9800362976406534,0.0,,0.0,0.019963702359346643,,0.0,0.9800362976406534,0.019963702359346643,
Mwh,2021-01-01 23:00:00,2021-01-01,2021,1,01-01,Friday,23,0.0,488.5,0.0,,0.0,11.5,,0.0,488.5,11.5,500.0,0.0,0.977,0.0,,0.0,0.023,,0.0,0.977,0.023,
Mwh,2021-01-02 00:00:00,2021-01-02,2021,1,01-02,Saturday,0,0.0,439.5,0.0,,0.0,9.0,,0.0,439.5,9.0,448.5,0.0,0.979933110367893,0.0,,0.0,0.020066889632107024,,0.0,0.979933110367893,0.020066889632107024,
Mwh,2021-01-02 01:00:00,2021-01-02,2021,1,01-02,Saturday,1,0.0,381.5,0.0,,0.0,11.5,,0.0,381.5,11.5,393.0,0.0,0.9707379134860051,0.0,,0.0,0.029262086513994912,,0.0,0.9707379134860051,0.029262086513994912,
Mwh,2021-01-02 02:00:00,2021-01-02,2021,1,01-02,Saturday,2,0.0,343.5,0.0,,0.0,15.0,,0.0,343.5,15.0,358.5,0.0,0.9581589958158996,0.0,,0.0,0.04184100418410042,,0.0,0.9581589958158996,0.04184100418410042,
Mwh,2021-01-02 03:00:00,2021-01-02,2021,1,01-02,Saturday,3,0.0,325.0,0.0,,0.0,14.5,,0.0,325.0,14.5,339.5,0.0,0.9572901325478645,0.0,,0.0,0.042709867452135494,,0.0,0.9572901325478645,0.042709867452135494,
Mwh,2021-01-02 04:00:00,2021-01-02,2021,1,01-02,Saturday,4,0.0,318.5,0.0,,0.0,15.0,,0.0,318.5,15.0,333.5,0.0,0.9550224887556222,0.0,,0.0,0.044977511244377814,,0.0,0.9550224887556222,0.044977511244377814,
Mwh,2021-01-02 05:00:00,2021-01-02,2021,1,01-02,Saturday,5,0.0,318.0,0.0,,0.0,18.0,,0.0,318.0,18.0,336.0,0.0,0.9464285714285714,0.0,,0.0,0.05357142857142857,,0.0,0.9464285714285714,0.05357142857142857,
Mwh,2021-01-02 06:00:00,2021-01-02,2021,1,01-02,Saturday,6,0.0,335.0,0.0,,0.0,15.5,,0.0,335.0,15.5,350.5,0.0,0.9557774607703281,0.0,,0.0,0.0442225392296719,,0.0,0.9557774607703281,0.0442225392296719,
Mwh,2021-01-02 07:00:00,2021-01-02,2021,1,01-02,Saturday,7,0.0,349.0,0.0,,0.0,14.0,,0.0,349.0,14.0,363.0,0.0,0.9614325068870524,0.0,,0.0,0.03856749311294766,,0.0,0.9614325068870524,0.03856749311294766,
Mwh,2021-01-02 08:00:00,2021-01-02,2021,1,01-02,Saturday,8,0.0,379.0,0.0,,0.0,17.5,,0.0,379.0,17.5,396.5,0.0,0.9558638083228247,0.0,,0.0,0.044136191677175286,,0.0,0.9558638083228247,0.044136191677175286,
