unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2018-01-01,2018,1,01-01,Monday,0.105509,0.0,6.9405,0.0,89.395,11.6455,0.379625,10.51,7.046009,111.930125,118.976134,0.0008868081055651044,0.0,0.05833522881151946,0.0,0.7513691779563118,0.0978809750197464,0.0031907659732833475,0.08833704413357388,0.05922203691708456,0.9407779630829155
Gwh,2018-01-02,2018,1,01-02,Tuesday,0.107171,0.0,19.63125,0.0,103.10050100000001,34.49125,0.406999,10.516,19.738421,148.51475,168.253171,0.0006369627351629527,0.0,0.11667685003095722,0.0,0.6127700321321136,0.20499613644725898,0.002418967782782531,0.06250105087172472,0.11731381276612016,0.8826861872338797
Gwh,2018-01-03,2018,1,01-03,Wednesday,0.108834,0.0,18.03975,0.0,86.69025,38.45925,0.399,10.529,18.148584,136.0775,154.22608400000001,0.0007056782949893222,0.0,0.11696951340604615,0.0,0.5620984969053613,0.2493692960524109,0.002587111010352827,0.06826990433083939,0.11767519170103546,0.8823248082989643
Gwh,2018-01-04,2018,1,01-04,Thursday,0.110496,0.0,25.68225,0.0,112.878625,28.36025,0.41762400000000005,10.513,25.792745999999998,152.169499,177.962245,0.000620895741116325,0.0,0.14431291311255373,0.0,0.6342841145884623,0.15936104874379395,0.002346699998081054,0.05907432781599266,0.14493380885367005,0.85506619114633
Gwh,2018-01-05,2018,1,01-05,Friday,0.112161,0.0,38.65925,0.0,105.169625,12.43125,0.44075,10.552,38.771411,128.593625,167.365036,0.0006701578936714117,0.0,0.23098761201234408,0.0,0.6283846824494453,0.07427626640011,0.0026334652119335126,0.06304781603249558,0.2316577699060155,0.7683422300939845
Gwh,2018-01-06,2018,1,01-06,Saturday,0.11382099999999999,0.0,28.93875,0.0,98.4935,5.15475,0.414,10.548,29.052571,114.61025,143.662821,0.0007922787483060769,0.0,0.20143520639901674,0.0,0.6855879573741629,0.03588089085345191,0.002881747672210891,0.07342191895285141,0.20222748514732283,0.7977725148526771
Gwh,2018-01-07,2018,1,01-07,Sunday,0.115485,0.0,17.882,0.0,91.4335,5.08725,0.39875,10.602,17.997485,107.5215,125.518985,0.0009200600211991836,0.0,0.14246450447316794,0.0,0.7284435896290907,0.04052972544352554,0.0031768102649969644,0.0844653101680196,0.14338456449436712,0.8566154355056329
Gwh,2018-01-08,2018,1,01-08,Monday,0.117148,0.0,39.34775,0.0,109.0985,7.23225,0.3845,10.579,39.464898,127.29425,166.75914799999998,0.000702498192183136,0.0,0.23595557108507176,0.0,0.6542279767464392,0.04336943482105102,0.002305720583316965,0.06343879857193803,0.23665806927725488,0.7633419307227453
Gwh,2018-01-09,2018,1,01-09,Tuesday,0.11881100000000001,0.0,33.0095,0.0,111.059,34.77025,0.405126,10.595,33.128311000000004,156.829376,189.95768699999996,0.0006254603426498873,0.0,0.1737729097533179,0.0,0.5846512544659486,0.18304207926052501,0.0021327170613527216,0.05577557911620604,0.1743983700959678,0.8256016299040324
Gwh,2018-01-10,2018,1,01-10,Wednesday,0.120472,0.0,37.785,0.0,121.51875,14.348,0.392501,10.608,37.905472,146.86725099999998,184.77272299999998,0.000652000999086862,0.0,0.20449446967342685,0.0,0.6576660668685389,0.0776521543171716,0.0021242367034878845,0.057411071438288004,0.20514647067251374,0.7948535293274862
Gwh,2018-01-11,2018,1,01-11,Thursday,0.122136,0.0,40.785,0.0,125.88975,4.8375,0.43125,10.578,40.907136,141.7365,182.643636,0.0006687120486366139,0.0,0.22330370164115654,0.0,0.6892643661561798,0.02648600359664325,0.002361155359390677,0.05791606119799323,0.22397241368979318,0.776027586310207
Gwh,2018-01-12,2018,1,01-12,Friday,0.123799,0.0,37.55375,0.0,119.79812600000001,17.224,0.382249,10.691,37.677549,148.095375,185.772924,0.0006663995879184204,0.0,0.20214867264510517,0.0,0.6448632202182489,0.09271534101492639,0.0020576141655605316,0.05754875236824071,0.20281507223302359,0.7971849277669764
Gwh,2018-01-13,2018,1,01-13,Saturday,0.125461,0.0,33.5355,0.0,92.757,6.198,0.395,10.668,33.660961,110.018,143.67896100000002,0.000873203697512818,0.0,0.23340578026590822,0.0,0.6455851250204961,0.04313783978435089,0.002749184691000097,0.07424886654073172,0.23427898396342103,0.7657210160365788
Gwh,2018-01-14,2018,1,01-14,Sunday,0.127124,0.0,26.80375,0.0,84.456,17.436,0.44275,10.7,26.930874,113.03475,139.96562400000002,0.0009082515861180312,0.0,0.19150237918419166,0.0,0.6034053047196788,0.12457344526253102,0.003163276720003763,0.07644734252747659,0.19241063077030968,0.8075893692296902
Gwh,2018-01-15,2018,1,01-15,Monday,0.128787,0.0,52.0475,0.0,84.16449899999999,26.9345,0.389,10.704,52.176286999999995,122.191999,174.36828599999998,0.0007385918790301123,0.0,0.29849177963474394,0.0,0.48268237837699457,0.15446902999321793,0.0022309102700017367,0.0613873098460118,0.299230371513774,0.700769628486226
Gwh,2018-01-16,2018,1,01-16,Tuesday,0.13045099999999998,0.0,52.5615,0.0,98.740125,31.42875,0.42512199999999994,10.562,52.691951,141.155997,193.847948,0.0006729552793615333,0.0,0.2711480856119251,0.0,0.5093689462217057,0.1621309398642693,0.0021930693844641573,0.05448600363827426,0.2718210408912866,0.7281789591087134
