date,mw,region
2018-02-07 0:00,25573,ОЭС СИБИРИ
2018-02-07 1:00,25510,ОЭС СИБИРИ
2018-02-07 2:00,25536,ОЭС СИБИРИ
2018-02-07 3:00,26209,ОЭС СИБИРИ
2018-02-07 4:00,26478,ОЭС СИБИРИ
2018-02-07 5:00,27185,ОЭС СИБИРИ
2018-02-07 6:00,27890,ОЭС СИБИРИ
2018-02-07 7:00,27948,ОЭС СИБИРИ
2018-02-07 8:00,27736,ОЭС СИБИРИ
2018-02-07 9:00,27470,ОЭС СИБИРИ
2018-02-07 10:00,27410,ОЭС СИБИРИ
2018-02-07 11:00,27464,ОЭС СИБИРИ
2018-02-07 12:00,27507,ОЭС СИБИРИ
2018-02-07 13:00,27533,ОЭС СИБИРИ
2018-02-07 14:00,28130,ОЭС СИБИРИ
2018-02-07 15:00,27703,ОЭС СИБИРИ
2018-02-07 16:00,27818,ОЭС СИБИРИ
2018-02-07 17:00,27564,ОЭС СИБИРИ
2018-02-07 18:00,27229,ОЭС СИБИРИ
2018-02-07 19:00,26734,ОЭС СИБИРИ
2018-02-07 20:00,25584,ОЭС СИБИРИ
2018-02-07 21:00,25642,ОЭС СИБИРИ
2018-02-07 22:00,25186,ОЭС СИБИРИ
2018-02-07 23:00,25002,ОЭС СИБИРИ
