"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bulgaria (BG)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","21","3100","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","60","n/e","2060","n/e","n/e","0","N/A","n/e","244"
"Bulgaria (BG)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","21","2986","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","60","n/e","2062","n/e","n/e","0","N/A","n/e","252"
"Bulgaria (BG)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","20","3010","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","58","n/e","2061","n/e","n/e","0","N/A","n/e","243"
"Bulgaria (BG)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","22","3028","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","58","n/e","2061","n/e","n/e","0","N/A","n/e","229"
"Bulgaria (BG)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","21","3014","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","63","n/e","2061","n/e","n/e","0","N/A","n/e","215"
"Bulgaria (BG)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","22","3022","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","77","n/e","2060","n/e","n/e","1","N/A","n/e","218"
"Bulgaria (BG)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","21","2987","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","113","n/e","2062","n/e","n/e","75","N/A","n/e","199"
"Bulgaria (BG)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","21","2982","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","114","n/e","2062","n/e","n/e","289","N/A","n/e","160"
"Bulgaria (BG)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","23","2879","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","117","n/e","2060","n/e","n/e","496","N/A","n/e","142"
"Bulgaria (BG)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","21","2842","n/e","N/A","N/A","n/e","n/e","n/e","n/e","0","","N/A","114","n/e","2062","n/e","n/e","620","N/A","n/e","91"
