unit,datetime,date,year,month,month_date,weekday,hour,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2016-01-01 00:00:00,2016-01-01,2016,1,01-01,Friday,0,10490.003670944145,31926.40140136724,671.0939511261198,23284.0,11776.3500976563,,,,43087.4990234375,35060.3500976563,78147.84912109381,0.13423278809234257,0.408538453206764,0.008587491001655437,0.29794805950347186,0.150693208195766,,,,0.551358732300762,0.4486412676992379
Mwh,2016-01-01 01:00:00,2016-01-01,2016,1,01-01,Friday,1,10354.31425689834,31513.429696624953,662.4132730392083,22634.0,11545.3500976563,,,,42530.1572265625,34179.3500976563,76709.50732421881,0.13498084680866235,0.4108151752745712,0.008635347770380875,0.295061209353563,0.1505074207928225,,,,0.5544313698536144,0.44556863014638554
Mwh,2016-01-01 02:00:00,2016-01-01,2016,1,01-01,Friday,2,10399.845214264773,31652.00349189403,665.3260985287006,22134.0,10119.9211425781,,,,42717.1748046875,32253.9211425781,74971.0959472656,0.1387180630463237,0.42218941969526413,0.008874434742112997,0.2952337793697051,0.1349843031465942,,,,0.5697819174837008,0.4302180825162993
Mwh,2016-01-01 03:00:00,2016-01-01,2016,1,01-01,Friday,3,10334.64740158649,31453.57348144288,661.1550935331312,22034.0,9425.05004882813,,,,42449.3759765625,31459.050048828132,73908.42602539062,0.13983043554514485,0.42557493337278307,0.00894559834498433,0.2981256831586483,0.12752334957843958,,,,0.5743509672629122,0.4256490327370879
Mwh,2016-01-01 04:00:00,2016-01-01,2016,1,01-01,Friday,4,10237.486193984063,31157.862649315262,654.9392426381781,21931.0,9386.05004882813,,,,42050.2880859375,31317.050048828132,73367.33813476562,0.13953738072354788,0.4246830189216159,0.008926850275461072,0.2989204809327523,0.12793226914662295,,,,0.5731472499206248,0.4268527500793753
Mwh,2016-01-01 05:00:00,2016-01-01,2016,1,01-01,Friday,5,10238.522555472267,31161.01682293686,655.0055434658739,21931.0,9570.32885742188,,,,42054.544921875,31501.328857421882,73555.87377929688,0.13919381321188268,0.42363736873597546,0.008904870676014354,0.29815429921753883,0.13010964815858875,,,,0.5717360526238725,0.4282639473761276
Mwh,2016-01-01 06:00:00,2016-01-01,2016,1,01-01,Friday,6,10249.841220617714,31195.465261478603,655.7296507161859,21931.0,9860.29907226563,,,,42101.03613281251,31791.299072265632,73892.33520507814,0.13871318577455527,0.42217457568365957,0.008874122720527067,0.29679668316251595,0.13344143265874206,,,,0.569761884178742,0.43023811582125804
Mwh,2016-01-01 07:00:00,2016-01-01,2016,1,01-01,Friday,7,10272.867513375846,31265.545948620573,657.202748941084,21930.0,10101.2825927734,,,,42195.6162109375,32031.2825927734,74226.89880371091,0.13839817746585237,0.4212158456370466,0.008853970185107985,0.29544545647788306,0.13608655023410993,,,,0.5684679932880069,0.431532006711993
Mwh,2016-01-01 08:00:00,2016-01-01,2016,1,01-01,Friday,8,10334.69756728367,31453.726161102015,661.1583028643181,21926.798828125,10445.1372070313,,,,42449.58203125,32371.9360351563,74821.51806640631,0.13812467100856363,0.4203834267728423,0.008836472714674415,0.29305471734300176,0.13960071216091782,,,,0.5673445704960803,0.4326554295039196
Mwh,2016-01-01 09:00:00,2016-01-01,2016,1,01-01,Friday,9,10323.607144172793,31419.97237882931,660.4487973104015,21917.0,11542.4279785156,,,,42404.02832031251,33459.427978515596,75863.4562988281,0.13608142375569918,0.4141647891056431,0.008705756757362553,0.288900625798914,0.15214740458238127,,,,0.5589519696187049,0.4410480303812952
Mwh,2016-01-01 10:00:00,2016-01-01,2016,1,01-01,Friday,10,10409.409506521606,31681.112483967823,665.9379704480729,21915.0,11938.1369628906,,,,42756.45996093751,33853.136962890596,76609.5969238281,0.13587605110194673,0.4135397359611216,0.008692618120810715,0.28606076627435845,0.1558308285417626,,,,0.558108405183879,0.441891594816121
Mwh,2016-01-01 11:00:00,2016-01-01,2016,1,01-01,Friday,11,10540.652480431501,32080.55141626892,674.33418923708,21915.0,12403.9338378906,,,,43295.5380859375,34318.933837890596,77614.4719238281,0.1358078231953474,0.4133320838380916,0.00868825326672171,0.28235713594118994,0.15981470375864942,,,,0.5578281603001607,0.4421718396998393
Mwh,2016-01-01 12:00:00,2016-01-01,2016,1,01-01,Friday,12,10595.67046061598,32247.99903352071,677.8539433633106,21905.0,13051.2094726563,,,,43521.5234375,34956.2094726563,78477.73291015631,0.13501499173971074,0.41091909561708667,0.008637532179214941,0.2791237614506208,0.16630461901336677,,,,0.5545716195360123,0.4454283804639875
Mwh,2016-01-01 13:00:00,2016-01-01,2016,1,01-01,Friday,13,10689.342180362846,32533.08958433514,683.8465556145172,21905.0,13685.8178710938,,,,43906.2783203125,35590.8178710938,79497.09619140631,0.13446204569064965,0.4092362003513279,0.008602157668350678,0.275544655709927,0.17215494057974468,,,,0.5523004037103282,0.4476995962896717
Mwh,2016-01-01 14:00:00,2016-01-01,2016,1,01-01,Friday,14,10825.825448735128,32948.47739041317,692.5780202267043,21938.0,14098.208984375,,,,44466.88085937501,36036.208984375,80503.08984375,0.134477142054388,0.4092821462426288,0.008603123452415831,0.27251127928853275,0.1751263089620347,,,,0.5523624117494327,0.44763758825056743
Mwh,2016-01-01 15:00:00,2016-01-01,2016,1,01-01,Friday,15,10864.699822264263,33066.79182503588,695.0649933248626,21938.0,15243.3627929688,,,,44626.55664062501,37181.3627929688,81807.91943359381,0.1328074335282845,0.40420037636915196,0.008496304491511605,0.2681647467860101,0.18633113882504176,,,,0.5455041143889481,0.4544958856110519
Mwh,2016-01-01 16:00:00,2016-01-01,2016,1,01-01,Friday,16,10921.177362709373,33238.681624408106,698.6781222575223,21936.0,17790.637207031297,,,,44858.537109375,39726.637207031294,84585.1743164063,0.1291145576156965,0.39296108204580565,0.008260054175025865,0.25933622738595286,0.21032807877751922,,,,0.530335693836528,0.469664306163472
