date,mw,region
2000-04-25 0:00,71778,О
2000-04-25 1:00,69012,О
2000-04-25 2:00,68124,О
2000-04-25 3:00,68533,О
2000-04-25 4:00,68793,О
2000-04-25 5:00,70377,О
2000-04-25 6:00,72858,О
2000-04-25 7:00,75998,О
2000-04-25 8:00,79182,О
2000-04-25 9:00,81559,О
2000-04-25 10:00,82076,О
2000-04-25 11:00,82399,О
2000-04-25 12:00,77080,О
2000-04-25 13:00,81428,О
2000-04-25 14:00,81548,О
2000-04-25 15:00,81043,О
2000-04-25 16:00,80274,О
2000-04-25 17:00,79485,О
2000-04-25 18:00,78850,О
2000-04-25 19:00,78811,О
2000-04-25 20:00,77749,О
2000-04-25 21:00,78705,О
2000-04-25 22:00,79317,О
2000-04-25 23:00,76344,О
