year,month,day,hour,coal,gas,nuclear,oil,other,solar,hydro,wind,datetime,month_date,weekday,date,unit
2020,1,1,0,62768.25814,135313.9619,96830.53213,3744.297418,5740.367486,-27.08260538,22048.63944,52424.67839,2020-01-01 00:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,1,65392.41654,136825.8012,99824.38683,3502.788782,5355.378529,-29.0,19953.00117,55877.38355,2020-01-01 01:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,2,65219.68019,131359.0965,99792.25234,3243.918859,5351.801644,-32.05525154,19260.56608,57027.7976,2020-01-01 02:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,3,64071.3561,127659.8088,99735.0132,3116.830387,5314.41549,-31.83478925,19214.25962,57492.27363,2020-01-01 03:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,4,62747.18791,125282.596,99679.45984,3008.678994,5357.460121,-33.94474846,19185.25128,58171.49134,2020-01-01 04:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,5,63384.4867,125599.5977,99711.02784,3057.072589,5361.964926,-36.0,19680.55199,58519.8012,2020-01-01 05:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,6,63603.30419,129394.6335,99743.29107,3095.215441,5437.297417,-31.05609336,22276.03856,58575.57424,2020-01-01 06:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,7,65233.60642,132883.1753,99711.44993,3097.316645,5453.691143,145.4548937,27237.45826,57842.35007,2020-01-01 07:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,8,66845.58644,133485.8669,99670.40167,3012.169842,5425.453313,2985.001992,30435.33844,59146.00513,2020-01-01 08:00:00,01-01,Wednesday,2020-01-01,Mwh
2020,1,1,9,67210.02307,133156.6588,99696.79498,3079.901475,5418.589903,9554.489912,31163.03094,58661.16123,2020-01-01 09:00:00,01-01,Wednesday,2020-01-01,Mwh
