year,month,day,hour,coal,gas,nuclear,oil,other,solar,hydro,wind,datetime,month_date,weekday,date,unit
2019,1,1,0,89783.61503,97169.98268,98918.92974,2661.667265,6380.767467,-12.0,30233.85125,52584.73599,2019-01-01 00:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,1,86139.09131,86953.62721,98798.64538,2523.134762,6367.452943,-14.0,28326.91071,52260.74333,2019-01-01 01:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,2,84447.80779,84167.58773,98758.26664,2450.021425,6294.409798,-9.0,26768.34125,51109.13387,2019-01-01 02:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,3,83904.18219,82266.41903,98754.93976,2421.499339,6302.435353,-14.97264616,25399.12117,49091.35858,2019-01-01 03:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,4,83720.38765,81739.46979,98791.17834,2448.931803,6292.03411,-17.0,24473.69753,47061.42653,2019-01-01 04:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,5,85106.99264,82879.11194,98829.92139,2373.071781,6335.20593,-23.7795377,25415.16194,44590.16044,2019-01-01 05:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,6,88429.3225,86311.87801,98827.61213,2447.252116,6340.783618,-19.91739462,27859.29765,41029.94792,2019-01-01 06:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,7,91809.91041,90149.06608,98880.4277,1822.568052,7058.326165,171.3481088,30048.82443,38636.39023,2019-01-01 07:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,8,93608.86086,93829.23567,98864.57052,1925.933867,7065.896269,3555.960695,30018.46982,36138.97012,2019-01-01 08:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,9,96868.8909,98087.23562,98948.91307,1843.431923,7147.30101,8889.80229,30787.26505,33843.44577,2019-01-01 09:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,10,102350.9605,106243.4036,98973.19348,2515.706579,6724.54491,12389.45397,31845.79647,29857.27631,2019-01-01 10:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,11,107103.4971,108559.5306,98954.42129,2539.330374,6918.506082,13779.90789,32984.72508,25128.85538,2019-01-01 11:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,12,109630.3025,115248.0522,98996.56657,2666.925792,6885.47417,14485.60992,32882.66366,21687.60643,2019-01-01 12:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,13,110538.7721,114077.2064,99005.16639,2632.135963,6708.874546,14766.68799,32639.73808,19709.79233,2019-01-01 13:00:00,01-01,Tuesday,2019-01-01,Mwh
2019,1,1,14,110603.6963,115949.0167,99054.61784,2648.118494,6749.660411,14131.78511,31820.93411,18119.18786,2019-01-01 14:00:00,01-01,Tuesday,2019-01-01,Mwh
