DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2022/4/10,0:00,292,303,88,332.0
2022/4/10,1:00,303,313,88,344.0
2022/4/10,2:00,310,319,88,352.0
2022/4/10,3:00,320,328,87,364.0
2022/4/10,4:00,323,330,88,364.0
2022/4/10,5:00,316,317,88,355.0
2022/4/10,6:00,304,299,86,353.0
2022/4/10,7:00,282,285,75,376.0
2022/4/10,8:00,283,292,71,395.0
2022/4/10,9:00,284,292,69,411.0
2022/4/10,10:00,281,280,66,425.0
2022/4/10,11:00,280,284,65,427.0
2022/4/10,12:00,289,281,69,417.0
2022/4/10,13:00,286,275,71,400.0
2022/4/10,14:00,285,279,75,376.0
2022/4/10,15:00,289,293,83,348.0
2022/4/10,16:00,297,298,86,341.0
2022/4/10,17:00,314,318,89,350.0
2022/4/10,18:00,331,336,89,371.0
2022/4/10,19:00,330,331,86,383.0
2022/4/10,20:00,317,317,85,372.0
2022/4/10,21:00,304,302,82,368.0
2022/4/10,22:00,291,290,78,371.0
2022/4/10,23:00,292,296,75,386.0
2021/10/8,0:00,254,254,76,332.0
2021/10/8,1:00,254,256,77,331.0
2021/10/8,2:00,265,267,79,337.0
2021/10/8,3:00,283,284,83,343.0
2021/10/8,4:00,290,292,81,360.0
2021/10/8,5:00,288,283,80,361.0
2021/10/8,6:00,290,281,80,362.0
2021/10/8,7:00,291,291,76,382.0
2021/10/8,8:00,308,318,75,413.0
2021/10/8,9:00,318,338,72,441.0
2021/10/8,10:00,322,337,71,456.0
2021/10/8,11:00,331,338,72,461.0
2021/10/8,12:00,317,327,71,444.0
2021/10/8,13:00,331,342,78,426.0
2021/10/8,14:00,327,344,81,404.0
2021/10/8,15:00,328,340,81,405.0
2021/10/8,16:00,343,343,82,418.0
2021/10/8,17:00,353,353,85,415.0
2021/10/8,18:00,347,344,84,412.0
2021/10/8,19:00,330,328,81,410.0
2021/10/8,20:00,309,307,81,380.0
2021/10/8,21:00,290,290,85,341.0
2021/10/8,22:00,273,274,84,325.0
2021/10/8,23:00,266,262,82,325.0
2022/2/10,0:00,422,417,88,479.0
2022/2/10,1:00,439,437,86,511.0
2022/2/10,2:00,455,454,86,528.0
2022/2/10,3:00,469,465,87,542.0
2022/2/10,4:00,474,470,88,541.0
2022/2/10,5:00,476,468,88,541.0
2022/2/10,6:00,477,474,86,556.0
2022/2/10,7:00,462,452,87,530.0
2022/2/10,8:00,461,454,86,537.0
2022/2/10,9:00,459,455,84,549.0
2022/2/10,10:00,453,442,82,552.0
2022/2/10,11:00,445,430,79,561.0
2022/2/10,12:00,421,409,77,549.0
2022/2/10,13:00,425,415,79,539.0
2022/2/10,14:00,421,418,81,520.0
2022/2/10,15:00,423,427,81,524.0
2022/2/10,16:00,437,439,81,536.0
2022/2/10,17:00,458,457,85,539.0
2022/2/10,18:00,457,462,85,535.0
2022/2/10,19:00,443,453,83,534.0
2022/2/10,20:00,432,445,82,526.0
2022/2/10,21:00,424,437,81,525.0
2022/2/10,22:00,410,422,79,521.0
2022/2/10,23:00,426,430,80,530.0
2021/7/18,0:00,269,269,74,363.0
2021/7/18,1:00,263,263,75,352.0
2021/7/18,2:00,270,270,75,360.0
2021/7/18,3:00,288,288,75,382.0
2021/7/18,4:00,282,282,73,386.0
2021/7/18,5:00,274,273,73,375.0
2021/7/18,6:00,273,272,72,378.0
2021/7/18,7:00,278,277,71,392.0
2021/7/18,8:00,301,300,71,427.0
2021/7/18,9:00,329,328,72,459.0
2021/7/18,10:00,342,341,71,482.0
2021/7/18,11:00,354,354,74,482.0
2021/7/18,12:00,357,349,74,485.0
2021/7/18,13:00,344,355,71,488.0
2021/7/18,14:00,346,344,77,452.0
2021/7/18,15:00,352,344,78,453.0
2021/7/18,16:00,366,363,76,479.0
2021/7/18,17:00,371,363,78,474.0
2021/7/18,18:00,360,347,80,448.0
2021/7/18,19:00,362,345,82,440.0
2021/7/18,20:00,345,342,80,431.0
2021/7/18,21:00,326,320,78,421.0
2021/7/18,22:00,300,301,75,397.0
2021/7/18,23:00,282,288,74,381.0
2019/5/22,0:00,271,269,59,
2019/5/22,1:00,277,275,61,
2019/5/22,2:00,289,289,63,
2019/5/22,3:00,295,296,64,
2019/5/22,4:00,287,290,63,
2019/5/22,5:00,279,289,61,
2019/5/22,6:00,276,288,60,
2019/5/22,7:00,272,287,59,
2019/5/22,8:00,294,303,64,
2019/5/22,9:00,308,308,67,
2019/5/22,10:00,318,312,70,
2019/5/22,11:00,323,317,71,
2019/5/22,12:00,305,297,67,
2019/5/22,13:00,320,311,70,
2019/5/22,14:00,320,314,70,
2019/5/22,15:00,318,314,69,
2019/5/22,16:00,328,319,72,
2019/5/22,17:00,324,327,71,
2019/5/22,18:00,324,334,71,
2019/5/22,19:00,333,343,73,
2019/5/22,20:00,316,333,69,
2019/5/22,21:00,298,308,65,
2019/5/22,22:00,286,287,63,
2019/5/22,23:00,278,279,61,
2019/12/4,0:00,403,403,84,478.0
2019/12/4,1:00,417,416,83,505.0
2019/12/4,2:00,430,429,83,515.0
2019/12/4,3:00,441,441,84,526.0
2019/12/4,4:00,448,448,87,512.0
2019/12/4,5:00,449,448,87,514.0
2019/12/4,6:00,456,456,87,526.0
2019/12/4,7:00,439,441,86,510.0
2019/12/4,8:00,442,444,85,518.0
2019/12/4,9:00,444,444,83,534.0
2019/12/4,10:00,435,439,80,542.0
2019/12/4,11:00,424,439,78,542.0
2019/12/4,12:00,396,420,74,536.0
2019/12/4,13:00,427,449,77,552.0
2019/12/4,14:00,446,463,79,562.0
2019/12/4,15:00,470,478,83,569.0
2019/12/4,16:00,484,493,87,555.0
2019/12/4,17:00,478,488,80,596.0
2019/12/4,18:00,467,478,79,592.0
2019/12/4,19:00,453,463,79,574.0
2019/12/4,20:00,441,448,79,555.0
2019/12/4,21:00,433,433,82,530.0
2019/12/4,22:00,412,409,81,507.0
2019/12/4,23:00,413,414,82,502.0
2020/1/2,0:00,392,408,84,468.0
2020/1/2,1:00,407,423,83,491.0
2020/1/2,2:00,421,433,84,501.0
2020/1/2,3:00,429,439,86,497.0
2020/1/2,4:00,431,444,81,529.0
2020/1/2,5:00,423,435,81,521.0
2020/1/2,6:00,417,420,83,501.0
2020/1/2,7:00,388,386,85,455.0
2020/1/2,8:00,377,376,81,466.0
2020/1/2,9:00,364,367,76,478.0
2020/1/2,10:00,356,351,74,479.0
2020/1/2,11:00,355,346,74,481.0
