"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bulgaria (BG)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","33","2359","n/e","480","58","n/e","n/e","n/e","n/e","0","","130","33","n/e","2171","n/e","n/e","0","4","n/e","211"
"Bulgaria (BG)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","34","2494","n/e","481","58","n/e","n/e","n/e","n/e","0","","130","8","n/e","2168","n/e","n/e","0","4","n/e","212"
"Bulgaria (BG)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","32","2452","n/e","482","58","n/e","n/e","n/e","n/e","0","","128","8","n/e","2168","n/e","n/e","0","4","n/e","188"
"Bulgaria (BG)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","32","2416","n/e","482","59","n/e","n/e","n/e","n/e","0","","133","8","n/e","2168","n/e","n/e","0","4","n/e","157"
"Bulgaria (BG)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","33","2397","n/e","485","59","n/e","n/e","n/e","n/e","0","","147","8","n/e","2169","n/e","n/e","0","4","n/e","158"
"Bulgaria (BG)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","34","2383","n/e","486","60","n/e","n/e","n/e","n/e","0","","167","8","n/e","2170","n/e","n/e","0","4","n/e","186"
"Bulgaria (BG)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","32","2326","n/e","487","60","n/e","n/e","n/e","n/e","0","","193","8","n/e","2169","n/e","n/e","18","4","n/e","213"
"Bulgaria (BG)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","32","2336","n/e","490","60","n/e","n/e","n/e","n/e","0","","204","154","n/e","2169","n/e","n/e","73","5","n/e","248"
"Bulgaria (BG)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","33","2467","n/e","488","62","n/e","n/e","n/e","n/e","0","","195","193","n/e","2168","n/e","n/e","162","4","n/e","206"
"Bulgaria (BG)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","31","2424","n/e","482","56","n/e","n/e","n/e","n/e","0","","182","259","n/e","2169","n/e","n/e","297","4","n/e","142"
"Bulgaria (BG)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","33","2383","n/e","484","56","n/e","n/e","n/e","n/e","0","","147","230","n/e","2170","n/e","n/e","389","4","n/e","139"
"Bulgaria (BG)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","31","2479","n/e","481","56","n/e","n/e","n/e","n/e","0","","138","248","n/e","2170","n/e","n/e","353","4","n/e","127"
"Bulgaria (BG)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","30","2439","n/e","481","58","n/e","n/e","n/e","n/e","0","","138","180","n/e","2169","n/e","n/e","290","4","n/e","149"
"Bulgaria (BG)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","31","2443","n/e","482","61","n/e","n/e","n/e","n/e","0","","150","312","n/e","2168","n/e","n/e","142","4","n/e","179"
"Bulgaria (BG)","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","32","2403","n/e","482","61","n/e","n/e","n/e","n/e","0","","185","438","n/e","2169","n/e","n/e","25","4","n/e","216"
"Bulgaria (BG)","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","33","2669","n/e","483","60","n/e","n/e","n/e","n/e","195","","206","618","n/e","2169","n/e","n/e","0","4","n/e","294"
"Bulgaria (BG)","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","33","2699","n/e","484","60","n/e","n/e","n/e","n/e","211","","219","771","n/e","2169","n/e","n/e","0","4","n/e","323"
"Bulgaria (BG)","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","33","2693","n/e","486","60","n/e","n/e","n/e","n/e","96","","216","920","n/e","2169","n/e","n/e","0","4","n/e","323"
"Bulgaria (BG)","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","33","2681","n/e","486","61","n/e","n/e","n/e","n/e","0","","204","911","n/e","2169","n/e","n/e","0","4","n/e","309"
"Bulgaria (BG)","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","32","2560","n/e","486","61","n/e","n/e","n/e","n/e","0","","184","836","n/e","2169","n/e","n/e","0","4","n/e","263"
