"date","year","month","month_date","weekday","coal","gas","oil","nuclear","hydro","wind","solar","other","fossil","low.carbon","total.prod","unit","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2021-01-01,2021,1,"01_01","Friday",12864.5871894021,558.304941716271,48.6259108173812,833.86568524808,2353.54299953558,1148.96027356025,509.641149661906,531.005552191037,13471.5180419358,5377.01566019685,18848.5337021326,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462507,0.0442403477334543,0.12486610559363,0.0609575414044145,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2021-01-02,2021,1,"01_02","Saturday",12872.8754776034,558.664641735639,48.6572391108565,834.402921229212,2355.05932045495,1149.70051603667,509.969496981993,531.347663988974,13480.1973584499,5380.4799186918,18860.6772771417,"Gwh",0.682524560939535,0.0296206034134689,0.00257982459462508,0.0442403477334545,0.12486610559363,0.0609575414044148,0.0270387690478143,0.0281722472730576,0.714724988947629,0.285275011052371
2021-01-03,2021,1,"01_03","Sunday",12880.3409243841,558.988631597764,48.685457206317,834.88682170762,2356.42510466166,1150.36726901126,510.265246765802,531.655811746207,13488.0150131882,5383.60025389255,18871.6152670807,"Gwh",0.682524560939535,0.0296206034134689,0.00257982459462508,0.0442403477334545,0.12486610559363,0.0609575414044148,0.0270387690478143,0.0281722472730576,0.714724988947629,0.285275011052371
2021-01-04,2021,1,"01_04","Monday",12890.6561360794,559.436297238294,48.7244469194396,835.555440213763,2358.31224599909,1151.288539805,510.673892318898,532.081587917766,13498.8168802371,5387.91170625452,18886.7285864916,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462507,0.0442403477334543,0.12486610559363,0.0609575414044143,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2021-01-05,2021,1,"01_05","Tuesday",12907.2235954744,560.155301611752,48.7870690456804,836.629321223532,2361.34321990483,1152.76821050087,511.33022578135,532.765435195173,13516.1659661318,5394.83641260576,18911.0023787376,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462507,0.0442403477334543,0.12486610559363,0.0609575414044141,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2021-01-06,2021,1,"01_06","Wednesday",12931.2638269911,561.198613756806,48.877936955902,838.18757753072,2365.7413181695,1154.91528841121,512.282599226993,533.757732594493,13541.3403777038,5404.88451593292,18946.2248936367,"Gwh",0.682524560939535,0.0296206034134689,0.00257982459462508,0.0442403477334545,0.12486610559363,0.0609575414044145,0.0270387690478143,0.0281722472730576,0.714724988947629,0.285275011052371
2021-01-07,2021,1,"01_07","Thursday",12962.9417436824,562.573390667378,48.9976739928728,840.240898583321,2371.53671121019,1157.7445022283,513.537545821373,535.065287154719,13574.5128083427,5418.1249449979,18992.6377533406,"Gwh",0.682524560939535,0.0296206034134689,0.00257982459462508,0.0442403477334544,0.12486610559363,0.0609575414044144,0.0270387690478143,0.0281722472730576,0.714724988947629,0.285275011052371
2021-01-08,2021,1,"01_08","Friday",13002.4153692871,564.28649035088,49.1468774589484,842.79952727303,2378.75830906174,1161.26996534697,515.101325804229,536.694621547854,13615.8487370969,5434.62374903382,19050.4724861308,"Gwh",0.682524560939536,0.0296206034134689,0.00257982459462507,0.0442403477334544,0.12486610559363,0.0609575414044143,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2021-01-09,2021,1,"01_09","Saturday",13049.6592331868,566.336807418394,49.3254510796042,845.861812627738,2387.40145194033,1165.48940293879,516.972930136168,538.644684435092,13665.3214916848,5454.37028207812,19119.6917737629,"Gwh",0.682524560939536,0.0296206034134688,0.00257982459462507,0.0442403477334544,0.12486610559363,0.0609575414044142,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
2021-01-10,2021,1,"01_10","Sunday",13100.5186765544,568.544035535941,49.5176909642586,849.158455106093,2396.70605574424,1170.03175467573,518.987768607658,540.743985906017,13718.5804030546,5475.62802003974,19194.2084230943,"Gwh",0.682524560939536,0.0296206034134689,0.00257982459462508,0.0442403477334544,0.12486610559363,0.0609575414044143,0.0270387690478142,0.0281722472730575,0.71472498894763,0.28527501105237
