unit,year,month,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2021,1,0.0,0.0,2250.972,3881.523,168.36783300000002,975.9455,2.797,993.768,2250.972,6022.401333000001,8273.373333000001,0.0,0.0,0.27207426878967844,0.4691584488902212,0.020350566355857688,0.11796222178289073,0.00033807249926019983,0.12011642168209162,0.27207426878967844,0.7279257312103214
Gwh,2021,2,0.0,0.0,1664.997,4030.129,165.497,1094.027,2.719,819.805,1664.997,6112.177,7777.174,0.0,0.0,0.21408766217651812,0.5181996699572364,0.02127983763768176,0.14067153441597166,0.00034961285423214136,0.10541168295835994,0.21408766217651812,0.7859123378234819
Gwh,2021,3,0.0,0.0,2017.0,4392.799,183.9045,827.340833,3.4825,888.756,2017.0,6296.282832999999,8313.282833,0.0,0.0,0.24262376735137842,0.5284072595921506,0.02212176629790361,0.09952035190187786,0.00041890791760097935,0.10690794693908859,0.24262376735137842,0.7573762326486215
Gwh,2021,4,0.0,0.0,2043.446,3766.043,108.727673,721.763277,5.5925,841.972,2043.446,5444.09845,7487.54445,0.0,0.0,0.27291270371022636,0.5029743763324169,0.014521138902888248,0.09639519094941733,0.0007469070851392408,0.11244968301991182,0.27291270371022636,0.7270872962897736
Gwh,2021,5,0.0,0.0,1300.021,3836.125,41.033327,761.55989,3.5935,718.646,1300.021,5360.957717,6660.978717,0.0,0.0,0.19516966728659793,0.5759101121595732,0.00616025493299891,0.11433153029844759,0.0005394852847718535,0.10788895003761051,0.19516966728659793,0.8048303327134021
Gwh,2021,6,0.0,0.0,1513.038,3971.895,37.599981,357.5895,6.556,676.3365,1513.038,5049.976981000001,6563.014981,0.0,0.0,0.23054008018879454,0.6051936513170668,0.005729071335179388,0.05448555291054881,0.0009989311343916922,0.10305271311401872,0.23054008018879454,0.7694599198112055
Gwh,2021,7,0.0,0.0,1216.451,4284.459,102.217769,604.0895,6.212,761.612,1216.451,5758.590269,6975.041269,0.0,0.0,0.17440054518478865,0.6142557204703472,0.01465479056794954,0.08660730119043544,0.0008906040495572011,0.10919103853692194,0.17440054518478865,0.8255994548152114
Gwh,2021,8,0.0,0.0,1024.66,4144.315,188.94108300000002,743.0925,4.298,798.575,1024.66,5879.221583,6903.881582999999,0.0,0.0,0.14841795701176355,0.6002876715331982,0.027367370185671397,0.10763401588894257,0.000622548337240216,0.11567043704318417,0.14841795701176355,0.8515820429882365
Gwh,2021,9,0.0,0.0,955.728,3587.365,175.457167,480.921114,3.3245,739.403,955.728,4986.470780999999,5942.198780999999,0.0,0.0,0.1608374332841088,0.6037100292690462,0.02952731362017356,0.08093319185782386,0.0005594730372585293,0.12443255893158922,0.1608374332841088,0.8391625667158912
Gwh,2021,10,0.0,0.0,981.678,4147.088,193.914125,1082.984973,3.518,837.768,981.678,6265.273098000001,7246.9510980000005,0.0,0.0,0.13546082852289726,0.5722527920941132,0.026758028635451406,0.14944008291968194,0.00048544552770211056,0.115602822300154,0.13546082852289726,0.8645391714771028
Gwh,2021,11,0.0,0.0,2242.363,3541.408,174.758608,769.357095,2.6065,807.112,2242.363,5295.242203,7537.605203,0.0,0.0,0.2974901098703776,0.4698319830535173,0.02318489802708761,0.10206916842683568,0.00034579948535412835,0.10707804113682763,0.2974901098703776,0.7025098901296224
Gwh,2021,12,0.0,0.0,1953.642,4378.432,156.314642,1026.840826,2.674,878.858,1953.642,6443.119468000001,8396.761468,0.0,0.0,0.2326661305606115,0.5214429416253128,0.018616063180514775,0.12229010314432336,0.00031845611075062634,0.1046663053784869,0.2326661305606115,0.7673338694393885
