"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","468","n/e","n/e","215","331","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","169","1875","1308"
"Denmark (DK)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","511","n/e","n/e","212","331","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","169","1904","1189"
"Denmark (DK)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","519","n/e","n/e","213","333","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","169","1738","1051"
"Denmark (DK)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","558","n/e","n/e","214","332","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","169","1436","1048"
"Denmark (DK)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","468","n/e","n/e","215","332","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","169","1505","878"
"Denmark (DK)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","505","n/e","n/e","223","331","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","168","1391","827"
"Denmark (DK)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","554","n/e","n/e","226","332","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","165","1407","617"
"Denmark (DK)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","720","n/e","n/e","232","421","40","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","170","1098","474"
"Denmark (DK)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","714","n/e","n/e","246","544","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","171","734","346"
"Denmark (DK)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","675","n/e","n/e","244","576","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","165","703","232"
"Denmark (DK)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","668","n/e","n/e","239","586","48","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","169","610","256"
"Denmark (DK)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","732","n/e","n/e","236","778","49","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","62","170","653","385"
"Denmark (DK)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","649","n/e","n/e","238","795","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","171","714","501"
