"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","378","n/e","n/e","2609","28","211","n/e","n/e","n/e","914","","5768","1903","n/e","38466","n/e","n/e","0","269","n/e","3177"
"France (FR)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","374","n/e","n/e","2502","29","212","n/e","n/e","n/e","","183","5580","1350","n/e","37836","n/e","n/e","0","270","n/e","3050"
"France (FR)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","372","n/e","n/e","2506","28","214","n/e","n/e","n/e","","1845","5466","573","n/e","36816","n/e","n/e","0","270","n/e","3133"
"France (FR)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","367","n/e","n/e","2509","29","215","n/e","n/e","n/e","","2844","5474","517","n/e","36359","n/e","n/e","0","269","n/e","3403"
"France (FR)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","364","n/e","n/e","2512","28","215","n/e","n/e","n/e","","3395","5435","530","n/e","36759","n/e","n/e","0","263","n/e","3610"
"France (FR)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","359","n/e","n/e","2510","29","215","n/e","n/e","n/e","","3695","5487","609","n/e","37298","n/e","n/e","0","264","n/e","3747"
"France (FR)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","357","n/e","n/e","2652","28","214","n/e","n/e","n/e","","3287","5490","625","n/e","37624","n/e","n/e","0","260","n/e","4056"
"France (FR)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","358","n/e","n/e","2656","28","214","n/e","n/e","n/e","","3003","5469","604","n/e","39311","n/e","n/e","244","263","n/e","4531"
"France (FR)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","359","n/e","n/e","2645","28","214","n/e","n/e","n/e","","2980","5674","599","n/e","39731","n/e","n/e","962","260","n/e","4837"
"France (FR)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","360","n/e","n/e","2653","28","215","n/e","n/e","n/e","","2811","5713","585","n/e","40138","n/e","n/e","2410","259","n/e","4843"
"France (FR)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","356","n/e","n/e","2656","28","215","n/e","n/e","n/e","","2639","5682","882","n/e","40756","n/e","n/e","3698","245","n/e","4583"
"France (FR)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","359","n/e","n/e","2686","28","215","n/e","n/e","n/e","","1901","5763","1288","n/e","40987","n/e","n/e","4270","237","n/e","3890"
"France (FR)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","359","n/e","n/e","2647","28","215","n/e","n/e","n/e","","1386","5773","1256","n/e","40832","n/e","n/e","4332","236","n/e","3230"
"France (FR)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","358","n/e","n/e","2593","28","215","n/e","n/e","n/e","","217","5666","1419","n/e","41010","n/e","n/e","3567","236","n/e","2835"
