coal,hydro,nuclear,gas_naptha_diesel,res,total,date,year,month,month_date,weekday,unit
2672.0,241.0,75.0,122.0,266.0,3376.0,2019-01-01,2019,1,01-01,Tuesday,MU
2705.0,247.0,76.0,124.0,261.0,3413.0,2019-01-02,2019,1,01-02,Wednesday,MU
2741.0,261.0,85.0,116.0,258.0,3461.0,2019-01-03,2019,1,01-03,Thursday,MU
2758.0,242.0,87.0,130.0,267.0,3484.0,2019-01-04,2019,1,01-04,Friday,MU
2744.0,238.0,87.0,123.0,262.0,3454.0,2019-01-05,2019,1,01-05,Saturday,MU
2606.0,224.0,87.0,119.0,300.0,3336.0,2019-01-06,2019,1,01-06,Sunday,MU
2685.0,251.0,87.0,117.0,300.0,3440.0,2019-01-07,2019,1,01-07,Monday,MU
2774.0,242.0,87.0,129.0,261.0,3493.0,2019-01-08,2019,1,01-08,Tuesday,MU
2766.0,249.0,86.0,130.0,256.0,3487.0,2019-01-09,2019,1,01-09,Wednesday,MU
2763.0,257.0,87.0,142.0,260.0,3509.0,2019-01-10,2019,1,01-10,Thursday,MU
2813.0,253.0,86.0,130.0,250.0,3532.0,2019-01-11,2019,1,01-11,Friday,MU
2797.0,249.0,87.0,128.0,250.0,3511.0,2019-01-12,2019,1,01-12,Saturday,MU
2655.0,218.0,87.0,122.0,289.0,3371.0,2019-01-13,2019,1,01-13,Sunday,MU
2581.0,232.0,87.0,119.0,329.0,3348.0,2019-01-14,2019,1,01-14,Monday,MU
2647.0,236.0,86.0,122.0,272.0,3363.0,2019-01-15,2019,1,01-15,Tuesday,MU
2713.0,241.0,86.0,123.0,240.0,3403.0,2019-01-16,2019,1,01-16,Wednesday,MU
2728.0,245.0,87.0,123.0,258.0,3441.0,2019-01-17,2019,1,01-17,Thursday,MU
2777.0,249.0,87.0,124.0,262.0,3499.0,2019-01-18,2019,1,01-18,Friday,MU
2776.0,248.0,87.0,117.0,247.0,3475.0,2019-01-19,2019,1,01-19,Saturday,MU
2673.0,224.0,87.0,117.0,265.0,3366.0,2019-01-20,2019,1,01-20,Sunday,MU
2636.0,243.0,85.0,115.0,291.0,3370.0,2019-01-21,2019,1,01-21,Monday,MU
2628.0,261.0,83.0,116.0,238.0,3326.0,2019-01-22,2019,1,01-22,Tuesday,MU
2742.0,257.0,83.0,118.0,230.0,3430.0,2019-01-23,2019,1,01-23,Wednesday,MU
2699.0,243.0,83.0,108.0,283.0,3416.0,2019-01-24,2019,1,01-24,Thursday,MU
2648.0,247.0,82.0,114.0,251.0,3342.0,2019-01-25,2019,1,01-25,Friday,MU
2465.0,230.0,84.0,110.0,271.0,3160.0,2019-01-26,2019,1,01-26,Saturday,MU
