coal,hydro,nuclear,gas_naptha_diesel,res,total,date,year,month,month_date,weekday,unit
2796.0,264.0,86.0,99.0,390.0,3635.0,2021-01-01,2021,1,01-01,Friday,MU
2785.0,281.0,96.0,96.0,359.0,3617.0,2021-01-02,2021,1,01-02,Saturday,MU
2685.0,256.0,108.0,93.0,327.0,3469.0,2021-01-03,2021,1,01-03,Sunday,MU
2728.0,280.0,109.0,104.0,323.0,3544.0,2021-01-04,2021,1,01-04,Monday,MU
2739.0,282.0,109.0,97.0,301.0,3528.0,2021-01-05,2021,1,01-05,Tuesday,MU
2780.0,292.0,106.0,92.0,271.0,3541.0,2021-01-06,2021,1,01-06,Wednesday,MU
2756.0,261.0,104.0,95.0,310.0,3526.0,2021-01-07,2021,1,01-07,Thursday,MU
3104.0,256.0,116.0,102.0,336.0,3914.0,2021-01-08,2021,1,01-08,Friday,MU
2720.0,253.0,104.0,90.0,339.0,3506.0,2021-01-09,2021,1,01-09,Saturday,MU
2686.0,237.0,104.0,89.0,339.0,3455.0,2021-01-10,2021,1,01-10,Sunday,MU
2845.0,253.0,104.0,92.0,325.0,3619.0,2021-01-11,2021,1,01-11,Monday,MU
2871.0,253.0,104.0,88.0,362.0,3678.0,2021-01-12,2021,1,01-12,Tuesday,MU
2878.0,266.0,104.0,93.0,335.0,3676.0,2021-01-13,2021,1,01-13,Wednesday,MU
2778.0,258.0,104.0,87.0,307.0,3534.0,2021-01-14,2021,1,01-14,Thursday,MU
2775.0,269.0,104.0,89.0,315.0,3552.0,2021-01-15,2021,1,01-15,Friday,MU
2843.0,283.0,99.0,92.0,311.0,3628.0,2021-01-16,2021,1,01-16,Saturday,MU
2826.0,258.0,99.0,95.0,334.0,3612.0,2021-01-17,2021,1,01-17,Sunday,MU
2901.0,287.0,79.0,96.0,364.0,3727.0,2021-01-18,2021,1,01-18,Monday,MU
3024.0,293.0,74.0,92.0,319.0,3802.0,2021-01-19,2021,1,01-19,Tuesday,MU
3088.0,289.0,77.0,94.0,296.0,3844.0,2021-01-20,2021,1,01-20,Wednesday,MU
3122.0,278.0,78.0,95.0,279.0,3852.0,2021-01-21,2021,1,01-21,Thursday,MU
3138.0,292.0,79.0,95.0,302.0,3906.0,2021-01-22,2021,1,01-22,Friday,MU
3102.0,282.0,88.0,97.0,313.0,3882.0,2021-01-23,2021,1,01-23,Saturday,MU
2986.0,267.0,89.0,93.0,336.0,3771.0,2021-01-24,2021,1,01-24,Sunday,MU
3006.0,265.0,88.0,96.0,363.0,3818.0,2021-01-25,2021,1,01-25,Monday,MU
2894.0,255.0,89.0,92.0,349.0,3679.0,2021-01-26,2021,1,01-26,Tuesday,MU
