coal,hydro,nuclear,gas_naptha_diesel,res,total,date,year,month,month_date,weekday,unit
2604.0,210.0,123.0,115.0,177.0,3229.0,2018-01-01,2018,1,01-01,Monday,MU
2669.0,222.0,127.0,119.0,176.0,3313.0,2018-01-02,2018,1,01-02,Tuesday,MU
2739.0,225.0,126.0,118.0,181.0,3389.0,2018-01-03,2018,1,01-03,Wednesday,MU
2732.0,230.0,126.0,119.0,169.0,3376.0,2018-01-04,2018,1,01-04,Thursday,MU
2740.0,228.0,127.0,117.0,169.0,3381.0,2018-01-05,2018,1,01-05,Friday,MU
2716.0,234.0,127.0,121.0,167.0,3365.0,2018-01-06,2018,1,01-06,Saturday,MU
2630.0,209.0,127.0,117.0,177.0,3260.0,2018-01-07,2018,1,01-07,Sunday,MU
2702.0,217.0,124.0,116.0,200.0,3359.0,2018-01-08,2018,1,01-08,Monday,MU
2730.0,211.0,117.0,111.0,232.0,3401.0,2018-01-09,2018,1,01-09,Tuesday,MU
2742.0,212.0,117.0,117.0,220.0,3408.0,2018-01-10,2018,1,01-10,Wednesday,MU
2748.0,239.0,117.0,117.0,199.0,3420.0,2018-01-11,2018,1,01-11,Thursday,MU
2789.0,247.0,117.0,116.0,184.0,3453.0,2018-01-12,2018,1,01-12,Friday,MU
2778.0,229.0,120.0,116.0,182.0,3425.0,2018-01-13,2018,1,01-13,Saturday,MU
2581.0,212.0,122.0,110.0,184.0,3209.0,2018-01-14,2018,1,01-14,Sunday,MU
2623.0,232.0,119.0,110.0,197.0,3281.0,2018-01-15,2018,1,01-15,Monday,MU
2673.0,247.0,112.0,119.0,176.0,3327.0,2018-01-16,2018,1,01-16,Tuesday,MU
2754.0,235.0,113.0,124.0,180.0,3406.0,2018-01-17,2018,1,01-17,Wednesday,MU
2727.0,231.0,114.0,119.0,203.0,3394.0,2018-01-18,2018,1,01-18,Thursday,MU
2736.0,237.0,112.0,115.0,200.0,3400.0,2018-01-19,2018,1,01-19,Friday,MU
2746.0,235.0,112.0,115.0,192.0,3400.0,2018-01-20,2018,1,01-20,Saturday,MU
2674.0,204.0,113.0,118.0,191.0,3300.0,2018-01-21,2018,1,01-21,Sunday,MU
2724.0,235.0,113.0,115.0,192.0,3379.0,2018-01-22,2018,1,01-22,Monday,MU
2688.0,243.0,115.0,113.0,201.0,3360.0,2018-01-23,2018,1,01-23,Tuesday,MU
2685.0,231.0,116.0,113.0,173.0,3318.0,2018-01-24,2018,1,01-24,Wednesday,MU
2751.0,222.0,117.0,110.0,168.0,3368.0,2018-01-25,2018,1,01-25,Thursday,MU
2620.0,195.0,117.0,105.0,171.0,3208.0,2018-01-26,2018,1,01-26,Friday,MU
2665.0,206.0,118.0,107.0,174.0,3270.0,2018-01-27,2018,1,01-27,Saturday,MU
2666.0,192.0,122.0,101.0,185.0,3266.0,2018-01-28,2018,1,01-28,Sunday,MU
2719.0,208.0,125.0,100.0,192.0,3344.0,2018-01-29,2018,1,01-29,Monday,MU
2713.0,210.0,124.0,110.0,212.0,3369.0,2018-01-30,2018,1,01-30,Tuesday,MU
2727.0,210.0,122.0,112.0,214.0,3385.0,2018-01-31,2018,1,01-31,Wednesday,MU
2721.0,195.0,122.0,124.0,214.0,3376.0,2018-02-01,2018,2,02-01,Thursday,MU
2732.0,199.0,122.0,127.0,209.0,3389.0,2018-02-02,2018,2,02-02,Friday,MU
2717.0,203.0,122.0,115.0,223.0,3380.0,2018-02-03,2018,2,02-03,Saturday,MU
