2022/5/22 12:25 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1080,18:00～19:00,5/22,12:16,23,81

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
879,18:00～19:00,5/22,12:16

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
783,0:00～1:00,5/22,12:16,17,86

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
671,0:00～1:00,5/22,12:16

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/5/22,0:00,679,683,87,15,783
2022/5/22,1:00,663,663,87,15,765
2022/5/22,2:00,694,698,85,17,815
2022/5/22,3:00,744,748,83,21,901
2022/5/22,4:00,788,789,84,19,938
2022/5/22,5:00,771,770,82,22,943
2022/5/22,6:00,697,695,77,30,906
2022/5/22,7:00,663,649,74,35,896
2022/5/22,8:00,655,655,65,53,1003
2022/5/22,9:00,715,715,61,64,1169
2022/5/22,10:00,767,775,59,68,1289
2022/5/22,11:00,807,807,61,64,1326
2022/5/22,12:00,0,817,0,0,1345
2022/5/22,13:00,0,827,0,0,1325
2022/5/22,14:00,0,826,0,0,1270
2022/5/22,15:00,0,819,0,0,1137
2022/5/22,16:00,0,821,0,0,1060
2022/5/22,17:00,0,860,0,0,1075
2022/5/22,18:00,0,879,0,0,1080
2022/5/22,19:00,0,869,0,0,1057
2022/5/22,20:00,0,829,0,0,1023
2022/5/22,21:00,0,788,0,0,979
2022/5/22,22:00,0,749,0,0,931
2022/5/22,23:00,0,713,0,0,886

最大使用率(%),時間帯
87,1:00～2:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

