KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26269.407,MWH,19873.13,19877.63,19730.43,19797.93,19799.63,19947.83,19959.33,19958.23,19829.83,19794.33,19856.63,19772.43,19823.93,19837.83,19830.83,19836.23,19771.83,19804.43,19866.43,19929.63,20010.13,20015.13,20016.13,19942.53,2018-01-03
BARAJLI,19949.996,MWH,15260.71,15246.91,15237.91,15198.91,15198.91,15146.91,15145.31,15157.31,15093.41,15117.91,15121.71,15124.01,15221.71,15221.31,15204.31,15218.31,15210.31,15200.31,15275.01,15276.01,15231.01,15230.41,15225.21,15214.81,2018-01-03
LİNYİT,9472.652,MWH,5066.45,5006.45,5026.45,5046.45,4936.45,4936.45,4936.45,4997.45,4775.45,4775.45,4700.45,4700.45,4700.45,4700.45,4700.45,4700.45,4786.45,4888.45,4908.45,4928.45,5113.45,5113.45,5113.45,5113.45,2018-01-03
İTHAL KÖMÜR,8953.75,MWH,6728.0,7322.0,7293.0,7291.0,7290.0,7292.0,7092.0,7299.0,7301.0,7306.0,7903.0,7905.0,7905.0,7903.0,7904.0,7904.0,7935.0,7942.0,7316.0,7314.0,7311.0,7296.0,7287.0,7917.0,2018-01-03
AKARSU,7499.365,MWH,3865.423,3848.613,3802.103,3772.633,3778.623,3783.213,3817.383,3850.733,3937.643,4015.303,4090.783,4129.953,4111.733,4096.173,4087.193,4036.383,4038.513,4032.103,4041.653,4035.053,4066.253,4042.203,4042.513,4026.173,2018-01-03
RÜZGAR,6552.902,MWH,4349.447,4330.083,4324.991,4309.977,4298.927,4307.792,4309.578,4336.735,4361.163,4370.502,4377.856,4377.665,4378.344,4392.061,4387.243,4336.816,4287.537,4207.119,4207.636,4200.493,4178.529,4158.657,4121.799,4078.147,2018-01-03
JEOTERMAL,1103.428,MWH,721.5,723.9,724.5,725.0,725.8,725.4,721.6,720.1,718.0,712.9,690.8,686.1,686.4,684.7,685.0,684.6,684.0,686.0,687.9,691.3,714.4,717.4,720.9,722.3,2018-01-03
TAŞ KÖMÜR,844.766,MWH,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,2018-01-03
BİYOKÜTLE,450.631,MWH,132.48,132.48,132.48,132.48,132.48,132.28,132.28,132.28,134.68,138.05,138.25,138.25,138.25,136.15,134.75,134.75,135.05,135.05,135.55,134.68,134.68,134.68,135.08,134.08,2018-01-03
FUEL OİL,433.27,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
ASFALTİT KÖMÜR,405.0,MWH,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,2018-01-03
ATIK ISI,140.425,MWH,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,2018-01-03
GÜNEŞ,17.9,MWH,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,2018-01-03
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
