KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25804.046,MWH,15665.67,15714.57,15779.67,15811.67,16177.51,16186.31,16178.21,15987.31,16024.4,15735.18,15715.57,15683.66,15637.85,15585.55,15559.85,15556.85,15615.45,15687.05,15767.36,15826.46,15847.07,15842.87,16046.28,16084.08,2018-09-20
BARAJLI,20581.196,MWH,13796.13,13795.63,13838.03,13838.03,13836.03,13835.33,13835.33,13721.53,13080.03,13126.63,13001.43,12985.93,12987.73,12988.93,13088.83,13093.83,13204.53,13280.53,13719.93,13713.73,13711.93,13704.03,13659.13,13659.13,2018-09-20
LİNYİT,9812.652,MWH,5305.45,5307.45,5333.45,5333.45,5333.45,5203.45,5203.45,5203.45,5203.45,5199.45,5199.45,5199.45,5197.45,5197.45,5197.45,5167.45,5151.45,5172.45,5174.45,5199.45,5199.45,5201.45,5201.45,5203.45,2018-09-20
İTHAL KÖMÜR,8977.75,MWH,6176.2,6179.2,6182.2,6179.2,6209.2,6185.2,6183.2,6191.2,6192.2,6195.2,6197.2,6198.2,6208.2,6196.2,6197.2,6207.2,6198.2,6198.2,6179.2,6178.2,6178.2,6186.2,6184.2,6177.2,2018-09-20
AKARSU,7642.494,MWH,1801.9,1795.33,1747.61,1723.33,1714.5,1745.35,1805.33,1862.57,1935.38,1975.19,1953.52,1980.08,1923.61,1952.5,1980.49,1996.92,2011.37,2018.22,1985.73,1967.38,1938.4,1884.47,1832.79,1855.69,2018-09-20
RÜZGAR,6762.732,MWH,3516.16,3388.95,3287.6,3249.18,3178.93,3163.41,3090.66,2949.39,2769.72,2635.23,2556.95,2492.24,2467.42,2543.04,2661.47,2846.15,3061.93,3285.95,3460.25,3565.37,3636.31,3600.74,3355.09,3054.88,2018-09-20
JEOTERMAL,1208.908,MWH,648.5,652.4,655.0,658.1,663.2,668.0,672.1,670.45,662.0,646.6,630.1,609.2,593.2,577.35,561.6,566.5,562.0,563.7,575.6,590.0,607.1,617.0,629.9,639.8,2018-09-20
TAŞ KÖMÜR,844.766,MWH,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,2018-09-20
BİYOKÜTLE,494.103,MWH,233.65,232.95,232.58,231.85,231.84,231.84,231.77,230.67,232.86,228.18,238.29,237.92,237.9,237.5,239.3,237.56,236.96,238.43,237.43,237.73,238.23,237.16,237.63,236.63,2018-09-20
FUEL OİL,423.67,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
ASFALTİT KÖMÜR,405.0,MWH,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2018-09-20
ATIK ISI,140.425,MWH,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2018-09-20
GÜNEŞ,31.9,MWH,0.0,0.0,0.0,0.0,0.0,0.1,1.1,4.4,12.1,19.2,23.6,25.4,25.8,25.5,24.5,21.9,18.2,10.3,3.1,0.3,0.0,0.0,0.0,0.0,2018-09-20
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
