KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25690.227,MWH,18076.79,18079.69,18084.32,17747.22,17748.22,18087.22,18087.52,18079.19,17280.96,17265.83,17247.63,15760.83,16626.53,17215.93,17211.13,17209.43,17211.63,17214.43,17225.83,17233.16,17239.76,17251.79,16325.79,16333.19,2018-12-30
BARAJLI,20624.296,MWH,16444.31,16442.61,16440.31,16437.31,16429.31,16429.31,16429.31,16476.31,16086.82,16143.51,16138.51,16145.51,15517.91,16138.81,16299.81,16293.91,15645.31,15626.61,15245.61,15244.61,15244.61,15244.61,15253.31,15238.61,2018-12-30
LİNYİT,9812.652,MWH,4985.0,4985.0,4803.0,4803.0,4803.0,4803.0,4803.0,4803.0,4803.0,4818.0,4828.0,4742.0,4792.0,4771.0,4833.0,4833.0,4833.0,4833.0,4833.0,4905.0,5035.0,5050.0,5143.0,5143.0,2018-12-30
İTHAL KÖMÜR,8977.75,MWH,8177.5,7738.5,7737.5,7738.5,7737.5,7738.5,7739.5,7738.5,8181.0,8187.0,8188.0,8187.0,8187.0,8187.0,8187.0,8188.0,8182.0,8179.0,8193.0,8192.0,8183.0,8184.0,8173.0,8170.0,2018-12-30
AKARSU,7745.27,MWH,3006.82,2966.82,2936.63,3030.46,2969.12,2969.3,2943.15,3020.15,3112.02,3163.83,3204.66,3337.69,3305.48,3294.43,3274.5,3259.46,3221.36,3254.2,3140.7,3176.42,3146.41,3149.11,3115.11,3095.22,2018-12-30
RÜZGAR,7021.057,MWH,1681.93,1686.99,1733.41,1740.97,1742.86,1710.6,1685.86,1638.16,1568.82,1472.34,1360.04,1213.57,1094.3,999.49,925.82,894.13,889.81,896.64,908.94,909.72,911.36,848.02,790.83,682.93,2018-12-30
JEOTERMAL,1351.018,MWH,877.7,878.95,879.7,880.9,880.9,881.35,881.4,879.4,876.2,873.65,869.4,862.85,860.3,857.35,855.45,854.55,855.1,857.8,862.35,867.5,871.65,874.4,878.15,879.5,2018-12-30
TAŞ KÖMÜR,844.766,MWH,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-12-30
BİYOKÜTLE,593.363,MWH,299.99,299.99,299.87,300.09,300.99,302.29,300.89,300.67,303.86,305.43,304.33,302.91,305.73,310.43,310.43,310.34,298.44,296.76,296.26,305.76,305.76,305.44,305.66,302.09,2018-12-30
FUEL OİL,423.67,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-12-30
ASFALTİT KÖMÜR,405.0,MWH,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,2018-12-30
ATIK ISI,140.425,MWH,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,2018-12-30
GÜNEŞ,81.61,MWH,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.6,5.2,8.9,13.0,18.2,21.2,21.5,16.7,10.7,4.8,1.3,0.1,0.0,0.0,0.0,0.0,0.0,2018-12-30
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-12-30
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-12-30
