KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,26362.857,MWH,17306.35,17342.75,17355.25,17385.95,17446.45,17503.05,17497.84,16628.77,16009.35,16312.47,16568.07,17004.37,16992.47,16054.17,16946.47,16941.37,16941.27,16973.27,17302.27,17346.25,17452.33,17480.32,17493.75,17513.35,2018-03-19
BARAJLI,19949.996,MWH,14785.19,14557.19,14557.19,14669.69,14898.99,14902.99,14950.99,15021.39,15185.39,15078.69,15094.29,15086.29,15069.19,15078.39,15078.39,15082.49,15162.69,15212.69,15212.69,15314.49,15313.49,15313.49,15215.29,15208.29,2018-03-19
LİNYİT,9472.652,MWH,4950.95,4952.95,5015.95,5082.95,5091.95,5101.95,5141.95,5201.95,5409.95,5444.95,5394.95,5394.95,5059.95,4791.95,4837.95,4827.95,4789.95,4789.95,4831.95,4836.95,4826.95,4826.95,4826.95,4826.95,2018-03-19
İTHAL KÖMÜR,8977.75,MWH,5483.0,5484.0,5483.0,5481.0,5480.0,4850.0,4849.0,4850.0,4971.0,4854.0,4918.5,4977.1,5009.7,5083.0,5359.0,5357.0,5358.0,5361.0,5363.0,5363.0,5363.0,5361.0,5383.0,5384.0,2018-03-19
AKARSU,7570.068,MWH,3772.03,3720.95,3674.37,3678.33,3669.51,3683.15,3726.36,3805.15,3877.38,3980.99,4037.93,4079.54,4086.07,4074.69,4006.43,4022.61,4069.59,4113.79,4133.09,4110.34,4096.4,4151.45,4073.59,4040.09,2018-03-19
RÜZGAR,6629.157,MWH,4074.17,3843.55,3587.58,3394.78,3215.12,3050.08,2911.77,2820.62,2632.49,2580.61,2723.25,2939.69,3138.98,3302.69,3413.86,3348.69,3187.74,2895.05,2669.52,2592.45,2624.17,2765.58,2820.46,2970.67,2018-03-19
JEOTERMAL,1168.938,MWH,703.3,704.8,716.9,717.6,719.35,717.35,716.45,714.4,709.4,691.55,682.8,680.6,680.3,673.8,671.1,664.95,663.8,664.1,669.1,674.1,684.2,691.6,695.0,698.1,2018-03-19
TAŞ KÖMÜR,844.766,MWH,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,2018-03-19
BİYOKÜTLE,456.424,MWH,228.84,229.34,229.26,229.34,229.34,229.34,228.84,229.34,230.26,230.12,231.15,232.55,232.05,234.05,232.2,232.33,232.33,232.03,230.16,229.86,229.86,229.26,227.41,227.41,2018-03-19
FUEL OİL,433.27,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-19
ASFALTİT KÖMÜR,405.0,MWH,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,2018-03-19
ATIK ISI,140.425,MWH,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,14.7,16.3,14.8,17.4,17.4,2018-03-19
GÜNEŞ,22.9,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,5.7,10.7,14.3,17.1,17.8,17.3,16.2,14.1,9.3,5.8,3.1,0.4,0.0,0.0,0.0,0.0,2018-03-19
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-19
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-03-19
