date,year,month,month_date,weekday,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,unit,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
2021/1/1,2021,1,01_01,Friday,12864.58719,558.3049417,48.62591082,833.8656852,2353.543,1148.960274,509.6411497,531.0055522,13471.51804,5377.01566,18848.5337,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/2,2021,1,01_02,Saturday,12872.87548,558.6646417,48.65723911,834.4029212,2355.05932,1149.700516,509.969497,531.347664,13480.19736,5380.479919,18860.67728,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/3,2021,1,01_03,Sunday,12880.34092,558.9886316,48.68545721,834.8868217,2356.425105,1150.367269,510.2652468,531.6558117,13488.01501,5383.600254,18871.61527,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/4,2021,1,01_04,Monday,12890.65614,559.4362972,48.72444692,835.5554402,2358.312246,1151.28854,510.6738923,532.0815879,13498.81688,5387.911706,18886.72859,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/5,2021,1,01_05,Tuesday,12907.2236,560.1553016,48.78706905,836.6293212,2361.34322,1152.768211,511.3302258,532.7654352,13516.16597,5394.836413,18911.00238,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/6,2021,1,01_06,Wednesday,12931.26383,561.1986138,48.87793696,838.1875775,2365.741318,1154.915288,512.2825992,533.7577326,13541.34038,5404.884516,18946.22489,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/7,2021,1,01_07,Thursday,12962.94174,562.5733907,48.99767399,840.2408986,2371.536711,1157.744502,513.5375458,535.0652872,13574.51281,5418.124945,18992.63775,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/8,2021,1,01_08,Friday,13002.41537,564.2864904,49.14687746,842.7995273,2378.758309,1161.269965,515.1013258,536.6946215,13615.84874,5434.623749,19050.47249,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/9,2021,1,01_09,Saturday,13049.65923,566.3368074,49.32545108,845.8618126,2387.401452,1165.489403,516.9729301,538.6446844,13665.32149,5454.370282,19119.69177,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
2021/1/10,2021,1,01_10,Sunday,13100.51868,568.5440355,49.51769096,849.1584551,2396.706056,1170.031755,518.9877686,540.7439859,13718.5804,5475.62802,19194.20842,Gwh,0.682524561,0.029620603,0.002579825,0.044240348,0.124866106,0.060957541,0.027038769,0.028172247,0.714724989,0.285275011
