datetime,coal,wind,hydro,solar,other,oil,nuclear,gas,year,month,month_date,weekday,hour,date,unit
2021-01-01 00:00:00,84385,41832.0,24777.0,284.0,8185.0,95274.0,133161.0,2460.0,2021,1,01-01,Friday,0,2021-01-01,Mwh
2021-01-01 01:00:00,88453,40457.0,25806.0,332.0,8210.0,95299.0,138987.0,2630.0,2021,1,01-01,Friday,1,2021-01-01,Mwh
2021-01-01 02:00:00,92456,40592.0,29400.0,569.0,8281.0,95263.0,143135.0,2774.0,2021,1,01-01,Friday,2,2021-01-01,Mwh
2021-01-01 03:00:00,95518,43005.0,32749.0,1448.0,8264.0,95263.0,148067.0,2874.0,2021,1,01-01,Friday,3,2021-01-01,Mwh
2021-01-01 04:00:00,97320,44785.0,34474.0,2467.0,8234.0,95303.0,153716.0,2923.0,2021,1,01-01,Friday,4,2021-01-01,Mwh
2021-01-01 05:00:00,100388,45101.0,34727.0,3399.0,8509.0,95270.0,157837.0,2755.0,2021,1,01-01,Friday,5,2021-01-01,Mwh
2021-01-01 06:00:00,103754,44181.0,37367.0,4255.0,8606.0,95252.0,161145.0,2610.0,2021,1,01-01,Friday,6,2021-01-01,Mwh
2021-01-01 07:00:00,105145,41656.0,36402.0,5067.0,8743.0,95256.0,162539.0,2572.0,2021,1,01-01,Friday,7,2021-01-01,Mwh
2021-01-01 08:00:00,104659,41407.0,34577.0,9029.0,8802.0,95190.0,160419.0,2285.0,2021,1,01-01,Friday,8,2021-01-01,Mwh
2021-01-01 09:00:00,103334,41236.0,32824.0,12457.0,8522.0,95163.0,158113.0,2278.0,2021,1,01-01,Friday,9,2021-01-01,Mwh
2021-01-01 10:00:00,102257,41345.0,33477.0,12474.0,8536.0,95204.0,157665.0,2368.0,2021,1,01-01,Friday,10,2021-01-01,Mwh
2021-01-01 11:00:00,101706,42182.0,34838.0,11948.0,8745.0,95206.0,161046.0,2361.0,2021,1,01-01,Friday,11,2021-01-01,Mwh
2021-01-01 12:00:00,102159,42656.0,36694.0,11342.0,8835.0,95278.0,162967.0,2359.0,2021,1,01-01,Friday,12,2021-01-01,Mwh
2021-01-01 13:00:00,103986,44585.0,36205.0,10345.0,8802.0,95241.0,163401.0,2464.0,2021,1,01-01,Friday,13,2021-01-01,Mwh
2021-01-01 14:00:00,103063,45511.0,36362.0,9543.0,8612.0,95200.0,162075.0,2331.0,2021,1,01-01,Friday,14,2021-01-01,Mwh
2021-01-01 15:00:00,100949,47361.0,36585.0,7110.0,8298.0,95212.0,161054.0,1853.0,2021,1,01-01,Friday,15,2021-01-01,Mwh
2021-01-01 16:00:00,96526,48789.0,38210.0,2059.0,7944.0,95225.0,158740.0,1809.0,2021,1,01-01,Friday,16,2021-01-01,Mwh
2021-01-01 17:00:00,93128,48685.0,39288.0,1615.0,7536.0,95240.0,153747.0,1849.0,2021,1,01-01,Friday,17,2021-01-01,Mwh
2021-01-01 18:00:00,89233,50816.0,36371.0,62.0,8164.0,95249.0,147351.0,1151.0,2021,1,01-01,Friday,18,2021-01-01,Mwh
2021-01-01 19:00:00,87416,47886.0,33580.0,40.0,7672.0,95283.0,143420.0,1753.0,2021,1,01-01,Friday,19,2021-01-01,Mwh
2021-01-01 20:00:00,85536,46566.0,31086.0,37.0,7627.0,95308.0,139732.0,1781.0,2021,1,01-01,Friday,20,2021-01-01,Mwh
2021-01-01 21:00:00,85664,44752.0,28668.0,55.0,8143.0,95293.0,135746.0,1125.0,2021,1,01-01,Friday,21,2021-01-01,Mwh
2021-01-01 22:00:00,84410,43590.0,25884.0,83.0,7411.0,95315.0,132565.0,1780.0,2021,1,01-01,Friday,22,2021-01-01,Mwh
2021-01-01 23:00:00,83736,44490.0,24673.0,436.0,8255.0,95321.0,129679.0,1222.0,2021,1,01-01,Friday,23,2021-01-01,Mwh
2021-01-02 00:00:00,83730,44229.0,24311.0,416.0,7590.0,95314.0,128967.0,2053.0,2021,1,01-02,Saturday,0,2021-01-02,Mwh
2021-01-02 01:00:00,85822,42780.0,25457.0,407.0,8190.0,95314.0,130973.0,1469.0,2021,1,01-02,Saturday,1,2021-01-02,Mwh
2021-01-02 02:00:00,88049,41937.0,27109.0,571.0,8123.0,95259.0,132234.0,1578.0,2021,1,01-02,Saturday,2,2021-01-02,Mwh
2021-01-02 03:00:00,89556,40807.0,28500.0,1521.0,7996.0,95250.0,136428.0,2598.0,2021,1,01-02,Saturday,3,2021-01-02,Mwh
2021-01-02 04:00:00,91948,39486.0,29246.0,2650.0,8110.0,95243.0,142447.0,2650.0,2021,1,01-02,Saturday,4,2021-01-02,Mwh
2021-01-02 05:00:00,95139,38572.0,30256.0,4131.0,8504.0,95168.0,147195.0,2651.0,2021,1,01-02,Saturday,5,2021-01-02,Mwh
2021-01-02 06:00:00,98477,35935.0,32157.0,6005.0,8741.0,95198.0,152423.0,2659.0,2021,1,01-02,Saturday,6,2021-01-02,Mwh
2021-01-02 07:00:00,99898,35751.0,32450.0,7668.0,8802.0,95240.0,151756.0,2689.0,2021,1,01-02,Saturday,7,2021-01-02,Mwh
2021-01-02 08:00:00,97826,35507.0,32389.0,12858.0,8657.0,95213.0,149661.0,2685.0,2021,1,01-02,Saturday,8,2021-01-02,Mwh
2021-01-02 09:00:00,96212,34144.0,32046.0,17126.0,8621.0,95186.0,146999.0,2694.0,2021,1,01-02,Saturday,9,2021-01-02,Mwh
2021-01-02 10:00:00,95857,31770.0,32392.0,17708.0,8654.0,95188.0,148033.0,2684.0,2021,1,01-02,Saturday,10,2021-01-02,Mwh
2021-01-02 11:00:00,96253,29852.0,34204.0,16900.0,8490.0,95157.0,151228.0,2779.0,2021,1,01-02,Saturday,11,2021-01-02,Mwh
2021-01-02 12:00:00,98025,26950.0,36117.0,15958.0,8338.0,95143.0,154721.0,2931.0,2021,1,01-02,Saturday,12,2021-01-02,Mwh
2021-01-02 13:00:00,101762,23647.0,36938.0,14527.0,8421.0,95147.0,156726.0,2869.0,2021,1,01-02,Saturday,13,2021-01-02,Mwh
2021-01-02 14:00:00,104664,22905.0,35126.0,12024.0,8035.0,95022.0,157600.0,2699.0,2021,1,01-02,Saturday,14,2021-01-02,Mwh
2021-01-02 15:00:00,104812,24713.0,34939.0,8755.0,7940.0,94973.0,157882.0,2645.0,2021,1,01-02,Saturday,15,2021-01-02,Mwh
