datetime,coal,wind,hydro,solar,other,nuclear,gas,oil,year,month,month_date,weekday,hour,date,unit
2019-01-01 00:00:00,99684.0,38289.0,26971.0,98.0,6827.0,102640.0,96505.0,1789.0,2019,1,01-01,Tuesday,0,2019-01-01,Mwh
2019-01-01 01:00:00,103794.0,37170.0,26989.0,97.0,7644.0,102678.0,101184.0,2071.0,2019,1,01-01,Tuesday,1,2019-01-01,Mwh
2019-01-01 02:00:00,107776.0,36701.0,29375.0,208.0,7644.0,102699.0,106294.0,2142.0,2019,1,01-01,Tuesday,2,2019-01-01,Mwh
2019-01-01 03:00:00,110907.0,38479.0,29787.0,655.0,7848.0,102670.0,112992.0,2171.0,2019,1,01-01,Tuesday,3,2019-01-01,Mwh
2019-01-01 04:00:00,115051.0,39823.0,31598.0,1219.0,7965.0,102672.0,116362.0,2141.0,2019,1,01-01,Tuesday,4,2019-01-01,Mwh
2019-01-01 05:00:00,118830.0,40434.0,35141.0,2006.0,8114.0,102639.0,117879.0,2195.0,2019,1,01-01,Tuesday,5,2019-01-01,Mwh
2019-01-01 06:00:00,121552.0,39759.0,37821.0,2988.0,8325.0,102645.0,120938.0,2371.0,2019,1,01-01,Tuesday,6,2019-01-01,Mwh
2019-01-01 07:00:00,120217.0,40303.0,38729.0,3620.0,8301.0,102651.0,122853.0,2423.0,2019,1,01-01,Tuesday,7,2019-01-01,Mwh
2019-01-01 08:00:00,116780.0,41741.0,38211.0,5397.0,8324.0,102660.0,123358.0,2344.0,2019,1,01-01,Tuesday,8,2019-01-01,Mwh
2019-01-01 09:00:00,113185.0,43658.0,37380.0,8700.0,8236.0,102741.0,121790.0,2332.0,2019,1,01-01,Tuesday,9,2019-01-01,Mwh
2019-01-01 10:00:00,109905.0,44917.0,37517.0,8652.0,8295.0,102799.0,120163.0,2317.0,2019,1,01-01,Tuesday,10,2019-01-01,Mwh
2019-01-01 11:00:00,106908.0,47873.0,40985.0,8132.0,8359.0,102917.0,120520.0,2309.0,2019,1,01-01,Tuesday,11,2019-01-01,Mwh
2019-01-01 12:00:00,106664.0,47888.0,39265.0,8529.0,8350.0,102927.0,121976.0,2315.0,2019,1,01-01,Tuesday,12,2019-01-01,Mwh
2019-01-01 13:00:00,107433.0,47186.0,38964.0,7922.0,8356.0,102930.0,122187.0,2323.0,2019,1,01-01,Tuesday,13,2019-01-01,Mwh
2019-01-01 14:00:00,105976.0,47621.0,37952.0,7210.0,8322.0,102930.0,121229.0,2314.0,2019,1,01-01,Tuesday,14,2019-01-01,Mwh
2019-01-01 15:00:00,104060.0,48342.0,37944.0,5432.0,8201.0,102896.0,118065.0,2309.0,2019,1,01-01,Tuesday,15,2019-01-01,Mwh
2019-01-01 16:00:00,100546.0,49081.0,40036.0,1621.0,7933.0,102923.0,113248.0,2205.0,2019,1,01-01,Tuesday,16,2019-01-01,Mwh
2019-01-01 17:00:00,95920.0,50626.0,40493.0,1269.0,7715.0,102935.0,110409.0,2096.0,2019,1,01-01,Tuesday,17,2019-01-01,Mwh
2019-01-01 18:00:00,96748.0,51096.0,40406.0,22.0,6594.0,103082.0,106981.0,2804.0,2019,1,01-01,Tuesday,18,2019-01-01,Mwh
2019-01-01 19:00:00,92422.0,51772.0,37360.0,27.0,6602.0,102921.0,94021.0,2637.0,2019,1,01-01,Tuesday,19,2019-01-01,Mwh
2019-01-01 20:00:00,89167.0,52390.0,35223.0,14.0,6527.0,102898.0,89860.0,2498.0,2019,1,01-01,Tuesday,20,2019-01-01,Mwh
2019-01-01 21:00:00,87329.0,52348.0,31911.0,10.0,6526.0,102865.0,85204.0,2456.0,2019,1,01-01,Tuesday,21,2019-01-01,Mwh
2019-01-01 22:00:00,86813.0,51131.0,28209.0,13.0,6537.0,102903.0,84004.0,2527.0,2019,1,01-01,Tuesday,22,2019-01-01,Mwh
2019-01-01 23:00:00,85580.0,48208.0,27175.0,12.0,6570.0,102936.0,83374.0,2384.0,2019,1,01-01,Tuesday,23,2019-01-01,Mwh
2019-01-02 00:00:00,86801.0,45571.0,26710.0,18.0,6677.0,102932.0,84650.0,2412.0,2019,1,01-02,Wednesday,0,2019-01-02,Mwh
2019-01-02 01:00:00,89410.0,43677.0,26308.0,26.0,7354.0,102985.0,86396.0,1761.0,2019,1,01-02,Wednesday,1,2019-01-02,Mwh
2019-01-02 02:00:00,92721.0,40935.0,26020.0,177.0,7344.0,103003.0,90230.0,1845.0,2019,1,01-02,Wednesday,2,2019-01-02,Mwh
2019-01-02 03:00:00,95767.0,38824.0,26672.0,691.0,7299.0,103054.0,96745.0,1809.0,2019,1,01-02,Wednesday,3,2019-01-02,Mwh
2019-01-02 04:00:00,99835.0,35772.0,29065.0,1480.0,6974.0,103103.0,102493.0,2505.0,2019,1,01-02,Wednesday,4,2019-01-02,Mwh
2019-01-02 05:00:00,105166.0,32224.0,32440.0,2353.0,7203.0,103094.0,108364.0,2523.0,2019,1,01-02,Wednesday,5,2019-01-02,Mwh
2019-01-02 06:00:00,109908.0,28584.0,33927.0,3041.0,7150.0,103105.0,113829.0,2631.0,2019,1,01-02,Wednesday,6,2019-01-02,Mwh
2019-01-02 07:00:00,112665.0,24556.0,34969.0,3945.0,6940.0,103141.0,118445.0,2570.0,2019,1,01-02,Wednesday,7,2019-01-02,Mwh
2019-01-02 08:00:00,114488.0,21778.0,33581.0,8046.0,7007.0,103215.0,122659.0,2612.0,2019,1,01-02,Wednesday,8,2019-01-02,Mwh
2019-01-02 09:00:00,113678.0,19924.0,32941.0,12107.0,7759.0,103174.0,119278.0,1987.0,2019,1,01-02,Wednesday,9,2019-01-02,Mwh
2019-01-02 10:00:00,114719.0,17851.0,33647.0,12934.0,7652.0,103188.0,123745.0,1995.0,2019,1,01-02,Wednesday,10,2019-01-02,Mwh
2019-01-02 11:00:00,117055.0,16431.0,34894.0,12281.0,7858.0,103220.0,125432.0,1989.0,2019,1,01-02,Wednesday,11,2019-01-02,Mwh
2019-01-02 12:00:00,119196.0,14671.0,37305.0,11671.0,8220.0,103286.0,129621.0,2018.0,2019,1,01-02,Wednesday,12,2019-01-02,Mwh
2019-01-02 13:00:00,119941.0,13056.0,38353.0,11663.0,8343.0,103392.0,133547.0,2048.0,2019,1,01-02,Wednesday,13,2019-01-02,Mwh
2019-01-02 14:00:00,119784.0,11912.0,38503.0,11050.0,8232.0,103375.0,136860.0,2041.0,2019,1,01-02,Wednesday,14,2019-01-02,Mwh
2019-01-02 15:00:00,122915.0,10918.0,38599.0,8143.0,8347.0,103390.0,140344.0,2122.0,2019,1,01-02,Wednesday,15,2019-01-02,Mwh
2019-01-02 16:00:00,122579.0,10867.0,39492.0,2432.0,8035.0,103383.0,137517.0,1991.0,2019,1,01-02,Wednesday,16,2019-01-02,Mwh
2019-01-02 17:00:00,118899.0,11258.0,41015.0,1984.0,7790.0,103401.0,131341.0,1824.0,2019,1,01-02,Wednesday,17,2019-01-02,Mwh
2019-01-02 18:00:00,113688.0,15778.0,39836.0,90.0,7656.0,103376.0,124603.0,1924.0,2019,1,01-02,Wednesday,18,2019-01-02,Mwh
2019-01-02 19:00:00,113024.0,12511.0,37663.0,53.0,7554.0,103439.0,120681.0,1684.0,2019,1,01-02,Wednesday,19,2019-01-02,Mwh
2019-01-02 20:00:00,108037.0,13538.0,35327.0,66.0,7667.0,103331.0,114886.0,1619.0,2019,1,01-02,Wednesday,20,2019-01-02,Mwh
2019-01-02 21:00:00,105117.0,14086.0,32042.0,77.0,7576.0,103376.0,112021.0,1633.0,2019,1,01-02,Wednesday,21,2019-01-02,Mwh
2019-01-02 22:00:00,103373.0,14991.0,28870.0,77.0,7612.0,103353.0,110041.0,1611.0,2019,1,01-02,Wednesday,22,2019-01-02,Mwh
2019-01-02 23:00:00,103778.0,16324.0,27151.0,80.0,7787.0,103412.0,113607.0,1606.0,2019,1,01-02,Wednesday,23,2019-01-02,Mwh
2019-01-03 00:00:00,106578.0,17704.0,27528.0,89.0,8017.0,103564.0,119871.0,1602.0,2019,1,01-03,Thursday,0,2019-01-03,Mwh
2019-01-03 01:00:00,111854.0,19349.0,29471.0,101.0,8266.0,103560.0,130376.0,1735.0,2019,1,01-03,Thursday,1,2019-01-03,Mwh
2019-01-03 02:00:00,117144.0,20333.0,32698.0,269.0,8263.0,103605.0,137003.0,1879.0,2019,1,01-03,Thursday,2,2019-01-03,Mwh
2019-01-03 03:00:00,121035.0,20864.0,35169.0,909.0,8426.0,103556.0,145100.0,1907.0,2019,1,01-03,Thursday,3,2019-01-03,Mwh
2019-01-03 04:00:00,122416.0,20961.0,36961.0,1747.0,8361.0,103587.0,152049.0,1915.0,2019,1,01-03,Thursday,4,2019-01-03,Mwh
2019-01-03 05:00:00,122454.0,21816.0,39141.0,2658.0,8295.0,103566.0,157187.0,1906.0,2019,1,01-03,Thursday,5,2019-01-03,Mwh
2019-01-03 06:00:00,122148.0,22905.0,42387.0,2923.0,8208.0,103553.0,160888.0,1931.0,2019,1,01-03,Thursday,6,2019-01-03,Mwh
2019-01-03 07:00:00,121857.0,22085.0,43150.0,3650.0,8346.0,103520.0,165504.0,1922.0,2019,1,01-03,Thursday,7,2019-01-03,Mwh
2019-01-03 08:00:00,122264.0,20921.0,40390.0,8266.0,8487.0,103543.0,165937.0,1942.0,2019,1,01-03,Thursday,8,2019-01-03,Mwh
2019-01-03 09:00:00,122000.0,20370.0,37709.0,12418.0,8471.0,103519.0,164776.0,2006.0,2019,1,01-03,Thursday,9,2019-01-03,Mwh
2019-01-03 10:00:00,123375.0,19410.0,37160.0,13047.0,8479.0,103536.0,166507.0,2096.0,2019,1,01-03,Thursday,10,2019-01-03,Mwh
2019-01-03 11:00:00,124312.0,18752.0,39889.0,12334.0,8568.0,103584.0,168431.0,2134.0,2019,1,01-03,Thursday,11,2019-01-03,Mwh
2019-01-03 12:00:00,125414.0,19256.0,42866.0,11795.0,8411.0,103655.0,168733.0,2142.0,2019,1,01-03,Thursday,12,2019-01-03,Mwh
2019-01-03 13:00:00,125818.0,19954.0,42281.0,11888.0,8404.0,103684.0,170498.0,2194.0,2019,1,01-03,Thursday,13,2019-01-03,Mwh
2019-01-03 14:00:00,124587.0,20970.0,43643.0,11401.0,8302.0,103693.0,170334.0,2211.0,2019,1,01-03,Thursday,14,2019-01-03,Mwh
2019-01-03 15:00:00,122690.0,21004.0,41138.0,8493.0,8365.0,103583.0,170289.0,2223.0,2019,1,01-03,Thursday,15,2019-01-03,Mwh
2019-01-03 16:00:00,119626.0,21933.0,43612.0,2648.0,8366.0,103542.0,165603.0,2142.0,2019,1,01-03,Thursday,16,2019-01-03,Mwh
2019-01-03 17:00:00,116581.0,22193.0,44094.0,355.0,8321.0,103644.0,157794.0,2018.0,2019,1,01-03,Thursday,17,2019-01-03,Mwh
2019-01-03 18:00:00,112644.0,19968.0,41459.0,222.0,8178.0,103930.0,146516.0,1812.0,2019,1,01-03,Thursday,18,2019-01-03,Mwh
2019-01-03 19:00:00,110027.0,21449.0,39322.0,182.0,8122.0,103934.0,139298.0,1852.0,2019,1,01-03,Thursday,19,2019-01-03,Mwh
2019-01-03 20:00:00,107261.0,21594.0,36626.0,172.0,8035.0,104014.0,131544.0,1792.0,2019,1,01-03,Thursday,20,2019-01-03,Mwh
2019-01-03 21:00:00,104420.0,23083.0,32754.0,173.0,7981.0,104098.0,125811.0,1803.0,2019,1,01-03,Thursday,21,2019-01-03,Mwh
2019-01-03 22:00:00,102093.0,24863.0,29320.0,141.0,7827.0,104095.0,121792.0,1768.0,2019,1,01-03,Thursday,22,2019-01-03,Mwh
2019-01-03 23:00:00,103913.0,26124.0,27681.0,136.0,7844.0,104001.0,121595.0,1849.0,2019,1,01-03,Thursday,23,2019-01-03,Mwh
2019-01-04 00:00:00,106203.0,26370.0,28502.0,116.0,7991.0,103973.0,129435.0,1832.0,2019,1,01-04,Friday,0,2019-01-04,Mwh
2019-01-04 01:00:00,110186.0,26124.0,30995.0,78.0,8181.0,103863.0,140435.0,2028.0,2019,1,01-04,Friday,1,2019-01-04,Mwh
2019-01-04 02:00:00,115334.0,26073.0,33465.0,134.0,8133.0,103814.0,147737.0,2095.0,2019,1,01-04,Friday,2,2019-01-04,Mwh
2019-01-04 03:00:00,118211.0,26468.0,35780.0,458.0,8256.0,103837.0,153020.0,2123.0,2019,1,01-04,Friday,3,2019-01-04,Mwh
2019-01-04 04:00:00,119282.0,26713.0,36703.0,953.0,8246.0,103717.0,158394.0,2113.0,2019,1,01-04,Friday,4,2019-01-04,Mwh
2019-01-04 05:00:00,120618.0,25462.0,37746.0,1706.0,8319.0,103700.0,161627.0,1906.0,2019,1,01-04,Friday,5,2019-01-04,Mwh
2019-01-04 06:00:00,120870.0,23778.0,39525.0,2840.0,8430.0,103666.0,164581.0,1960.0,2019,1,01-04,Friday,6,2019-01-04,Mwh
2019-01-04 07:00:00,118973.0,23806.0,39916.0,4194.0,8452.0,103710.0,164549.0,2007.0,2019,1,01-04,Friday,7,2019-01-04,Mwh
2019-01-04 08:00:00,117106.0,25576.0,38060.0,8904.0,8398.0,103709.0,159622.0,2029.0,2019,1,01-04,Friday,8,2019-01-04,Mwh
2019-01-04 09:00:00,114732.0,26563.0,35895.0,13233.0,8448.0,103757.0,156013.0,2200.0,2019,1,01-04,Friday,9,2019-01-04,Mwh
2019-01-04 10:00:00,113296.0,27649.0,35102.0,14015.0,8435.0,103754.0,154212.0,1517.0,2019,1,01-04,Friday,10,2019-01-04,Mwh
2019-01-04 11:00:00,113284.0,30066.0,37512.0,13442.0,8544.0,103723.0,153476.0,1488.0,2019,1,01-04,Friday,11,2019-01-04,Mwh
2019-01-04 12:00:00,114174.0,32189.0,39418.0,13027.0,8689.0,103733.0,154852.0,1490.0,2019,1,01-04,Friday,12,2019-01-04,Mwh
2019-01-04 13:00:00,115388.0,32988.0,39892.0,12790.0,8620.0,103698.0,158397.0,1478.0,2019,1,01-04,Friday,13,2019-01-04,Mwh
2019-01-04 14:00:00,116121.0,32687.0,39380.0,11483.0,8551.0,103673.0,161502.0,1483.0,2019,1,01-04,Friday,14,2019-01-04,Mwh
2019-01-04 15:00:00,117203.0,32435.0,39087.0,8351.0,8404.0,103364.0,163046.0,1483.0,2019,1,01-04,Friday,15,2019-01-04,Mwh
2019-01-04 16:00:00,116449.0,33929.0,40553.0,2711.0,8320.0,102997.0,158691.0,1484.0,2019,1,01-04,Friday,16,2019-01-04,Mwh
2019-01-04 17:00:00,112655.0,33813.0,41322.0,461.0,8286.0,102990.0,153901.0,1508.0,2019,1,01-04,Friday,17,2019-01-04,Mwh
2019-01-04 18:00:00,110728.0,32604.0,40401.0,335.0,8086.0,102966.0,140203.0,1682.0,2019,1,01-04,Friday,18,2019-01-04,Mwh
2019-01-04 19:00:00,106727.0,32504.0,37427.0,156.0,7934.0,103057.0,135535.0,2117.0,2019,1,01-04,Friday,19,2019-01-04,Mwh
2019-01-04 20:00:00,103939.0,32820.0,34713.0,145.0,7973.0,103080.0,129378.0,1872.0,2019,1,01-04,Friday,20,2019-01-04,Mwh
2019-01-04 21:00:00,99998.0,34392.0,31330.0,96.0,7899.0,103053.0,124973.0,1898.0,2019,1,01-04,Friday,21,2019-01-04,Mwh
2019-01-04 22:00:00,97708.0,36649.0,28515.0,98.0,7880.0,102956.0,122597.0,1778.0,2019,1,01-04,Friday,22,2019-01-04,Mwh
2019-01-04 23:00:00,97168.0,37653.0,27481.0,96.0,7935.0,102994.0,122822.0,1810.0,2019,1,01-04,Friday,23,2019-01-04,Mwh
2019-01-05 00:00:00,101192.0,38141.0,28538.0,21.0,7968.0,103006.0,127401.0,2120.0,2019,1,01-05,Saturday,0,2019-01-05,Mwh
2019-01-05 01:00:00,105838.0,38339.0,30575.0,14.0,8080.0,103043.0,136400.0,2407.0,2019,1,01-05,Saturday,1,2019-01-05,Mwh
2019-01-05 02:00:00,111615.0,36529.0,32418.0,121.0,8073.0,103036.0,145003.0,2462.0,2019,1,01-05,Saturday,2,2019-01-05,Mwh
2019-01-05 03:00:00,117919.0,34137.0,32767.0,448.0,8234.0,103058.0,152248.0,2484.0,2019,1,01-05,Saturday,3,2019-01-05,Mwh
2019-01-05 04:00:00,121235.0,30891.0,33168.0,992.0,8314.0,103155.0,155825.0,2550.0,2019,1,01-05,Saturday,4,2019-01-05,Mwh
2019-01-05 05:00:00,121645.0,27639.0,35747.0,1898.0,8312.0,103178.0,158582.0,2751.0,2019,1,01-05,Saturday,5,2019-01-05,Mwh
2019-01-05 06:00:00,121130.0,22029.0,38186.0,3150.0,8365.0,103142.0,161149.0,2844.0,2019,1,01-05,Saturday,6,2019-01-05,Mwh
2019-01-05 07:00:00,121022.0,16575.0,39370.0,4392.0,8455.0,103104.0,162441.0,3008.0,2019,1,01-05,Saturday,7,2019-01-05,Mwh
2019-01-05 08:00:00,119778.0,13969.0,37932.0,9201.0,8340.0,103077.0,158596.0,2931.0,2019,1,01-05,Saturday,8,2019-01-05,Mwh
2019-01-05 09:00:00,117165.0,13082.0,35953.0,13355.0,8337.0,102977.0,155063.0,2807.0,2019,1,01-05,Saturday,9,2019-01-05,Mwh
2019-01-05 10:00:00,114407.0,12715.0,35289.0,14122.0,8203.0,102944.0,153385.0,2806.0,2019,1,01-05,Saturday,10,2019-01-05,Mwh
2019-01-05 11:00:00,115099.0,12662.0,35827.0,13673.0,8330.0,102971.0,152737.0,2799.0,2019,1,01-05,Saturday,11,2019-01-05,Mwh
2019-01-05 12:00:00,115843.0,13339.0,36162.0,13270.0,8310.0,102971.0,152800.0,2801.0,2019,1,01-05,Saturday,12,2019-01-05,Mwh
2019-01-05 13:00:00,115781.0,14551.0,36219.0,12917.0,8286.0,102937.0,152357.0,2821.0,2019,1,01-05,Saturday,13,2019-01-05,Mwh
2019-01-05 14:00:00,115151.0,16226.0,36642.0,11539.0,8322.0,102980.0,152472.0,2851.0,2019,1,01-05,Saturday,14,2019-01-05,Mwh
2019-01-05 15:00:00,113168.0,20634.0,37898.0,8464.0,8244.0,102966.0,150866.0,2802.0,2019,1,01-05,Saturday,15,2019-01-05,Mwh
2019-01-05 16:00:00,110341.0,23445.0,39820.0,2737.0,8161.0,102803.0,149414.0,2800.0,2019,1,01-05,Saturday,16,2019-01-05,Mwh
2019-01-05 17:00:00,108283.0,25698.0,41351.0,234.0,7874.0,102535.0,144925.0,2809.0,2019,1,01-05,Saturday,17,2019-01-05,Mwh
2019-01-05 18:00:00,105063.0,27469.0,39593.0,142.0,7594.0,103143.0,139053.0,2802.0,2019,1,01-05,Saturday,18,2019-01-05,Mwh
2019-01-05 19:00:00,103844.0,26850.0,36940.0,93.0,7435.0,102604.0,130238.0,2443.0,2019,1,01-05,Saturday,19,2019-01-05,Mwh
2019-01-05 20:00:00,100407.0,26674.0,35489.0,88.0,7277.0,101868.0,125591.0,2185.0,2019,1,01-05,Saturday,20,2019-01-05,Mwh
2019-01-05 21:00:00,96829.0,25893.0,33119.0,100.0,7220.0,101771.0,123707.0,2173.0,2019,1,01-05,Saturday,21,2019-01-05,Mwh
2019-01-05 22:00:00,95569.0,26091.0,32131.0,104.0,6987.0,101810.0,121328.0,2167.0,2019,1,01-05,Saturday,22,2019-01-05,Mwh
2019-01-05 23:00:00,96156.0,25828.0,30542.0,95.0,7207.0,101847.0,120941.0,2172.0,2019,1,01-05,Saturday,23,2019-01-05,Mwh
2019-01-06 00:00:00,97632.0,25527.0,29437.0,36.0,7396.0,101881.0,122061.0,2180.0,2019,1,01-06,Sunday,0,2019-01-06,Mwh
2019-01-06 01:00:00,100691.0,24967.0,29449.0,35.0,7640.0,101909.0,127321.0,2241.0,2019,1,01-06,Sunday,1,2019-01-06,Mwh
2019-01-06 02:00:00,106616.0,23116.0,30636.0,251.0,7681.0,101950.0,132733.0,2413.0,2019,1,01-06,Sunday,2,2019-01-06,Mwh
2019-01-06 03:00:00,111797.0,21730.0,32621.0,1199.0,7724.0,101964.0,138643.0,2550.0,2019,1,01-06,Sunday,3,2019-01-06,Mwh
2019-01-06 04:00:00,115421.0,20847.0,33675.0,2805.0,7732.0,102005.0,142466.0,2560.0,2019,1,01-06,Sunday,4,2019-01-06,Mwh
2019-01-06 05:00:00,115628.0,19850.0,34213.0,4488.0,7622.0,101976.0,142495.0,2444.0,2019,1,01-06,Sunday,5,2019-01-06,Mwh
2019-01-06 06:00:00,114328.0,18071.0,35276.0,5844.0,7461.0,101914.0,139279.0,2244.0,2019,1,01-06,Sunday,6,2019-01-06,Mwh
2019-01-06 07:00:00,110770.0,15945.0,34082.0,6750.0,7660.0,101902.0,137425.0,2162.0,2019,1,01-06,Sunday,7,2019-01-06,Mwh
2019-01-06 08:00:00,107607.0,15675.0,32797.0,8237.0,7805.0,101965.0,134186.0,2147.0,2019,1,01-06,Sunday,8,2019-01-06,Mwh
2019-01-06 09:00:00,104748.0,17743.0,32605.0,8935.0,7923.0,101923.0,129198.0,2163.0,2019,1,01-06,Sunday,9,2019-01-06,Mwh
2019-01-06 10:00:00,101726.0,20288.0,32365.0,8873.0,8105.0,101904.0,125752.0,2151.0,2019,1,01-06,Sunday,10,2019-01-06,Mwh
2019-01-06 11:00:00,102336.0,21742.0,35450.0,7283.0,8138.0,101993.0,127568.0,2166.0,2019,1,01-06,Sunday,11,2019-01-06,Mwh
2019-01-06 12:00:00,104473.0,24360.0,36668.0,5991.0,8020.0,102064.0,127602.0,2191.0,2019,1,01-06,Sunday,12,2019-01-06,Mwh
2019-01-06 13:00:00,106776.0,26742.0,36493.0,3636.0,8219.0,102146.0,130440.0,2207.0,2019,1,01-06,Sunday,13,2019-01-06,Mwh
2019-01-06 14:00:00,107890.0,30145.0,37115.0,1895.0,8310.0,101935.0,131249.0,2192.0,2019,1,01-06,Sunday,14,2019-01-06,Mwh
2019-01-06 15:00:00,106658.0,36862.0,38744.0,880.0,8189.0,101683.0,127734.0,2200.0,2019,1,01-06,Sunday,15,2019-01-06,Mwh
2019-01-06 16:00:00,104135.0,42094.0,40239.0,238.0,8010.0,101285.0,121895.0,2205.0,2019,1,01-06,Sunday,16,2019-01-06,Mwh
2019-01-06 17:00:00,100524.0,45854.0,41289.0,206.0,7811.0,100642.0,115172.0,2207.0,2019,1,01-06,Sunday,17,2019-01-06,Mwh
2019-01-06 18:00:00,97858.0,45540.0,38900.0,88.0,7687.0,101514.0,112183.0,2318.0,2019,1,01-06,Sunday,18,2019-01-06,Mwh
2019-01-06 19:00:00,95971.0,45897.0,36304.0,84.0,7683.0,101193.0,104984.0,2208.0,2019,1,01-06,Sunday,19,2019-01-06,Mwh
2019-01-06 20:00:00,92232.0,45016.0,34571.0,57.0,7636.0,101348.0,102235.0,2207.0,2019,1,01-06,Sunday,20,2019-01-06,Mwh
2019-01-06 21:00:00,89818.0,44041.0,33355.0,58.0,7558.0,101292.0,100539.0,2211.0,2019,1,01-06,Sunday,21,2019-01-06,Mwh
2019-01-06 22:00:00,88973.0,43826.0,31261.0,56.0,7535.0,101157.0,99744.0,2218.0,2019,1,01-06,Sunday,22,2019-01-06,Mwh
2019-01-06 23:00:00,88543.0,44863.0,29190.0,48.0,7735.0,101224.0,98200.0,2217.0,2019,1,01-06,Sunday,23,2019-01-06,Mwh
2019-01-07 00:00:00,89312.0,46968.0,28364.0,30.0,7858.0,101302.0,97832.0,2223.0,2019,1,01-07,Monday,0,2019-01-07,Mwh
2019-01-07 01:00:00,90644.0,50197.0,28499.0,48.0,7932.0,101405.0,98887.0,2221.0,2019,1,01-07,Monday,1,2019-01-07,Mwh
2019-01-07 02:00:00,92569.0,53350.0,29245.0,360.0,7922.0,101532.0,101786.0,2255.0,2019,1,01-07,Monday,2,2019-01-07,Mwh
2019-01-07 03:00:00,94349.0,54896.0,31513.0,1712.0,7939.0,101612.0,104883.0,2233.0,2019,1,01-07,Monday,3,2019-01-07,Mwh
2019-01-07 04:00:00,95744.0,56437.0,31461.0,3472.0,7996.0,101531.0,105862.0,2281.0,2019,1,01-07,Monday,4,2019-01-07,Mwh
2019-01-07 05:00:00,93611.0,56951.0,31776.0,4947.0,8281.0,101609.0,104420.0,2223.0,2019,1,01-07,Monday,5,2019-01-07,Mwh
2019-01-07 06:00:00,92462.0,55995.0,31149.0,5864.0,8204.0,101716.0,102286.0,2221.0,2019,1,01-07,Monday,6,2019-01-07,Mwh
2019-01-07 07:00:00,89367.0,55982.0,31092.0,6201.0,8055.0,101792.0,100075.0,2219.0,2019,1,01-07,Monday,7,2019-01-07,Mwh
2019-01-07 08:00:00,87194.0,57520.0,31269.0,8454.0,7915.0,101817.0,97066.0,2165.0,2019,1,01-07,Monday,8,2019-01-07,Mwh
2019-01-07 09:00:00,84685.0,57916.0,30463.0,10616.0,7826.0,101833.0,97230.0,2141.0,2019,1,01-07,Monday,9,2019-01-07,Mwh
2019-01-07 10:00:00,85039.0,57616.0,29900.0,12073.0,7839.0,101921.0,99954.0,2145.0,2019,1,01-07,Monday,10,2019-01-07,Mwh
2019-01-07 11:00:00,87567.0,58241.0,32367.0,10270.0,8051.0,101960.0,104121.0,2157.0,2019,1,01-07,Monday,11,2019-01-07,Mwh
2019-01-07 12:00:00,93603.0,58333.0,34021.0,8453.0,8119.0,102025.0,109847.0,2255.0,2019,1,01-07,Monday,12,2019-01-07,Mwh
2019-01-07 13:00:00,97181.0,58735.0,35409.0,7730.0,8164.0,101947.0,111543.0,2263.0,2019,1,01-07,Monday,13,2019-01-07,Mwh
2019-01-07 14:00:00,98686.0,60020.0,36534.0,7470.0,8193.0,101977.0,113137.0,2257.0,2019,1,01-07,Monday,14,2019-01-07,Mwh
2019-01-07 15:00:00,98095.0,60654.0,37827.0,5641.0,8193.0,102077.0,114356.0,2209.0,2019,1,01-07,Monday,15,2019-01-07,Mwh
2019-01-07 16:00:00,96465.0,60596.0,39798.0,1794.0,8045.0,102064.0,112895.0,2210.0,2019,1,01-07,Monday,16,2019-01-07,Mwh
2019-01-07 17:00:00,92205.0,60961.0,40877.0,87.0,7814.0,102243.0,109438.0,2202.0,2019,1,01-07,Monday,17,2019-01-07,Mwh
