datetime,Coal,region,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2021-10-01 00:00:00,2764,FLA,23,35,2599,0,3095,28461
2021-10-01 01:00:00,2737,FLA,23,0,2573,0,3110,26962
2021-10-01 02:00:00,2844,FLA,23,0,2563,0,3126,24505
2021-10-01 03:00:00,2735,FLA,23,0,2559,0,3131,21440
2021-10-01 04:00:00,2610,FLA,24,0,2469,0,3134,18974
2021-10-01 05:00:00,2503,FLA,23,0,2408,0,3136,16518
2021-10-01 06:00:00,2328,FLA,23,-1,2352,0,3141,14990
2021-10-01 07:00:00,2155,FLA,23,0,2313,0,3143,13725
2021-10-01 08:00:00,2058,FLA,24,0,2289,0,3169,13368
2021-10-01 09:00:00,2040,FLA,22,0,2313,0,3229,13343
2021-10-01 10:00:00,2136,FLA,23,29,2372,0,3252,13755
2021-10-01 11:00:00,2373,FLA,22,28,2454,0,3289,15540
2021-10-01 12:00:00,2536,FLA,23,99,2446,0,3316,16177
2021-10-01 13:00:00,2569,FLA,22,976,2525,0,3343,16428
2021-10-01 14:00:00,2800,FLA,23,2163,2631,0,3367,16747
2021-10-01 15:00:00,3053,FLA,21,2666,2619,0,3400,18663
2021-10-01 16:00:00,3024,FLA,21,2883,2812,0,3430,20688
2021-10-01 17:00:00,3214,FLA,20,3018,3052,0,3460,21860
2021-10-01 18:00:00,3476,FLA,20,3021,3047,0,3480,23390
2021-10-01 19:00:00,3433,FLA,20,2976,3052,0,3482,24482
2021-10-01 20:00:00,3549,FLA,20,2500,3046,0,3488,25480
2021-10-01 21:00:00,3790,FLA,20,1923,3014,0,3520,25711
2021-10-01 22:00:00,3812,FLA,21,1316,2946,0,3551,25550
2021-10-01 23:00:00,3614,FLA,21,350,2849,0,3578,25235
2021-10-02 00:00:00,3288,FLA,21,36,2739,0,3603,24710
2021-10-02 01:00:00,3212,FLA,21,29,2701,0,3632,23384
2021-10-02 02:00:00,3188,FLA,21,29,2674,0,3659,21494
2021-10-02 03:00:00,3115,FLA,21,29,2666,0,3671,19530
2021-10-02 04:00:00,3073,FLA,21,2031,2322,0,2793,13717
2021-10-02 05:00:00,2828,FLA,21,0,1875,0,3701,16129
2021-10-02 06:00:00,2552,FLA,21,0,1818,0,3704,15030
2021-10-02 07:00:00,2347,FLA,21,0,1778,0,3704,13807
2021-10-02 08:00:00,2221,FLA,21,0,1747,0,3705,13460
2021-10-02 09:00:00,2140,FLA,21,0,1753,0,3704,13231
2021-10-02 10:00:00,2151,FLA,21,0,1756,0,3709,13251
2021-10-02 11:00:00,2161,FLA,21,0,1908,0,3712,13548
2021-10-02 12:00:00,2345,FLA,21,67,2091,0,3717,14005
2021-10-02 13:00:00,2632,FLA,21,1105,2641,0,3733,14631
2021-10-02 14:00:00,3124,FLA,21,2466,2724,12,3738,16011
2021-10-02 15:00:00,3277,FLA,21,3031,2741,0,3732,18238
2021-10-02 16:00:00,3403,FLA,20,3206,2776,0,3730,20240
2021-10-02 17:00:00,3446,FLA,22,3276,2742,0,3728,21764
2021-10-02 18:00:00,3461,FLA,21,3346,2759,0,3713,23722
2021-10-02 19:00:00,3748,FLA,22,3207,2766,0,3694,24738
2021-10-02 20:00:00,3864,FLA,23,3020,2767,0,3694,25491
2021-10-02 21:00:00,3870,FLA,22,2636,2744,0,3689,26059
2021-10-02 22:00:00,3765,FLA,24,1798,2772,0,3696,26180
2021-10-02 23:00:00,3637,FLA,22,436,2769,0,3694,26105
2021-10-03 00:00:00,3572,FLA,22,2034,2738,0,2802,22838
2021-10-03 01:00:00,3426,FLA,23,2031,2690,1,2803,17492
2021-10-03 02:00:00,3258,FLA,22,2031,2713,22,2804,19552
2021-10-03 03:00:00,3260,FLA,24,2031,2681,0,2808,15523
2021-10-03 04:00:00,3176,FLA,23,2031,2604,0,2808,13409
2021-10-03 05:00:00,2776,FLA,23,0,2403,0,3701,15128
2021-10-03 06:00:00,2456,FLA,24,0,2359,0,3706,13746
2021-10-03 07:00:00,2261,FLA,23,0,2216,0,3708,13078
2021-10-03 08:00:00,2077,FLA,23,0,2182,0,3712,12171
2021-10-03 09:00:00,2032,FLA,24,0,2099,0,3711,12055
2021-10-03 10:00:00,2013,FLA,23,0,2100,0,3712,11733
2021-10-03 11:00:00,2080,FLA,23,0,2277,0,3712,11937
2021-10-03 12:00:00,2253,FLA,23,77,2446,0,3710,12144
2021-10-03 13:00:00,2488,FLA,24,1078,2711,0,3711,12972
2021-10-03 14:00:00,2943,FLA,23,2321,2970,0,3713,14658
2021-10-03 15:00:00,3166,FLA,23,2682,3137,0,3713,16711
2021-10-03 16:00:00,3335,FLA,23,3252,3124,0,3708,18638
2021-10-03 17:00:00,3452,FLA,24,3105,3104,0,3710,20592
2021-10-03 18:00:00,3620,FLA,21,3091,3115,0,3703,22332
2021-10-03 19:00:00,3600,FLA,21,2883,3108,0,3705,23715
2021-10-03 20:00:00,3625,FLA,20,2721,2871,0,3697,24586
2021-10-03 21:00:00,3636,FLA,21,2096,2682,0,3692,25178
2021-10-03 22:00:00,3542,FLA,27,1021,2690,0,3694,26074
2021-10-03 23:00:00,3398,FLA,22,208,2720,0,3690,25606
2021-10-04 00:00:00,3304,FLA,22,33,2727,0,3690,25172
2021-10-04 01:00:00,3328,FLA,21,0,2754,0,3694,23736
2021-10-04 02:00:00,3332,FLA,21,0,2708,0,3691,21393
2021-10-04 03:00:00,3164,FLA,22,0,2633,0,3693,18852
2021-10-04 04:00:00,3095,FLA,21,0,2545,0,3697,16190
2021-10-04 05:00:00,2709,FLA,21,0,2394,0,3701,14813
2021-10-04 06:00:00,2340,FLA,22,0,2291,0,3697,13297
2021-10-04 07:00:00,2101,FLA,21,0,2099,0,3700,12551
2021-10-04 08:00:00,2030,FLA,21,0,1971,0,3712,12463
2021-10-04 09:00:00,2039,FLA,22,0,1990,0,3714,12511
2021-10-04 10:00:00,2210,FLA,21,26,2251,0,3742,12993
2021-10-04 11:00:00,2538,FLA,21,26,2531,0,3735,14311
2021-10-04 12:00:00,2880,FLA,22,89,2559,0,3741,14807
2021-10-04 13:00:00,3069,FLA,21,1061,2884,0,3779,14992
2021-10-04 14:00:00,3365,FLA,21,2354,3313,22,3789,15219
2021-10-04 15:00:00,3589,FLA,22,2874,3434,0,3809,17335
2021-10-04 16:00:00,3664,FLA,22,3280,3449,0,3801,19520
2021-10-04 17:00:00,3860,FLA,21,3315,3436,2,3812,21251
2021-10-04 18:00:00,3828,FLA,25,3246,3437,5,3811,23599
2021-10-04 19:00:00,3858,FLA,25,3144,3395,21,3807,25000
2021-10-04 20:00:00,4041,FLA,24,2890,3378,0,3819,25960
2021-10-04 21:00:00,4170,FLA,25,2393,3374,0,3817,26824
2021-10-04 22:00:00,3665,FLA,27,1662,3356,0,3817,27192
2021-10-04 23:00:00,3285,FLA,25,394,3371,0,3821,27210
2021-10-05 00:00:00,3566,FLA,24,34,3032,0,3828,27045
2021-10-05 01:00:00,3556,FLA,25,31,3040,0,3826,25044
2021-10-05 02:00:00,3607,FLA,24,0,2955,0,3835,22771
2021-10-05 03:00:00,3493,FLA,25,0,2741,0,3833,20248
2021-10-05 04:00:00,3370,FLA,24,0,2496,0,3840,17588
2021-10-05 05:00:00,3075,FLA,26,0,2402,0,3838,15531
2021-10-05 06:00:00,2701,FLA,27,0,2333,0,3841,14457
2021-10-05 07:00:00,2455,FLA,27,0,2311,0,3843,13258
2021-10-05 08:00:00,2375,FLA,27,0,2295,0,3846,12870
2021-10-05 09:00:00,2413,FLA,27,0,2342,0,3845,12409
2021-10-05 10:00:00,2739,FLA,26,28,2431,0,3849,12985
2021-10-05 11:00:00,3145,FLA,26,30,2594,0,3840,14394
2021-10-05 12:00:00,3247,FLA,27,89,2634,0,3836,15222
2021-10-05 13:00:00,3302,FLA,26,730,2787,0,3839,15735
2021-10-05 14:00:00,3694,FLA,26,1746,2954,0,3838,16410
2021-10-05 15:00:00,3800,FLA,25,2476,3040,4,3834,18498
2021-10-05 16:00:00,3895,FLA,25,2724,3048,0,3840,20591
2021-10-05 17:00:00,3896,FLA,23,2790,3020,0,3839,23249
2021-10-05 18:00:00,3837,FLA,23,2739,3021,0,3844,25202
2021-10-05 19:00:00,3968,FLA,22,2427,3051,0,3836,26485
2021-10-05 20:00:00,3996,FLA,22,2434,3063,0,3832,26945
2021-10-05 21:00:00,4034,FLA,21,1929,3053,3,3829,27896
2021-10-05 22:00:00,3951,FLA,18,973,3075,0,3831,28353
2021-10-05 23:00:00,3617,FLA,18,159,3022,0,3828,27847
2021-10-06 00:00:00,3619,FLA,17,36,3009,0,3825,27138
2021-10-06 01:00:00,3534,FLA,16,-1,3044,0,3829,25963
2021-10-06 02:00:00,3453,FLA,16,0,2951,0,3828,24008
2021-10-06 03:00:00,3293,FLA,15,0,2731,0,3827,21420
