"year","month","unit","coal","gas","oil","nuclear","hydro","wind","solar","other","fossil","low.carbon","total.prod","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2017,1,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,2,"GWh",365410.665290323,15234.1966451613,812.563612903226,19020.2229677419,70328.6694193548,26525.0385806452,9859.43587096774,6480.69483870968,381457.425548387,132214.061677419,513671.487225807,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,3,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,4,"GWh",391511.427096774,16322.3535483871,870.603870967742,20378.8103225806,75352.1458064516,28419.6841935484,10563.6812903226,6943.60161290323,408704.384516129,141657.923225806,550362.307741936,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,5,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,6,"GWh",391511.427096774,16322.3535483871,870.603870967742,20378.8103225806,75352.1458064516,28419.6841935484,10563.6812903226,6943.60161290323,408704.384516129,141657.923225806,550362.307741936,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,7,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,8,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,9,"GWh",391511.427096774,16322.3535483871,870.603870967742,20378.8103225806,75352.1458064516,28419.6841935484,10563.6812903226,6943.60161290323,408704.384516129,141657.923225806,550362.307741936,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,10,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,11,"GWh",391511.427096774,16322.3535483871,870.603870967742,20378.8103225806,75352.1458064516,28419.6841935484,10563.6812903226,6943.60161290323,408704.384516129,141657.923225806,550362.307741936,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
2017,12,"GWh",404561.808,16866.432,899.624,21058.104,77863.884,29367.007,10915.804,7175.055,422327.864,146379.854,568707.718,0.711370349294257,0.0296574698499168,0.00158187408316481,0.0370279905362564,0.136913710743767,0.0516381369032168,0.0191940493411767,0.0126164192482438,0.742609693227339,0.257390306772661
