datetime,type,data
2022-06-26 21:00:00,coal,730.1
2022-06-26 21:00:00,gas,625.5
2022-06-26 21:00:00,oil,0.0
2022-06-26 21:00:00,other,9.615
2022-06-26 21:00:00,solar,0.0
2022-06-26 21:00:00,wind,166.3
2022-06-26 22:00:00,coal,662.25
2022-06-26 22:00:00,gas,570.75
2022-06-26 22:00:00,oil,0.0
2022-06-26 22:00:00,other,9.4535
2022-06-26 22:00:00,solar,0.0
2022-06-26 22:00:00,wind,179.2
2022-06-26 23:00:00,coal,577.8
2022-06-26 23:00:00,gas,494.975
2022-06-26 23:00:00,oil,0.0
2022-06-26 23:00:00,other,9.486
2022-06-26 23:00:00,solar,0.0
2022-06-26 23:00:00,wind,272.75
2022-06-27 00:00:00,coal,4427.195
2022-06-27 00:00:00,gas,240.29913157894737
2022-06-27 00:00:00,hydro,493.03
2022-06-27 00:00:00,oil,1.975
2022-06-27 00:00:00,other,123.5677
2022-06-27 00:00:00,solar,0.0
2022-06-27 00:00:00,wind,425.975
2022-06-27 01:00:00,coal,4532.705263157895
2022-06-27 01:00:00,gas,213.7140405405405
2022-06-27 01:00:00,hydro,471.5897916666667
2022-06-27 01:00:00,oil,17.245285714285714
2022-06-27 01:00:00,other,129.3492105263158
2022-06-27 01:00:00,solar,0.0
2022-06-27 01:00:00,wind,415.0338709677419
2022-06-27 02:00:00,coal,4439.734210526316
2022-06-27 02:00:00,gas,199.2011648648649
2022-06-27 02:00:00,hydro,386.7870833333333
2022-06-27 02:00:00,oil,7.091571428571428
2022-06-27 02:00:00,other,129.5262105263158
2022-06-27 02:00:00,solar,0.0
2022-06-27 02:00:00,wind,417.9274193548387
2022-06-27 03:00:00,coal,4347.073684210526
2022-06-27 03:00:00,gas,193.75097027027027
2022-06-27 03:00:00,hydro,362.920625
2022-06-27 03:00:00,oil,0.0
2022-06-27 03:00:00,other,129.4653157894737
2022-06-27 03:00:00,solar,0.0
2022-06-27 03:00:00,wind,422.6403225806452
2022-06-27 04:00:00,coal,4371.11052631579
2022-06-27 04:00:00,gas,182.5993405405405
2022-06-27 04:00:00,hydro,384.3335416666666
