datetime,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],year,month,month_date,weekday,hour,date
2021-01-01 00:00:00,362.0,,,5696.0,9.0,177.0,,,,666.0,117.118,4883.0,1580.0,,50469.0,,,0.0,232.0,,1141.0,2021,1,01-01,Friday,0,2021-01-01
2021-01-01 01:00:00,365.0,,,5292.0,9.0,198.0,,,,630.0,120.412,4844.0,1107.0,,50378.0,,,0.0,247.0,,1082.0,2021,1,01-01,Friday,1,2021-01-01
2021-01-01 02:00:00,365.0,,,4265.0,9.0,207.0,,,,574.0,123.706,4723.0,901.0,,49465.0,,,0.0,251.0,,1075.0,2021,1,01-01,Friday,2,2021-01-01
2021-01-01 03:00:00,364.0,,,3876.0,9.0,206.0,,,,574.75,127.0,4516.0,802.0,,48294.0,,,0.0,256.0,,1086.0,2021,1,01-01,Friday,3,2021-01-01
2021-01-01 04:00:00,364.0,,,3610.0,9.0,207.0,,,,575.5,1290.0,4442.0,937.0,,48380.0,,,0.0,253.0,,1149.0,2021,1,01-01,Friday,4,2021-01-01
2021-01-01 05:00:00,364.0,,,3472.0,9.0,207.0,,,,576.25,1623.0,4212.0,1000.0,,48560.0,,,0.0,251.0,,1170.0,2021,1,01-01,Friday,5,2021-01-01
2021-01-01 06:00:00,361.0,,,3464.0,9.0,207.0,,,,577.0,2512.0,4138.0,669.0,,48534.0,,,0.0,247.0,,1190.0,2021,1,01-01,Friday,6,2021-01-01
2021-01-01 07:00:00,361.0,,,3489.0,9.0,207.0,,,,577.75,2653.0,4255.0,814.0,,48558.0,,,0.0,248.0,,1261.0,2021,1,01-01,Friday,7,2021-01-01
2021-01-01 08:00:00,365.0,,,3553.0,9.0,207.0,,,,578.5,2562.0,4446.0,1488.0,,48677.0,,,0.0,245.0,,1275.0,2021,1,01-01,Friday,8,2021-01-01
2021-01-01 09:00:00,363.0,,,3547.0,9.0,206.0,,,,579.25,2530.0,4484.0,690.0,,49538.0,,,179.0,247.0,,1323.0,2021,1,01-01,Friday,9,2021-01-01
