INTERVAL,M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
0,2020-01-01T00:00:00+03:00,24179.12109375,15761.59375,43624.81884765625,9564.877807617188,0.0
1,2020-01-01T00:00:00+03:00,23876.0,15050.93310546875,43135.2568359375,9561.948120117188,0.0
2,2020-01-01T00:00:00+03:00,23568.0,14004.68798828125,42782.1943359375,9548.498901367188,0.0
3,2020-01-01T00:00:00+03:00,23561.0,12999.34521484375,42561.5556640625,9553.791015625,0.1599999964237213
4,2020-01-01T00:00:00+03:00,23560.0,12913.733642578125,42188.86083984375,9527.10302734375,2.259999990463257
5,2020-01-01T00:00:00+03:00,23555.0,13743.5087890625,41909.54931640625,9525.116821289062,7.900000095367432
6,2020-01-01T00:00:00+03:00,23561.12109375,13768.15478515625,41988.5458984375,9536.926879882812,16.469999313354492
7,2020-01-01T00:00:00+03:00,23559.12109375,14244.085205078125,42714.654296875,9521.930786132812,24.300000429153442
8,2020-01-01T00:00:00+03:00,23544.12109375,14527.13623046875,42786.8603515625,9525.412841796875,48.920000076293945
9,2020-01-01T00:00:00+03:00,23535.0,15735.85693359375,42618.5009765625,9535.093017578125,94.75000190734863
10,2020-01-01T00:00:00+03:00,23528.0,16982.61181640625,42752.7470703125,9508.289794921875,128.80000019073486
11,2020-01-01T00:00:00+03:00,23530.0,17751.39794921875,42787.447265625,9528.302001953125,106.01999711990356
12,2020-01-01T00:00:00+03:00,23530.0,18889.8994140625,42658.31201171875,9534.900756835938,99.45000153779984
13,2020-01-01T00:00:00+03:00,23532.0,19444.53271484375,42906.22607421875,9545.105834960938,96.25
14,2020-01-01T00:00:00+03:00,23541.0,20032.33740234375,43041.52490234375,9537.257202148438,39.25
15,2020-01-01T00:00:00+03:00,23538.0,21554.0244140625,43308.99853515625,9555.733764648438,7.300000190734863
16,2020-01-01T00:00:00+03:00,23541.0,23942.35546875,43484.49267578125,9554.168212890625,0.0
17,2020-01-01T00:00:00+03:00,23551.0,24701.4072265625,43935.32373046875,9554.831298828125,0.0
18,2020-01-01T00:00:00+03:00,23546.0,23994.484375,43665.0400390625,9573.001586914062,0.0
19,2020-01-01T00:00:00+03:00,23537.0,22287.9423828125,43678.7626953125,9573.195922851562,0.0
20,2020-01-01T00:00:00+03:00,23538.0,21620.4580078125,43133.44482421875,9644.001586914062,0.0
21,2020-01-01T00:00:00+03:00,23537.0,21402.421875,42829.62890625,9619.544921875,0.0
22,2020-01-01T00:00:00+03:00,23535.0,19054.75732421875,42567.76416015625,9609.5498046875,0.0
23,2020-01-01T00:00:00+03:00,23526.384765625,17995.3759765625,41808.44287109375,9585.921875,0.0
0,2020-01-02T00:00:00+03:00,23579.12109375,13535.53955078125,43244.955078125,9546.22412109375,0.0
1,2020-01-02T00:00:00+03:00,23567.0,12654.708984375,42173.9111328125,9542.18603515625,0.0
2,2020-01-02T00:00:00+03:00,23567.0,12735.7646484375,41483.892578125,9521.8369140625,0.0
3,2020-01-02T00:00:00+03:00,23585.12109375,12768.02099609375,41333.56494140625,9518.31787109375,0.1599999964237213
4,2020-01-02T00:00:00+03:00,23583.12109375,13289.43310546875,41165.16943359375,9516.01806640625,2.2100000381469727
5,2020-01-02T00:00:00+03:00,23583.12109375,14142.43115234375,42580.72216796875,9525.81787109375,7.599999904632568
6,2020-01-02T00:00:00+03:00,23577.12109375,15052.76611328125,43216.40966796875,9556.2177734375,15.920000076293945
7,2020-01-02T00:00:00+03:00,23585.12109375,16257.71826171875,43976.28173828125,9557.51904296875,24.34999918937683
8,2020-01-02T00:00:00+03:00,23582.12109375,17654.16845703125,44969.93115234375,9562.157836914062,57.92000198364258
9,2020-01-02T00:00:00+03:00,23577.0,18992.3642578125,45552.9794921875,9545.447875976562,106.49042892456055
10,2020-01-02T00:00:00+03:00,23639.51953125,19879.26220703125,45561.583984375,9561.268188476562,126.84018421173096
11,2020-01-02T00:00:00+03:00,23633.0,19932.1572265625,45390.4111328125,9581.767822265625,84.81999826431274
12,2020-01-02T00:00:00+03:00,23645.12109375,20490.8857421875,45403.244140625,9575.198486328125,89.39999842643738
13,2020-01-02T00:00:00+03:00,23641.0,20739.22607421875,45490.408203125,9581.878173828125,66.25
14,2020-01-02T00:00:00+03:00,23641.0,21045.6787109375,45440.98876953125,9558.427978515625,35.849998474121094
