INTERVAL,M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
0,2016-01-01T00:00:00+03:00,23284.0,11776.35009765625,43087.4990234375,8666.314208984375,
1,2016-01-01T00:00:00+03:00,22634.0,11545.35009765625,42530.1572265625,8673.114013671875,
2,2016-01-01T00:00:00+03:00,22134.0,10119.921142578125,42717.1748046875,8692.913818359375,
3,2016-01-01T00:00:00+03:00,22034.0,9425.050048828125,42449.3759765625,8693.114013671875,
4,2016-01-01T00:00:00+03:00,21931.0,9386.050048828125,42050.2880859375,8684.314208984375,
5,2016-01-01T00:00:00+03:00,21931.0,9570.328857421875,42054.544921875,8683.814208984375,
6,2016-01-01T00:00:00+03:00,21931.0,9860.299072265625,42101.0361328125,8674.013916015625,
7,2016-01-01T00:00:00+03:00,21930.0,10101.282592773438,42195.6162109375,8689.683837890625,
8,2016-01-01T00:00:00+03:00,21926.798828125,10445.13720703125,42449.58203125,8699.984130859375,
9,2016-01-01T00:00:00+03:00,21917.0,11542.427978515625,42404.0283203125,8701.884033203125,
10,2016-01-01T00:00:00+03:00,21915.0,11938.136962890625,42756.4599609375,8720.884033203125,
11,2016-01-01T00:00:00+03:00,21915.0,12403.933837890625,43295.5380859375,8718.084228515625,
12,2016-01-01T00:00:00+03:00,21905.0,13051.20947265625,43521.5234375,8728.084228515625,
13,2016-01-01T00:00:00+03:00,21905.0,13685.81787109375,43906.2783203125,8728.084228515625,
14,2016-01-01T00:00:00+03:00,21938.0,14098.208984375,44466.880859375,8728.084228515625,
15,2016-01-01T00:00:00+03:00,21938.0,15243.36279296875,44626.556640625,8728.084228515625,
16,2016-01-01T00:00:00+03:00,21936.0,17790.63720703125,44858.537109375,8728.084228515625,
17,2016-01-01T00:00:00+03:00,21936.0078125,18872.6796875,44835.6396484375,8728.584228515625,
18,2016-01-01T00:00:00+03:00,21933.0,18460.0556640625,44720.5419921875,8738.183837890625,
19,2016-01-01T00:00:00+03:00,21933.0,17200.1318359375,44651.7138671875,8739.183837890625,
20,2016-01-01T00:00:00+03:00,21931.0,16779.38330078125,44153.0048828125,8741.183837890625,
21,2016-01-01T00:00:00+03:00,21931.0,14956.939453125,44058.1396484375,8743.484130859375,
22,2016-01-01T00:00:00+03:00,21937.0,13243.73779296875,44220.3271484375,8758.984130859375,
23,2016-01-01T00:00:00+03:00,21931.0,11802.253173828125,42977.880859375,8728.714111328125,
0,2016-01-02T00:00:00+03:00,21934.0,9857.64990234375,42789.2265625,8666.18115234375,
1,2016-01-02T00:00:00+03:00,21934.0,9432.650024414062,42004.37109375,8666.18115234375,
2,2016-01-02T00:00:00+03:00,21934.0,9251.650024414062,41652.7802734375,8698.18115234375,
3,2016-01-02T00:00:00+03:00,21934.0,9421.650024414062,41516.3154296875,8698.18115234375,
4,2016-01-02T00:00:00+03:00,21934.0,9726.374145507812,41577.310546875,8685.18115234375,
5,2016-01-02T00:00:00+03:00,21934.0,10324.016235351562,42080.880859375,8685.0810546875,
6,2016-01-02T00:00:00+03:00,21934.0,10758.84619140625,42774.0107421875,8686.0810546875,
7,2016-01-02T00:00:00+03:00,22034.0,12156.57177734375,42837.6640625,8701.7509765625,
8,2016-01-02T00:00:00+03:00,22152.0,12258.720947265625,44196.7197265625,8701.2509765625,
9,2016-01-02T00:00:00+03:00,22204.0,13102.6728515625,45105.2119140625,8703.15087890625,
10,2016-01-02T00:00:00+03:00,22254.0,13591.265625,45240.51953125,8683.15087890625,
11,2016-01-02T00:00:00+03:00,22289.0,14596.525390625,45325.5634765625,8680.35107421875,
12,2016-01-02T00:00:00+03:00,22329.0,14360.55908203125,45662.0166015625,8657.251098632812,
