INTERVAL,M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
0,2021-01-01T00:00:00+03:00,25029.041015625,16191.4091796875,68678.62109375,10732.26318359375,0.0
1,2021-01-01T00:00:00+03:00,24414.0,16022.32373046875,67769.9580078125,10781.41162109375,0.0
2,2021-01-01T00:00:00+03:00,23919.0,14945.19873046875,68581.93359375,10782.41259765625,0.0
3,2021-01-01T00:00:00+03:00,23764.041015625,14724.624755859375,67935.755859375,10753.56201171875,0.5
4,2021-01-01T00:00:00+03:00,23764.041015625,15014.489013671875,67721.052734375,10750.41162109375,5.199999809265137
5,2021-01-01T00:00:00+03:00,23758.0,15105.401611328125,67783.5185546875,10750.61279296875,17.350000381469727
6,2021-01-01T00:00:00+03:00,23758.0,15646.939697265625,67743.794921875,10779.96240234375,32.0
7,2021-01-01T00:00:00+03:00,23747.041015625,15337.094970703125,68091.40234375,10752.92236328125,189.29839324951172
8,2021-01-01T00:00:00+03:00,23746.041015625,15716.804931640625,68665.2197265625,10754.56201171875,239.35000610351562
9,2021-01-01T00:00:00+03:00,23715.0,16204.372802734375,69141.1494140625,10736.37158203125,308.69998931884766
10,2021-01-01T00:00:00+03:00,23746.77734375,17435.3564453125,69595.39453125,10783.08154296875,300.3504276275635
11,2021-01-01T00:00:00+03:00,23745.49609375,17889.4697265625,70252.2890625,10818.42333984375,281.1624937057495
12,2021-01-01T00:00:00+03:00,23744.80859375,18436.15625,70763.7890625,10852.13232421875,225.10191345214844
13,2021-01-01T00:00:00+03:00,23752.041015625,19364.34521484375,71181.8349609375,10834.24169921875,150.53616333007812
14,2021-01-01T00:00:00+03:00,23752.197265625,19599.28125,71365.6005859375,10843.52197265625,107.75
15,2021-01-01T00:00:00+03:00,23752.0,20767.4462890625,71874.0419921875,10839.23193359375,18.549999237060547
16,2021-01-01T00:00:00+03:00,23756.60546875,22782.4375,72199.0625,10819.70166015625,0.0
17,2021-01-01T00:00:00+03:00,23752.0,23645.228515625,71985.2685546875,10813.12158203125,0.0
18,2021-01-01T00:00:00+03:00,23747.0,21926.3232421875,71940.3017578125,10826.27197265625,0.0
19,2021-01-01T00:00:00+03:00,23748.0,20771.58984375,71771.951171875,10803.62158203125,0.0
20,2021-01-01T00:00:00+03:00,23748.0,20332.0146484375,70940.7646484375,10808.87451171875,0.0
21,2021-01-01T00:00:00+03:00,23747.0,18975.61669921875,70064.9072265625,10811.52392578125,0.0
22,2021-01-01T00:00:00+03:00,23257.0,18388.24267578125,69048.52734375,10813.57373046875,0.0
23,2021-01-01T00:00:00+03:00,23264.041015625,16314.40087890625,68407.0693359375,10813.37451171875,0.0
0,2021-01-02T00:00:00+03:00,23638.0,14661.80908203125,68332.34765625,10768.88720703125,0.0
1,2021-01-02T00:00:00+03:00,23636.724609375,14632.26318359375,67311.564453125,10760.355712890625,0.0
2,2021-01-02T00:00:00+03:00,23641.0,14502.52490234375,66256.0302734375,10794.356689453125,0.0
3,2021-01-02T00:00:00+03:00,23641.0,14726.76220703125,66236.533203125,10802.400634765625,0.5
4,2021-01-02T00:00:00+03:00,23641.0,15176.42626953125,66954.732421875,10799.251220703125,4.699999809265137
5,2021-01-02T00:00:00+03:00,23646.041015625,14434.31689453125,69241.5361328125,10798.949462890625,16.649999618530273
6,2021-01-02T00:00:00+03:00,23646.041015625,15541.27294921875,70423.9521484375,10762.592041015625,32.79999923706055
7,2021-01-02T00:00:00+03:00,23746.041015625,16745.28662109375,71355.6455078125,10760.638916015625,52.34999942779541
8,2021-01-02T00:00:00+03:00,23741.0,17725.4375,72392.26171875,10769.708740234375,101.79999923706055
9,2021-01-02T00:00:00+03:00,23741.0,18721.72998046875,73699.337890625,10763.859130859375,167.99999618530273
10,2021-01-02T00:00:00+03:00,23741.0,19416.470703125,74386.177734375,10788.798583984375,181.3000030517578
11,2021-01-02T00:00:00+03:00,23741.0,19878.22314453125,74651.2216796875,10809.419677734375,197.39999961853027
12,2021-01-02T00:00:00+03:00,23746.041015625,19670.71533203125,75157.2783203125,10837.989013671875,152.8000030517578
13,2021-01-02T00:00:00+03:00,23746.041015625,20200.57080078125,75134.7744140625,10833.439208984375,134.6999969482422
14,2021-01-02T00:00:00+03:00,23746.041015625,20473.1171875,75336.1904296875,10829.748779296875,59.79999923706055
15,2021-01-02T00:00:00+03:00,23746.041015625,22080.04345703125,75320.6142578125,10797.328857421875,14.899999618530273
16,2021-01-02T00:00:00+03:00,23738.0,23746.6923828125,75083.4443359375,10789.139404296875,0.0
17,2021-01-02T00:00:00+03:00,23743.041015625,23809.95703125,74866.0361328125,10777.718505859375,0.0
18,2021-01-02T00:00:00+03:00,23741.0,22414.6845703125,74854.06640625,10779.468505859375,0.0
19,2021-01-02T00:00:00+03:00,23741.0,21236.171875,74395.9873046875,10759.968505859375,0.0
20,2021-01-02T00:00:00+03:00,23746.041015625,19608.73828125,74569.306640625,10760.619873046875,0.0
21,2021-01-02T00:00:00+03:00,23746.041015625,18123.91455078125,74004.484375,10763.368896484375,0.0
22,2021-01-02T00:00:00+03:00,23741.0,16494.24365234375,72359.029296875,10757.519287109375,0.0
23,2021-01-02T00:00:00+03:00,23741.0,15775.401123046875,70260.9384765625,10760.520263671875,0.0
0,2021-01-03T00:00:00+03:00,24065.0,14217.763427734375,68843.3994140625,10705.260864257812,0.0
1,2021-01-03T00:00:00+03:00,24060.76953125,14193.865966796875,67575.29296875,10702.413208007812,0.0
2,2021-01-03T00:00:00+03:00,24057.0,14183.115966796875,67498.0634765625,10732.424926757812,0.0
3,2021-01-03T00:00:00+03:00,24055.0,14392.595458984375,67668.322265625,10737.575317382812,0.5
4,2021-01-03T00:00:00+03:00,24017.0,15492.027099609375,68020.021484375,10765.936645507812,4.800000190734863
5,2021-01-03T00:00:00+03:00,24062.208984375,15205.691162109375,70095.626953125,10766.541137695312,16.200000762939453
6,2021-01-03T00:00:00+03:00,24054.935546875,15893.385498046875,71452.5302734375,10799.599731445312,34.650001525878906
7,2021-01-03T00:00:00+03:00,24055.0,18127.0185546875,71732.392578125,10798.154418945312,60.37000131607056
8,2021-01-03T00:00:00+03:00,24083.041015625,18717.59619140625,73760.95703125,10799.670043945312,103.69999694824219
9,2021-01-03T00:00:00+03:00,24082.041015625,18726.44482421875,75476.001953125,10798.530395507812,128.25000381469727
10,2021-01-03T00:00:00+03:00,24077.0,19946.814453125,75580.90234375,10840.573364257812,143.45000076293945
11,2021-01-03T00:00:00+03:00,24082.041015625,20395.10546875,75618.3310546875,10885.627075195312,143.04999923706055
12,2021-01-03T00:00:00+03:00,24080.21484375,19851.23388671875,76106.5859375,10924.602661132812,123.75
13,2021-01-03T00:00:00+03:00,24077.0,20555.9951171875,75983.521484375,10910.707153320312,76.50000303983688
14,2021-01-03T00:00:00+03:00,24082.041015625,20603.59716796875,76356.12109375,10904.418090820312,54.400001525878906
15,2021-01-03T00:00:00+03:00,24077.0,22260.43115234375,75959.119140625,10844.098754882812,13.399999618530273
16,2021-01-03T00:00:00+03:00,24077.0,24079.81640625,75993.2822265625,10825.021606445312,0.0
17,2021-01-03T00:00:00+03:00,24077.0,24069.6708984375,75860.1787109375,10953.128051757812,0.0
18,2021-01-03T00:00:00+03:00,24082.041015625,22710.8740234375,76057.51953125,10957.480590820312,0.0
19,2021-01-03T00:00:00+03:00,24082.041015625,20691.5458984375,76043.103515625,10935.435668945312,0.0
20,2021-01-03T00:00:00+03:00,24077.0,19083.24072265625,75801.94140625,10938.040161132812,0.0
21,2021-01-03T00:00:00+03:00,24077.0,16773.09326171875,75416.255859375,10945.701293945312,0.0
22,2021-01-03T00:00:00+03:00,24077.0,16027.9775390625,72818.0517578125,10940.751098632812,0.0
23,2021-01-03T00:00:00+03:00,24077.0,15129.5859375,71135.58984375,10940.952270507812,0.0
0,2021-01-04T00:00:00+03:00,24124.0,15717.01806640625,68537.1611328125,10824.355590820312,0.0
1,2021-01-04T00:00:00+03:00,24030.98046875,14925.01611328125,67802.435546875,10821.505004882812,0.0
2,2021-01-04T00:00:00+03:00,23934.95703125,14354.35693359375,68020.453125,10851.505981445312,0.0
3,2021-01-04T00:00:00+03:00,23940.041015625,14336.70947265625,68445.4892578125,10861.554809570312,0.6000000238418579
4,2021-01-04T00:00:00+03:00,23940.041015625,15064.84716796875,69181.7919921875,10854.604614257812,4.0
5,2021-01-04T00:00:00+03:00,23939.564453125,15469.10498046875,70826.7939453125,10854.805786132812,13.25
6,2021-01-04T00:00:00+03:00,23940.041015625,16276.86474609375,72572.08203125,10872.155395507812,28.700000762939453
7,2021-01-04T00:00:00+03:00,23939.841796875,17880.48486328125,73931.91015625,10907.045043945312,52.16999959945679
8,2021-01-04T00:00:00+03:00,23940.041015625,18585.29150390625,76446.8759765625,10928.344848632812,91.95000076293945
9,2021-01-04T00:00:00+03:00,23939.041015625,21008.48046875,77036.6103515625,10907.174926757812,150.0500030517578
10,2021-01-04T00:00:00+03:00,23939.041015625,21802.5830078125,77932.29296875,10967.104614257812,180.95000457763672
11,2021-01-04T00:00:00+03:00,23938.041015625,21477.26806640625,78483.9765625,10999.345825195312,180.10000228881836
12,2021-01-04T00:00:00+03:00,23942.01953125,22034.1376953125,79359.8291015625,11035.934692382812,149.29999685287476
13,2021-01-04T00:00:00+03:00,23942.041015625,21298.76416015625,79721.8330078125,11023.485473632812,104.64999695122242
14,2021-01-04T00:00:00+03:00,23935.0,21186.83251953125,79881.37109375,11015.245239257812,50.79999923706055
15,2021-01-04T00:00:00+03:00,23937.041015625,21586.564453125,80087.4541015625,10982.094848632812,10.800000190734863
16,2021-01-04T00:00:00+03:00,23941.041015625,22618.109375,80663.759765625,10948.995239257812,0.0
17,2021-01-04T00:00:00+03:00,23953.041015625,22008.45703125,80982.09765625,10970.945434570312,0.0
18,2021-01-04T00:00:00+03:00,23951.775390625,20562.00390625,80659.6064453125,10977.354614257812,0.0
19,2021-01-04T00:00:00+03:00,23954.646484375,19841.88525390625,78546.99609375,10957.255004882812,0.0
20,2021-01-04T00:00:00+03:00,23955.041015625,17962.22021484375,78270.6484375,10952.906372070312,0.0
21,2021-01-04T00:00:00+03:00,23943.0,18218.80908203125,75686.4765625,10959.255004882812,0.0
22,2021-01-04T00:00:00+03:00,23943.0,18031.79248046875,72931.47265625,10950.104614257812,0.0
23,2021-01-04T00:00:00+03:00,23946.404296875,17574.35498046875,70374.712890625,10939.605590820312,0.0
0,2021-01-05T00:00:00+03:00,24252.0,15653.73193359375,69750.806640625,10886.32177734375,0.0
1,2021-01-05T00:00:00+03:00,24549.0,15405.51806640625,68067.634765625,10923.37060546875,0.0
2,2021-01-05T00:00:00+03:00,24349.0,15737.63037109375,67309.916015625,10929.57177734375,0.0
3,2021-01-05T00:00:00+03:00,24368.041015625,14451.02197265625,69294.0185546875,10937.42138671875,0.6499999761581421
4,2021-01-05T00:00:00+03:00,24363.0,14118.34228515625,70874.0576171875,10935.27099609375,3.6500000953674316
5,2021-01-05T00:00:00+03:00,24368.041015625,14525.05615234375,72949.6806640625,10927.171997070312,12.300000190734863
6,2021-01-05T00:00:00+03:00,24363.0,16231.10302734375,74077.2744140625,10940.921020507812,29.700000762939453
7,2021-01-05T00:00:00+03:00,24368.041015625,17285.56103515625,75749.525390625,10923.571411132812,54.66999959945679
8,2021-01-05T00:00:00+03:00,24568.041015625,18856.560546875,76761.1630859375,10911.750732421875,106.1500015258789
9,2021-01-05T00:00:00+03:00,24790.041015625,20651.517578125,77307.83984375,10898.990966796875,209.20000457763672
10,2021-01-05T00:00:00+03:00,24796.041015625,20790.0810546875,77735.921875,10952.090576171875,363.6500053405762
11,2021-01-05T00:00:00+03:00,25000.041015625,20662.29638671875,78222.6669921875,10997.871826171875,356.5999870300293
12,2021-01-05T00:00:00+03:00,24993.0,21169.11328125,78006.8427734375,11019.561279296875,369.80000591278076
13,2021-01-05T00:00:00+03:00,25000.041015625,21099.93212890625,78537.4697265625,11025.960693359375,272.94999998807907
14,2021-01-05T00:00:00+03:00,25000.041015625,21591.5693359375,78541.2021484375,11021.370849609375,124.69999694824219
15,2021-01-05T00:00:00+03:00,24994.0,22758.259765625,78346.7197265625,10992.681396484375,20.799999237060547
16,2021-01-05T00:00:00+03:00,24993.0,24442.5888671875,78471.751953125,10957.050903320312,0.0
17,2021-01-05T00:00:00+03:00,24999.041015625,24112.208984375,78629.9892578125,10954.770629882812,0.0
18,2021-01-05T00:00:00+03:00,24997.041015625,22819.4091796875,77853.8837890625,10961.321411132812,0.0
19,2021-01-05T00:00:00+03:00,24994.0,21194.35205078125,77141.3427734375,10958.871215820312,0.0
20,2021-01-05T00:00:00+03:00,25000.041015625,19647.697265625,77012.361328125,10957.372192382812,0.0
21,2021-01-05T00:00:00+03:00,24994.0,17846.42822265625,76253.041015625,10957.621215820312,0.0
22,2021-01-05T00:00:00+03:00,25410.0,17380.7490234375,72692.498046875,10944.571411132812,0.0
23,2021-01-05T00:00:00+03:00,25610.591796875,17052.900390625,70183.875,10934.572387695312,0.0
0,2021-01-06T00:00:00+03:00,26261.59375,15864.2158203125,68315.6865234375,10863.757934570312,0.0
1,2021-01-06T00:00:00+03:00,26693.0,15159.6748046875,66870.97265625,10929.806762695312,0.0
2,2021-01-06T00:00:00+03:00,26829.0,14706.015625,66504.7568359375,10924.909301757812,0.0
3,2021-01-06T00:00:00+03:00,26880.041015625,14221.311279296875,67447.2333984375,10927.958129882812,0.550000011920929
4,2021-01-06T00:00:00+03:00,26881.041015625,14785.805419921875,68482.9599609375,10921.007934570312,4.050000190734863
5,2021-01-06T00:00:00+03:00,26917.0,15120.535888671875,70479.037109375,10921.508911132812,13.800000190734863
6,2021-01-06T00:00:00+03:00,26926.0,15662.93359375,72771.51953125,10945.458129882812,31.25
7,2021-01-06T00:00:00+03:00,26951.74609375,17069.1611328125,74297.9345703125,10951.799926757812,54.27000141143799
8,2021-01-06T00:00:00+03:00,26959.0,18200.40380859375,77209.083984375,10010.686645507812,106.1500015258789
9,2021-01-06T00:00:00+03:00,26975.041015625,19412.49853515625,78586.671875,9752.938598632812,165.60000228881836
