INTERVAL,M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
0,2015-01-01T00:00:00+03:00,23270.0,11451.07080078125,42941.650390625,7915.2362060546875,
1,2015-01-01T00:00:00+03:00,22970.0,11029.915771484375,42568.8828125,7915.2362060546875,
2,2015-01-01T00:00:00+03:00,22970.0,9761.084228515625,42451.130859375,7915.2362060546875,
3,2015-01-01T00:00:00+03:00,22976.0,9330.38427734375,41893.8056640625,7915.4359130859375,
4,2015-01-01T00:00:00+03:00,22976.0,9138.40625,42086.51171875,7915.4359130859375,
5,2015-01-01T00:00:00+03:00,22976.0,9583.66796875,41735.2578125,7915.4359130859375,
6,2015-01-01T00:00:00+03:00,22976.0,9735.972900390625,41851.861328125,7916.4359130859375,
7,2015-01-01T00:00:00+03:00,22976.0,9771.839965820312,42367.8876953125,7915.5360107421875,
8,2015-01-01T00:00:00+03:00,22965.0,10230.860107421875,42249.935546875,7917.1361083984375,
9,2015-01-01T00:00:00+03:00,22961.0,11137.360107421875,42323.66796875,7917.4759521484375,
10,2015-01-01T00:00:00+03:00,22958.0,11310.360107421875,42699.359375,7919.4759521484375,
11,2015-01-01T00:00:00+03:00,22970.0,11360.93310546875,42926.3671875,7918.4759521484375,
12,2015-01-01T00:00:00+03:00,22956.0,12258.826171875,42948.7822265625,7919.7762451171875,
13,2015-01-01T00:00:00+03:00,22965.0,12360.387451171875,43118.634765625,7919.7762451171875,
14,2015-01-01T00:00:00+03:00,22965.0,12811.552490234375,43613.5703125,7919.7762451171875,
15,2015-01-01T00:00:00+03:00,22965.0,14201.6689453125,44389.927734375,7919.9759521484375,
16,2015-01-01T00:00:00+03:00,22971.0,16043.68212890625,45055.5732421875,7919.9759521484375,
17,2015-01-01T00:00:00+03:00,22971.0,17174.396484375,45573.8125,7919.9759521484375,
18,2015-01-01T00:00:00+03:00,22971.0,17162.3154296875,45497.3759765625,7922.0760498046875,
19,2015-01-01T00:00:00+03:00,22971.0,16283.48486328125,45434.26171875,7923.0760498046875,
20,2015-01-01T00:00:00+03:00,22976.0,14771.111328125,45399.6650390625,7923.8358154296875,
21,2015-01-01T00:00:00+03:00,22970.0,13627.10302734375,44833.7919921875,7924.8358154296875,
22,2015-01-01T00:00:00+03:00,22973.318359375,12621.28076171875,43356.8720703125,7961.8358154296875,
23,2015-01-01T00:00:00+03:00,22970.0,11082.8291015625,42652.1953125,7960.8358154296875,
0,2015-01-02T00:00:00+03:00,22976.0,9299.251708984375,42813.078125,7911.77294921875,
1,2015-01-02T00:00:00+03:00,22976.0,8798.262084960938,42028.671875,7911.77294921875,
2,2015-01-02T00:00:00+03:00,22970.0,8476.68408203125,40588.6201171875,7911.77294921875,
3,2015-01-02T00:00:00+03:00,22970.0,8467.8388671875,40449.22265625,7911.97314453125,
4,2015-01-02T00:00:00+03:00,22970.0,8761.7958984375,40741.26953125,7911.97314453125,
5,2015-01-02T00:00:00+03:00,22970.0,9670.9638671875,40824.41796875,7911.97314453125,
6,2015-01-02T00:00:00+03:00,22970.0,10168.97900390625,41186.0341796875,7912.97314453125,
7,2015-01-02T00:00:00+03:00,22970.0,11422.0498046875,41362.111328125,7912.0732421875,
8,2015-01-02T00:00:00+03:00,22976.0,12125.5947265625,42832.84765625,7913.6728515625,
9,2015-01-02T00:00:00+03:00,22976.0,12378.714111328125,43864.23828125,7914.01318359375,
10,2015-01-02T00:00:00+03:00,22976.0,12461.269775390625,44573.33203125,7901.01318359375,
11,2015-01-02T00:00:00+03:00,22976.0,13073.41357421875,44689.7578125,7900.01318359375,
12,2015-01-02T00:00:00+03:00,22976.0,13634.0146484375,44458.4677734375,7900.01318359375,
13,2015-01-02T00:00:00+03:00,22970.0,13963.779296875,44565.716796875,7898.01318359375,
14,2015-01-02T00:00:00+03:00,22976.0,14449.98681640625,44556.5380859375,7898.01318359375,
15,2015-01-02T00:00:00+03:00,22976.0,15708.12744140625,44632.314453125,7908.212890625,
16,2015-01-02T00:00:00+03:00,22976.0,17577.31884765625,44976.302734375,7908.212890625,
17,2015-01-02T00:00:00+03:00,22976.0,17929.720703125,45056.625,7908.212890625,
18,2015-01-02T00:00:00+03:00,22976.0,17955.76171875,45013.3505859375,7908.61328125,
19,2015-01-02T00:00:00+03:00,22976.0,16809.5517578125,44958.2890625,7909.61328125,
20,2015-01-02T00:00:00+03:00,22970.0,15208.19873046875,44687.33984375,7960.373046875,
21,2015-01-02T00:00:00+03:00,22976.0,13646.82373046875,44349.2431640625,7961.373046875,
22,2015-01-02T00:00:00+03:00,22976.0,11710.93701171875,44131.181640625,7947.373046875,
23,2015-01-02T00:00:00+03:00,22971.1015625,10292.35693359375,42963.896484375,7947.373046875,
0,2015-01-03T00:00:00+03:00,22977.0,9283.923095703125,42197.14453125,7903.02294921875,
1,2015-01-03T00:00:00+03:00,22971.0,8954.849731445312,41462.96875,7903.02294921875,
2,2015-01-03T00:00:00+03:00,22971.0,8817.658813476562,40670.5703125,7870.02294921875,
3,2015-01-03T00:00:00+03:00,22971.0,8893.885864257812,40428.171875,7869.623046875,
4,2015-01-03T00:00:00+03:00,22974.0,9248.689086914062,40910.1591796875,7867.130859375,
5,2015-01-03T00:00:00+03:00,22974.0,10125.756958007812,41212.13671875,7867.130859375,
6,2015-01-03T00:00:00+03:00,22968.39453125,10589.045166015625,41695.06640625,7870.880859375,
7,2015-01-03T00:00:00+03:00,22821.0,11947.332763671875,41700.478515625,7873.98095703125,
8,2015-01-03T00:00:00+03:00,23319.0,12532.524169921875,42726.6552734375,7875.5810546875,
9,2015-01-03T00:00:00+03:00,23564.0,12966.55810546875,43515.84765625,7875.9208984375,
10,2015-01-03T00:00:00+03:00,23564.0,13359.73046875,43394.39453125,7900.9208984375,
11,2015-01-03T00:00:00+03:00,23561.0,13756.869140625,43418.39453125,7899.9208984375,
12,2015-01-03T00:00:00+03:00,23562.0,14193.708984375,43234.9189453125,7950.9208984375,
13,2015-01-03T00:00:00+03:00,23563.0,14509.11474609375,43349.041015625,7950.9208984375,
14,2015-01-03T00:00:00+03:00,23570.0,15539.45703125,43677.1953125,7950.9208984375,
15,2015-01-03T00:00:00+03:00,23571.0,16386.533203125,44055.73828125,7950.9208984375,
16,2015-01-03T00:00:00+03:00,23547.0,17868.28271484375,44375.4892578125,7950.9208984375,
17,2015-01-03T00:00:00+03:00,23543.0,18290.654296875,44523.7314453125,7950.9208984375,
18,2015-01-03T00:00:00+03:00,23710.0,17822.7490234375,43711.1943359375,7952.02099609375,
19,2015-01-03T00:00:00+03:00,23710.0,16794.4970703125,43227.8671875,7953.02099609375,
20,2015-01-03T00:00:00+03:00,23710.0,15724.44677734375,43196.5244140625,7953.78125,
21,2015-01-03T00:00:00+03:00,23710.0,13344.90771484375,43181.4248046875,7954.78125,
22,2015-01-03T00:00:00+03:00,23710.0,11674.01220703125,42910.4140625,7955.78125,
23,2015-01-03T00:00:00+03:00,23710.0,10081.343017578125,42055.572265625,7954.78125,
0,2015-01-04T00:00:00+03:00,23825.0,9315.26123046875,41531.0029296875,7931.74609375,
1,2015-01-04T00:00:00+03:00,23825.0,9088.710083007812,40433.24609375,7931.74609375,
2,2015-01-04T00:00:00+03:00,23825.0,9037.558227539062,40449.2822265625,7931.74609375,
3,2015-01-04T00:00:00+03:00,23825.0,9000.862915039062,40078.423828125,7931.94580078125,
4,2015-01-04T00:00:00+03:00,23825.0,9552.210083007812,40177.869140625,7922.94580078125,
5,2015-01-04T00:00:00+03:00,23825.0,10254.548217773438,40646.0146484375,7922.94580078125,
6,2015-01-04T00:00:00+03:00,23825.0,10787.718017578125,41184.265625,7919.94580078125,
7,2015-01-04T00:00:00+03:00,23825.0,12028.251220703125,41452.87890625,7909.5458984375,
8,2015-01-04T00:00:00+03:00,23822.0,12467.240478515625,42867.9453125,7907.14599609375,
9,2015-01-04T00:00:00+03:00,23793.0,13025.134033203125,43676.1669921875,7912.48583984375,
10,2015-01-04T00:00:00+03:00,23793.0,13978.4169921875,44412.0830078125,7920.48583984375,
