INTERVAL,M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
0,2017-01-01T00:00:00+03:00,25387.33984375,12600.4970703125,40432.3603515625,8682.730102539062,
1,2017-01-01T00:00:00+03:00,24732.091796875,11676.41162109375,40092.572265625,8682.925170898438,
2,2017-01-01T00:00:00+03:00,24585.4375,10360.7060546875,40381.3408203125,8680.64208984375,
3,2017-01-01T00:00:00+03:00,24568.458984375,9706.074951171875,39718.4853515625,8677.85791015625,
4,2017-01-01T00:00:00+03:00,24591.060546875,9589.988891601562,39565.96875,8672.647094726562,
5,2017-01-01T00:00:00+03:00,24573.830078125,9973.075439453125,39347.6845703125,8669.49609375,
6,2017-01-01T00:00:00+03:00,24566.923828125,10242.74853515625,39185.326171875,8669.134155273438,
7,2017-01-01T00:00:00+03:00,24565.17578125,10530.035888671875,39839.8115234375,8668.558959960938,
8,2017-01-01T00:00:00+03:00,24527.640625,10856.881103515625,39966.75927734375,8689.618041992188,
9,2017-01-01T00:00:00+03:00,24532.44921875,11790.353515625,40048.7451171875,8704.951049804688,
10,2017-01-01T00:00:00+03:00,24539.650390625,11878.90673828125,40613.61376953125,8713.017211914062,
11,2017-01-01T00:00:00+03:00,24549.0078125,12960.550048828125,40560.5576171875,8718.133178710938,
12,2017-01-01T00:00:00+03:00,24547.921875,13995.94580078125,40824.16845703125,8755.394897460938,
13,2017-01-01T00:00:00+03:00,24565.51171875,14093.17138671875,41091.322265625,8687.335815429688,
14,2017-01-01T00:00:00+03:00,24564.240234375,14375.71240234375,41536.32958984375,8671.882934570312,
15,2017-01-01T00:00:00+03:00,24588.375,15276.478515625,41784.0390625,8651.160766601562,
16,2017-01-01T00:00:00+03:00,24576.05078125,18029.97314453125,41986.60400390625,8649.420043945312,
17,2017-01-01T00:00:00+03:00,24585.333984375,19265.3603515625,42139.1708984375,8648.468872070312,
18,2017-01-01T00:00:00+03:00,24591.025390625,18462.9736328125,41887.1767578125,8626.224243164062,
19,2017-01-01T00:00:00+03:00,24592.578125,17742.080078125,41475.52587890625,8624.998168945312,
20,2017-01-01T00:00:00+03:00,24588.287109375,17012.6064453125,41147.0263671875,8634.916870117188,
21,2017-01-01T00:00:00+03:00,24583.873046875,15505.50146484375,40940.04052734375,8634.041137695312,
22,2017-01-01T00:00:00+03:00,24611.9453125,14254.47802734375,40711.64501953125,8634.207153320312,
23,2017-01-01T00:00:00+03:00,24632.0,13437.0703125,39820.052734375,8634.246215820312,
0,2017-01-02T00:00:00+03:00,24608.0,10220.447509765625,40187.23046875,8639.331787109375,
1,2017-01-02T00:00:00+03:00,24565.38671875,9870.556518554688,39919.6630859375,8639.52685546875,
2,2017-01-02T00:00:00+03:00,24566.830078125,10025.037841796875,39317.80810546875,8637.243774414062,
3,2017-01-02T00:00:00+03:00,24418.259765625,9941.102661132812,39028.0205078125,8640.460083007812,
4,2017-01-02T00:00:00+03:00,24551.05078125,10036.690063476562,39150.46533203125,8636.249267578125,
5,2017-01-02T00:00:00+03:00,24543.802734375,10703.424926757812,39752.79345703125,8633.097778320312,
6,2017-01-02T00:00:00+03:00,24553.154296875,11757.78125,39889.2587890625,8645.835815429688,
7,2017-01-02T00:00:00+03:00,24544.556640625,13088.693359375,40245.9677734375,8646.7607421875,
8,2017-01-02T00:00:00+03:00,24552.833984375,13628.78564453125,41318.0166015625,8653.709838867188,
9,2017-01-02T00:00:00+03:00,24545.59375,13773.77490234375,41530.04150390625,8636.752807617188,
10,2017-01-02T00:00:00+03:00,24541.4921875,13942.880859375,41859.658203125,8652.129150390625,
11,2017-01-02T00:00:00+03:00,24541.6484375,13941.2392578125,41918.1259765625,8679.015014648438,
12,2017-01-02T00:00:00+03:00,24556.896484375,14446.86083984375,41766.28076171875,8739.436889648438,
13,2017-01-02T00:00:00+03:00,24551.333984375,15271.64208984375,42083.02880859375,8738.707885742188,
14,2017-01-02T00:00:00+03:00,24545.333984375,15919.69287109375,42110.4697265625,8708.094970703125,
15,2017-01-02T00:00:00+03:00,24550.880859375,17621.076171875,42161.16748046875,8672.912841796875,
16,2017-01-02T00:00:00+03:00,24543.68359375,20157.0498046875,42229.32568359375,8665.681884765625,
17,2017-01-02T00:00:00+03:00,24544.56640625,20500.26171875,42307.53564453125,8662.970947265625,
18,2017-01-02T00:00:00+03:00,24310.666015625,19480.9521484375,42066.7255859375,8683.725830078125,
19,2017-01-02T00:00:00+03:00,23899.59765625,18192.580078125,41896.74267578125,8713.500244140625,
20,2017-01-02T00:00:00+03:00,23895.671875,17001.70068359375,41745.873046875,8727.119018554688,
21,2017-01-02T00:00:00+03:00,23894.634765625,16048.447265625,41289.8662109375,8727.443115234375,
22,2017-01-02T00:00:00+03:00,23905.33203125,14336.63427734375,40752.21337890625,8727.609130859375,
23,2017-01-02T00:00:00+03:00,23926.5546875,13313.470703125,40080.5859375,8727.648193359375,
0,2017-01-03T00:00:00+03:00,23940.384765625,9818.93017578125,40905.22119140625,8721.421997070312,
1,2017-01-03T00:00:00+03:00,23957.845703125,9908.1474609375,40451.82080078125,8721.420043945312,
2,2017-01-03T00:00:00+03:00,23966.07421875,9836.6279296875,39879.8212890625,8719.207153320312,
3,2017-01-03T00:00:00+03:00,23958.728515625,9912.14697265625,39763.62646484375,8711.346801757812,
4,2017-01-03T00:00:00+03:00,23974.232421875,10242.32470703125,40085.67138671875,8711.238891601562,
5,2017-01-03T00:00:00+03:00,23984.716796875,11063.68505859375,40765.6328125,8708.463989257812,
6,2017-01-03T00:00:00+03:00,23990.0,12406.80419921875,40930.84912109375,8809.605834960938,
