Date,Total
2022/6/23 0:00,186
2022/6/22 0:00,186.1
2022/6/21 0:00,183.6
2022/6/20 0:00,177.3
2022/6/19 0:00,174.2
2022/6/18 0:00,175.3
2022/6/17 0:00,171.2
2022/6/16 0:00,168.1
2022/6/15 0:00,167.1
2022/6/14 0:00,167.2
2022/6/13 0:00,165.8
2022/6/12 0:00,160.7
2022/6/11 0:00,170.6
2022/6/10 0:00,171
2022/6/9 0:00,172.6
2022/6/8 0:00,170.1
2022/6/7 0:00,169.9
2022/6/6 0:00,168.2
2022/6/5 0:00,159.8
2022/6/4 0:00,154.8
2022/6/3 0:00,152.5
2022/6/2 0:00,163
2022/6/1 0:00,164
2022/5/31 0:00,159.8
2022/5/30 0:00,159.6
2022/5/29 0:00,159.2
2022/5/28 0:00,157.7
2022/5/27 0:00,160.1
2022/5/26 0:00,162.2
2022/5/25 0:00,159.3
2022/5/24 0:00,156.6
2022/5/23 0:00,152
2022/5/22 0:00,149.9
2022/5/21 0:00,153.1
2022/5/20 0:00,154.2
2022/5/19 0:00,153.4
2022/5/18 0:00,144.7
2022/5/17 0:00,142.3
2022/5/16 0:00,145.4
2022/5/15 0:00,151.5
2022/5/14 0:00,154.5
2022/5/13 0:00,158.9
2022/5/12 0:00,166.1
2022/5/11 0:00,167.4
2022/5/10 0:00,164.5
2022/5/9 0:00,156.8
2022/5/8 0:00,157.7
2022/5/7 0:00,161.5
2022/5/6 0:00,158.2
2022/5/5 0:00,156.4
2022/5/4 0:00,155.6
2022/5/3 0:00,153.8
2022/5/2 0:00,145.7
2022/5/1 0:00,138.9
2022/4/30 0:00,168.4
2022/4/29 0:00,165
2022/4/28 0:00,162.4
2022/4/27 0:00,159.7
2022/4/26 0:00,161.7
2022/4/25 0:00,158.3
2022/4/24 0:00,155.4
2022/4/23 0:00,155.9
2022/4/22 0:00,157.3
2022/4/21 0:00,157.4
2022/4/20 0:00,159.7
2022/4/19 0:00,158.9
2022/4/18 0:00,160.9
2022/4/17 0:00,154.2
2022/4/16 0:00,159.7
2022/4/15 0:00,160.6
2022/4/14 0:00,165.3
2022/4/13 0:00,162.9
2022/4/12 0:00,160.8
2022/4/11 0:00,159.6
2022/4/10 0:00,157.5
2022/4/9 0:00,155.4
2022/4/8 0:00,160.4
2022/4/7 0:00,167.5
2022/4/6 0:00,162.4
2022/4/5 0:00,155.7
2022/4/4 0:00,159.4
2022/4/3 0:00,167.3
2022/4/2 0:00,173.2
2022/4/1 0:00,177.5
2022/3/31 0:00,180.1
2022/3/30 0:00,179.6
2022/3/29 0:00,176.9
2022/3/28 0:00,176.8
2022/3/27 0:00,174.3
2022/3/26 0:00,176.8
2022/3/25 0:00,179.2
2022/3/24 0:00,179.4
2022/3/23 0:00,183
2022/3/22 0:00,189.7
2022/3/21 0:00,189.2
2022/3/20 0:00,182
2022/3/19 0:00,184.2
2022/3/18 0:00,183.2
2022/3/17 0:00,182.6
2022/3/16 0:00,186.1
2022/3/15 0:00,187
2022/3/14 0:00,184.5
2022/3/13 0:00,182.7
2022/3/12 0:00,180.7
2022/3/11 0:00,181.9
2022/3/10 0:00,179.1
2022/3/9 0:00,179.6
2022/3/8 0:00,176.2
2022/3/7 0:00,174.4
2022/3/6 0:00,173.6
2022/3/5 0:00,177.1
2022/3/4 0:00,178.6
2022/3/3 0:00,177.2
2022/3/2 0:00,175
2022/3/1 0:00,174.7
2022/2/28 0:00,171.3
2022/2/27 0:00,168.1
2022/2/26 0:00,177.7
2022/2/25 0:00,181.9
2022/2/24 0:00,187.7
2022/2/23 0:00,191.2
2022/2/22 0:00,194.3
2022/2/21 0:00,192.6
2022/2/20 0:00,183.1
2022/2/19 0:00,178.1
2022/2/18 0:00,176
2022/2/17 0:00,166.9
2022/2/16 0:00,155.4
2022/2/15 0:00,153.1
2022/2/14 0:00,151.3
2022/2/13 0:00,146.2
2022/2/12 0:00,146.9
2022/2/11 0:00,145.4
2022/2/10 0:00,141.4
2022/2/9 0:00,140.5
2022/2/8 0:00,137.6
2022/2/7 0:00,133.9
2022/2/6 0:00,128
2022/2/5 0:00,123.3
2022/2/4 0:00,122.1
2022/2/3 0:00,125
2022/2/2 0:00,124.1
2022/2/1 0:00,125.7
2022/1/31 0:00,149.4
2022/1/30 0:00,155.9
2022/1/29 0:00,163.1
2022/1/28 0:00,170
2022/1/27 0:00,183.1
2022/1/26 0:00,192.4
2022/1/25 0:00,198.7
2022/1/24 0:00,196.9
2022/1/23 0:00,200
2022/1/22 0:00,203.2
2022/1/21 0:00,207
2022/1/20 0:00,209
2022/1/19 0:00,213
2022/1/18 0:00,214.1
2022/1/17 0:00,212.9
2022/1/16 0:00,215
2022/1/15 0:00,217.6
2022/1/14 0:00,223.3
2022/1/13 0:00,224.7
2022/1/12 0:00,226.5
2022/1/11 0:00,226.4
2022/1/10 0:00,232.1
2022/1/9 0:00,223.6
2022/1/8 0:00,225.9
2022/1/7 0:00,229.7
2022/1/6 0:00,230.1
2022/1/5 0:00,232.1
2022/1/4 0:00,234.3
2022/1/3 0:00,233.7
2022/1/2 0:00,226.3
2022/1/1 0:00,225.8
2021/12/31 0:00,232
2021/12/30 0:00,231.3
2021/12/29 0:00,236.2
2021/12/28 0:00,229.2
2021/12/27 0:00,223.6
2021/12/26 0:00,222.4
2021/12/25 0:00,215.4
2021/12/24 0:00,214.8
2021/12/23 0:00,214.4
2021/12/22 0:00,211.2
2021/12/21 0:00,200.7
2021/12/20 0:00,201.5
2021/12/19 0:00,200.6
2021/12/18 0:00,206.9
2021/12/17 0:00,208.3
2021/12/16 0:00,210.6
2021/12/15 0:00,205.7
2021/12/14 0:00,203.7
2021/12/13 0:00,206.2
2021/12/12 0:00,205.3
2021/12/11 0:00,206.7
2021/12/10 0:00,204.6
2021/12/9 0:00,205.1
2021/12/8 0:00,201.4
2021/12/7 0:00,200.5
2021/12/6 0:00,194.4
2021/12/5 0:00,192.7
2021/12/4 0:00,193.6
2021/12/3 0:00,191.7
2021/12/2 0:00,192.3
2021/12/1 0:00,190.2
2021/11/30 0:00,189.4
2021/11/29 0:00,189.8
2021/11/28 0:00,187.5
2021/11/27 0:00,191.9
2021/11/26 0:00,197.4
2021/11/25 0:00,201
2021/11/24 0:00,192.3
2021/11/23 0:00,189.2
2021/11/22 0:00,186.6
2021/11/21 0:00,189
2021/11/20 0:00,186.9
2021/11/19 0:00,182.8
2021/11/18 0:00,177.2
2021/11/17 0:00,180.6
2021/11/16 0:00,178.7
2021/11/15 0:00,178.9
2021/11/14 0:00,175
2021/11/13 0:00,175.9
2021/11/12 0:00,174
2021/11/11 0:00,173.1
2021/11/10 0:00,169.5
2021/11/9 0:00,171.2
2021/11/8 0:00,168
2021/11/7 0:00,175.2
2021/11/6 0:00,176.8
2021/11/5 0:00,179
2021/11/4 0:00,180.2
2021/11/3 0:00,177.1
2021/11/2 0:00,176.5
2021/11/1 0:00,173.3
2021/10/31 0:00,169.5
2021/10/30 0:00,172.1
2021/10/29 0:00,172.7
2021/10/28 0:00,172.1
2021/10/27 0:00,169.1
2021/10/26 0:00,167
2021/10/25 0:00,162.2
2021/10/24 0:00,166.8
2021/10/23 0:00,166.6
2021/10/22 0:00,168.1
2021/10/21 0:00,171.4
2021/10/20 0:00,170
2021/10/19 0:00,167.2
2021/10/18 0:00,165.9
2021/10/17 0:00,165.4
2021/10/16 0:00,171.2
2021/10/15 0:00,174.2
2021/10/14 0:00,171.4
2021/10/13 0:00,169.7
2021/10/12 0:00,169.2
2021/10/11 0:00,174.2
2021/10/10 0:00,171.3
2021/10/9 0:00,178.5
2021/10/8 0:00,183.4
2021/10/7 0:00,186
2021/10/6 0:00,180.8
2021/10/5 0:00,178.7
2021/10/4 0:00,174.7
2021/10/3 0:00,177
2021/10/2 0:00,180.1
2021/10/1 0:00,183.1
2021/9/30 0:00,190.7
2021/9/29 0:00,191.2
2021/9/28 0:00,189.3
2021/9/27 0:00,187.9
2021/9/26 0:00,188
2021/9/25 0:00,189.9
2021/9/24 0:00,191.3
2021/9/23 0:00,190.2
2021/9/22 0:00,184
2021/9/21 0:00,172.7
2021/9/20 0:00,187.4
2021/9/19 0:00,194.7
2021/9/18 0:00,193.9
2021/9/17 0:00,190.6
2021/9/16 0:00,191.4
2021/9/15 0:00,190
2021/9/14 0:00,196.3
2021/9/13 0:00,188.3
2021/9/12 0:00,191.6
2021/9/11 0:00,202.5
2021/9/10 0:00,208.1
2021/9/9 0:00,206.3
2021/9/8 0:00,208
2021/9/7 0:00,208.9
2021/9/6 0:00,214.1
2021/9/5 0:00,211
2021/9/4 0:00,211.6
2021/9/3 0:00,217
2021/9/2 0:00,220.4
2021/9/1 0:00,216.9
2021/8/31 0:00,211.7
2021/8/30 0:00,208.4
2021/8/29 0:00,206
2021/8/28 0:00,211
2021/8/27 0:00,214.5
2021/8/26 0:00,217.4
2021/8/25 0:00,219.3
2021/8/24 0:00,215.3
2021/8/23 0:00,211.3
2021/8/22 0:00,205.6
2021/8/21 0:00,206
2021/8/20 0:00,207.4
2021/8/19 0:00,207.5
2021/8/18 0:00,207.4
2021/8/17 0:00,209.3
2021/8/16 0:00,207.1
2021/8/15 0:00,202.2
2021/8/14 0:00,209.2
2021/8/13 0:00,221.4
2021/8/12 0:00,224.2
2021/8/11 0:00,228.6
2021/8/10 0:00,233.2
2021/8/9 0:00,230.9
2021/8/8 0:00,217.3
2021/8/7 0:00,223.8
2021/8/6 0:00,225
2021/8/5 0:00,219.4
2021/8/4 0:00,224.4
2021/8/3 0:00,222.7
2021/8/2 0:00,219.8
2021/8/1 0:00,214.7
2021/7/31 0:00,212
2021/7/30 0:00,210.8
2021/7/29 0:00,211.4
2021/7/28 0:00,210
2021/7/27 0:00,206.1
2021/7/26 0:00,204.4
2021/7/25 0:00,196.3
2021/7/24 0:00,205.2
2021/7/23 0:00,206.9
2021/7/22 0:00,202.9
2021/7/21 0:00,208.3
2021/7/20 0:00,207.4
2021/7/19 0:00,207.3
2021/7/18 0:00,202.7
2021/7/17 0:00,207.4
2021/7/16 0:00,221.9
2021/7/15 0:00,223.2
2021/7/14 0:00,224
2021/7/13 0:00,220.6
2021/7/12 0:00,217
2021/7/11 0:00,215
2021/7/10 0:00,215.4
2021/7/9 0:00,216.8
2021/7/8 0:00,210.5
2021/7/7 0:00,202
2021/7/6 0:00,197.4
2021/7/5 0:00,193.7
2021/7/4 0:00,188.5
2021/7/3 0:00,185.6
2021/7/2 0:00,184.6
2021/7/1 0:00,184
2021/6/30 0:00,185.8
2021/6/29 0:00,189.6
2021/6/28 0:00,195.9
2021/6/27 0:00,189.2
2021/6/26 0:00,189.1
2021/6/25 0:00,191.4
2021/6/24 0:00,193.7
2021/6/23 0:00,194.3
2021/6/22 0:00,201
2021/6/21 0:00,203.3
2021/6/20 0:00,198.8
2021/6/19 0:00,199.7
2021/6/18 0:00,204.7
2021/6/17 0:00,201.4
2021/6/16 0:00,200.6
2021/6/15 0:00,191.8
2021/6/14 0:00,174.1
2021/6/13 0:00,179.7
2021/6/12 0:00,194.9
2021/6/11 0:00,202.3
2021/6/10 0:00,202
2021/6/9 0:00,195.2
2021/6/8 0:00,191.7
2021/6/7 0:00,189.1
2021/6/6 0:00,186.9
2021/6/5 0:00,186.4
2021/6/4 0:00,189.1
2021/6/3 0:00,190.6
2021/6/2 0:00,182.3
2021/6/1 0:00,189.4
2021/5/31 0:00,190.4
2021/5/30 0:00,189.3
2021/5/29 0:00,194.2
2021/5/28 0:00,193.9
2021/5/27 0:00,195.4
2021/5/26 0:00,193.3
2021/5/25 0:00,193.7
2021/5/24 0:00,197.9
2021/5/23 0:00,195.6
2021/5/22 0:00,194.9
2021/5/21 0:00,193
2021/5/20 0:00,192
2021/5/19 0:00,188.9
2021/5/18 0:00,191.2
2021/5/17 0:00,189.7
2021/5/16 0:00,187
2021/5/15 0:00,189.3
2021/5/14 0:00,184.7
2021/5/13 0:00,184.8
2021/5/12 0:00,183.3
2021/5/11 0:00,182.8
2021/5/10 0:00,177.3
2021/5/9 0:00,172.9
2021/5/8 0:00,169.6
2021/5/7 0:00,173.1
2021/5/6 0:00,172.8
2021/5/5 0:00,173.1
2021/5/4 0:00,174.9
2021/5/3 0:00,158.9
2021/5/2 0:00,153.8
2021/5/1 0:00,157.8
2021/4/30 0:00,177.2
2021/4/29 0:00,177.7
2021/4/28 0:00,181
2021/4/27 0:00,175.5
2021/4/26 0:00,177
2021/4/25 0:00,179.3
2021/4/24 0:00,177.6
2021/4/23 0:00,178.1
2021/4/22 0:00,179.3
2021/4/21 0:00,180.8
2021/4/20 0:00,179
2021/4/19 0:00,178.2
2021/4/18 0:00,176.9
2021/4/17 0:00,180.8
2021/4/16 0:00,181.8
2021/4/15 0:00,180.8
2021/4/14 0:00,182
2021/4/13 0:00,181.9
2021/4/12 0:00,180.4
2021/4/11 0:00,178.6
2021/4/10 0:00,179.1
2021/4/9 0:00,180.8
2021/4/8 0:00,183.1
2021/4/7 0:00,185
2021/4/6 0:00,184.8
2021/4/5 0:00,178.6
2021/4/4 0:00,185.2
2021/4/3 0:00,187.8
2021/4/2 0:00,192.6
2021/4/1 0:00,189.4
2021/3/31 0:00,191.7
2021/3/30 0:00,189.8
2021/3/29 0:00,187
2021/3/28 0:00,190.1
2021/3/27 0:00,190.9
2021/3/26 0:00,189.4
2021/3/25 0:00,188.6
2021/3/24 0:00,184.9
2021/3/23 0:00,184.8
2021/3/22 0:00,180.8
2021/3/21 0:00,184.8
2021/3/20 0:00,186.9
2021/3/19 0:00,188.4
2021/3/18 0:00,188.1
2021/3/17 0:00,184.3
2021/3/16 0:00,180.8
2021/3/15 0:00,180.2
2021/3/14 0:00,182.9
2021/3/13 0:00,187.1
2021/3/12 0:00,194.6
2021/3/11 0:00,199.8
2021/3/10 0:00,198.5
2021/3/9 0:00,196.4
2021/3/8 0:00,200.4
2021/3/7 0:00,199.2
2021/3/6 0:00,203.1
2021/3/5 0:00,194.9
2021/3/4 0:00,190
2021/3/3 0:00,184
2021/3/2 0:00,177.9
2021/3/1 0:00,164.7
2021/2/28 0:00,159.9
2021/2/27 0:00,155.8
2021/2/26 0:00,150.6
2021/2/25 0:00,147.1
2021/2/24 0:00,138.9
2021/2/23 0:00,136.5
2021/2/22 0:00,126.4
2021/2/21 0:00,124.2
2021/2/20 0:00,122.8
2021/2/19 0:00,121.7
2021/2/18 0:00,115.9
2021/2/17 0:00,112.9
2021/2/16 0:00,109.9
2021/2/15 0:00,110.4
2021/2/14 0:00,113.4
2021/2/13 0:00,115.1
2021/2/12 0:00,117.2
2021/2/11 0:00,124.9
2021/2/10 0:00,137.7
2021/2/9 0:00,146.9
2021/2/8 0:00,150.9
2021/2/7 0:00,159.3
2021/2/6 0:00,171.6
2021/2/5 0:00,175.3
2021/2/4 0:00,178.2
2021/2/3 0:00,180.9
2021/2/2 0:00,178.8
2021/2/1 0:00,180.5
2021/1/31 0:00,186.7
2021/1/30 0:00,191.9
2021/1/29 0:00,196
2021/1/28 0:00,200.6
2021/1/27 0:00,199.6
2021/1/26 0:00,203.7
2021/1/25 0:00,205.2
2021/1/24 0:00,207.4
2021/1/23 0:00,208.8
2021/1/22 0:00,210.7
2021/1/21 0:00,214.3
2021/1/20 0:00,210.4
2021/1/19 0:00,210.7
2021/1/18 0:00,210.6
2021/1/17 0:00,216.2
2021/1/16 0:00,224.7
2021/1/15 0:00,227.7
2021/1/14 0:00,232.3
2021/1/13 0:00,243.7
2021/1/12 0:00,244.5
2021/1/11 0:00,244.7
2021/1/10 0:00,246.3
2021/1/9 0:00,245.3
2021/1/8 0:00,249.2
2021/1/7 0:00,244.8
2021/1/6 0:00,229.4
2021/1/5 0:00,224.8
2021/1/4 0:00,228.2
2021/1/3 0:00,225.1
2021/1/2 0:00,213.5
2021/1/1 0:00,233.6
2020/12/31 0:00,234.8
2020/12/30 0:00,242.3
2020/12/29 0:00,233.2
2020/12/28 0:00,237.8
2020/12/27 0:00,225.2
2020/12/26 0:00,225.2
2020/12/25 0:00,223.8
2020/12/24 0:00,229
2020/12/23 0:00,232.6
2020/12/22 0:00,236
2020/12/21 0:00,231.9
2020/12/20 0:00,228.4
2020/12/19 0:00,224.2
2020/12/18 0:00,231.1
2020/12/17 0:00,231.6
2020/12/16 0:00,229.4
2020/12/15 0:00,240.8
2020/12/14 0:00,230
2020/12/13 0:00,215.7
2020/12/12 0:00,222.5
2020/12/11 0:00,224.1
2020/12/10 0:00,211.9
2020/12/9 0:00,225.6
2020/12/8 0:00,219.7
2020/12/7 0:00,224.4
2020/12/6 0:00,212.3
2020/12/5 0:00,224.7
2020/12/4 0:00,218.3
2020/12/3 0:00,219.2
2020/12/2 0:00,211
2020/12/1 0:00,208.7
2020/11/30 0:00,203.9
2020/11/29 0:00,216.3
2020/11/28 0:00,210.4
2020/11/27 0:00,213.8
2020/11/26 0:00,212.4
2020/11/25 0:00,208.5
2020/11/24 0:00,195
2020/11/23 0:00,178.1
2020/11/22 0:00,189.2
2020/11/21 0:00,184.3
2020/11/20 0:00,179.6
2020/11/19 0:00,169.1
2020/11/18 0:00,174.2
2020/11/17 0:00,164
2020/11/16 0:00,163.1
2020/11/15 0:00,164.9
2020/11/14 0:00,165.7
2020/11/13 0:00,168
2020/11/12 0:00,163.3
2020/11/11 0:00,167.2
2020/11/10 0:00,165
2020/11/9 0:00,156.6
2020/11/8 0:00,159.8
2020/11/7 0:00,163.2
2020/11/6 0:00,161.6
2020/11/5 0:00,160.2
2020/11/4 0:00,152.2
2020/11/3 0:00,152.1
2020/11/2 0:00,150
2020/11/1 0:00,145.5
2020/10/31 0:00,150.5
2020/10/30 0:00,160.5
2020/10/29 0:00,159.8
2020/10/28 0:00,161.9
2020/10/27 0:00,157.2
2020/10/26 0:00,150.6
2020/10/25 0:00,150.2
2020/10/24 0:00,147.7
2020/10/23 0:00,146.6
2020/10/22 0:00,151.1
2020/10/21 0:00,145.3
2020/10/20 0:00,146.5
2020/10/19 0:00,144
2020/10/18 0:00,144.7
2020/10/17 0:00,151
2020/10/16 0:00,153.8
2020/10/15 0:00,145.1
2020/10/14 0:00,149.1
2020/10/13 0:00,146
2020/10/12 0:00,141.2
2020/10/11 0:00,146.3
2020/10/10 0:00,137.7
2020/10/9 0:00,130.2
2020/10/8 0:00,137.2
2020/10/7 0:00,135.8
2020/10/6 0:00,131
2020/10/5 0:00,118.9
2020/10/4 0:00,117.3
2020/10/3 0:00,105.4
2020/10/2 0:00,104.7
2020/10/1 0:00,130.6
2020/9/30 0:00,146.6
2020/9/29 0:00,143.5
2020/9/28 0:00,138.1
2020/9/27 0:00,142.9
2020/9/26 0:00,149.2
2020/9/25 0:00,149
2020/9/24 0:00,152
2020/9/23 0:00,155.7
2020/9/22 0:00,151.2
2020/9/21 0:00,144.6
2020/9/20 0:00,147.6
2020/9/19 0:00,148.3
2020/9/18 0:00,155.4
2020/9/17 0:00,160
2020/9/16 0:00,163.1
2020/9/15 0:00,168.2
2020/9/14 0:00,159.8
2020/9/13 0:00,163.5
2020/9/12 0:00,165.5
2020/9/11 0:00,175
2020/9/10 0:00,178.8
2020/9/9 0:00,176
2020/9/8 0:00,176.4
2020/9/7 0:00,168.1
2020/9/6 0:00,174.1
2020/9/5 0:00,174.2
2020/9/4 0:00,175.2
2020/9/3 0:00,180.3
2020/9/2 0:00,187.9
2020/9/1 0:00,188.3
2020/8/31 0:00,183.5
2020/8/30 0:00,185.3
2020/8/29 0:00,188.7
2020/8/28 0:00,188.6
2020/8/27 0:00,195.1
2020/8/26 0:00,205.7
2020/8/25 0:00,201.3
2020/8/24 0:00,191.4
2020/8/23 0:00,191.2
2020/8/22 0:00,189.4
2020/8/21 0:00,193.9
2020/8/20 0:00,203.7
2020/8/19 0:00,195.3
2020/8/18 0:00,201.8
2020/8/17 0:00,196.2
2020/8/16 0:00,205.4
2020/8/15 0:00,203.3
2020/8/14 0:00,206.5
2020/8/13 0:00,203.6
2020/8/12 0:00,206.9
2020/8/11 0:00,195.3
2020/8/10 0:00,192.3
2020/8/9 0:00,193.3
2020/8/8 0:00,194.4
2020/8/7 0:00,197.3
2020/8/6 0:00,198.8
2020/8/5 0:00,192.9
2020/8/4 0:00,197.2
2020/8/3 0:00,184
2020/8/2 0:00,186.1
2020/8/1 0:00,187.2
2020/7/31 0:00,193.7
2020/7/30 0:00,193.6
2020/7/29 0:00,191.7
2020/7/28 0:00,183.9
2020/7/27 0:00,172.2
2020/7/26 0:00,180.2
2020/7/25 0:00,183.3
2020/7/24 0:00,178
2020/7/23 0:00,183.4
2020/7/22 0:00,186.5
2020/7/21 0:00,180.5
2020/7/20 0:00,172.8
2020/7/19 0:00,179
2020/7/18 0:00,176
2020/7/17 0:00,173.5
2020/7/16 0:00,174.5
2020/7/15 0:00,183.5
2020/7/14 0:00,181.4
2020/7/13 0:00,172.3
2020/7/12 0:00,178.7
2020/7/11 0:00,178.8
2020/7/10 0:00,181.7
2020/7/9 0:00,183
2020/7/8 0:00,186.6
2020/7/7 0:00,180
2020/7/6 0:00,160.6
2020/7/5 0:00,168.2
2020/7/4 0:00,168.4
2020/7/3 0:00,173.9
2020/7/2 0:00,175.4
2020/7/1 0:00,172.9
2020/6/30 0:00,179.2
2020/6/29 0:00,181.8
2020/6/28 0:00,183.1
2020/6/27 0:00,164.4
2020/6/26 0:00,156.5
2020/6/25 0:00,172.7
2020/6/24 0:00,166.2
2020/6/23 0:00,164.6
2020/6/22 0:00,163
2020/6/21 0:00,169
2020/6/20 0:00,174.3
2020/6/19 0:00,176.9
2020/6/18 0:00,177.4
2020/6/17 0:00,177.5
2020/6/16 0:00,181.6
2020/6/15 0:00,179.4
2020/6/14 0:00,182.7
2020/6/13 0:00,187.7
2020/6/12 0:00,181
2020/6/11 0:00,179.5
2020/6/10 0:00,178.8
2020/6/9 0:00,169.7
2020/6/8 0:00,163
2020/6/7 0:00,171.6
2020/6/6 0:00,179.7
2020/6/5 0:00,173.7
2020/6/4 0:00,171.7
2020/6/3 0:00,164.8
2020/6/2 0:00,157.3
2020/6/1 0:00,153.2
2020/5/31 0:00,154.2
2020/5/30 0:00,165.3
2020/5/29 0:00,166.8
2020/5/28 0:00,168.3
2020/5/27 0:00,180.4
2020/5/26 0:00,185.3
2020/5/25 0:00,175.2
2020/5/24 0:00,173.6
2020/5/23 0:00,173.1
2020/5/22 0:00,174.6
2020/5/21 0:00,176.5
2020/5/20 0:00,171.8
2020/5/19 0:00,169.5
2020/5/18 0:00,176.8
2020/5/17 0:00,182.8
2020/5/16 0:00,184.4
2020/5/15 0:00,177.8
2020/5/14 0:00,168.9
2020/5/13 0:00,165.2
2020/5/12 0:00,170.9
2020/5/11 0:00,172.3
2020/5/10 0:00,174.6
2020/5/9 0:00,173.5
2020/5/8 0:00,173.1
2020/5/7 0:00,172
2020/5/6 0:00,169.9
2020/5/5 0:00,163.1
2020/5/4 0:00,160
2020/5/3 0:00,143.5
2020/5/2 0:00,137.7
2020/5/1 0:00,155
2020/4/30 0:00,156
2020/4/29 0:00,156.1
2020/4/28 0:00,157.5
2020/4/27 0:00,156.7
2020/4/26 0:00,157.6
2020/4/25 0:00,157.5
2020/4/24 0:00,156.5
2020/4/23 0:00,157.8
2020/4/22 0:00,162.7
2020/4/21 0:00,159.6
2020/4/20 0:00,153.7
2020/4/19 0:00,162.5
2020/4/18 0:00,158.6
2020/4/17 0:00,150.4
2020/4/16 0:00,149.6
2020/4/15 0:00,149.4
2020/4/14 0:00,150.6
2020/4/13 0:00,149.9
2020/4/12 0:00,149.5
2020/4/11 0:00,149.8
2020/4/10 0:00,149.9
2020/4/9 0:00,159.6
2020/4/8 0:00,155.8
2020/4/7 0:00,153.2
2020/4/6 0:00,142.7
2020/4/5 0:00,134.4
2020/4/4 0:00,155
2020/4/3 0:00,164.5
2020/4/2 0:00,157.7
2020/4/1 0:00,158.9
2020/3/31 0:00,155.1
2020/3/30 0:00,151.5
2020/3/29 0:00,151.1
2020/3/28 0:00,154.4
2020/3/27 0:00,148.1
2020/3/26 0:00,162.6
2020/3/25 0:00,144.7
2020/3/24 0:00,142.4
2020/3/23 0:00,145.7
